text	set	id	type
<br>Cost: 5
<br><font size='1'><i>Flavor: You also get another +13 Attack, but this doesn't count because it's flavor text.</i></font>
<br>
<br><b>Deadpool Rage!</b> (1 copy)
<br><img src=""green.png"">
<br>5 Attack
<br><i>Excessive Violence</i>: Take another turn after this one. But don't use this ability more than once per game - trilogies are stupid.
<br>Cost: 7
<br><font size='1'><i>Flavor: Hey Wolverine! I've had a breakthrough!</i></font>
<br>"	Deadpool	Deadpool (DP)	Heroes

"<font size='5'>Slapstick</font>
<br><font size='3'><i>Mercs for Money</i></font>
<br>
<br><b>Napoleon Complex</b> (5 copies)
<br><img src=""blue.png"">
<br>2+ Recruit
<br><img src=""blue.png"">: If any other players are taller than you, draw a card. If any other players are shorter than you, you get +1 Recruit. If both, get both!
<br>Cost: 4
<br><font size='1'><i>Flavor: For an ultra-violent, goofball, living cartoon, Slapstick has some serious issues.</i></font>
<br>
<br><b>Saturday Morning Harpoons</b> (5 copies)
<br><img src=""blue.png"">
<br>2 ½ Attack
<br><i>Excessive Violence</i>: Rescue a Bystander.
<br>Cost: 3
<br><font size='1'><i>Flavor: And they say cartoons are too violent these days.</i></font>
<br>
<br><b>Surprise Chainsaw</b> (3 copies)
<br><img src=""green.png"">
<br><i>Excessive Violence</i>: When you have a new hand of cards at the end of this turn, draw an extra card.
<br>4 ½ Attack
<br>Cost: 6
<br><font size='1'><i>Flavor: This card's a little hacky.</i></font>
<br>
<br><b>Electroplasmic Insanity</b> (1 copy)
<br><img src=""blue.png"">
<br><i>Excessive Violence</i>: Recruit a Hero from the HQ for free. Then, you may shuffle your discard pile into your deck.
<br>5 Attack
<br>Cost: 8
<br>"	Deadpool	Slapstick (DP)	Heroes

"<font size='5'>Solo</font>
<br><font size='3'><i>Mercs for Money</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Half-Cocked</b> (5 copies)
<br><img src=""silver.png"">
<br>1 ½ Recruit
<br>1 ½ Attack
<br>Cost: 2
<br><font size='1'><i>Flavor: Two halves make a bullet whole. Also, you're a bulletwhole.</i></font>
<br>
<br><b>Merc's Gotta Get Paid</b> (5 copies)
<br><img src=""yellow.png"">
<br><i>Excessive Violence</i>: You get +1 Recruit.
<br>0+ Recruit
<br>2 ½ Attack
<br>Cost: 3
<br><font size='1'><i>Flavor: Mercenary - (noun) - one who converts carnage into cash.</i></font>
<br>
<br><b>Guns on My Guns</b> (3 copies)
<br><img src=""silver.png"">
<br>3 ½ Attack
<br><img src=""silver.png"">: Does the top card of your deck have a gun in the art? If so, draw that gun!
<br>Cost: 5
<br><font size='1'><i>Flavor: Who can make me a gun that shoots our little guns?</i></font>
<br>
<br><b>Cut in Half</b> (1 copy)
<br><img src=""yellow.png"">
<br>2 ½ Attack
<br>Choose a Villain. Cut its Attack in half this turn.
<br>Mercs for Money: Cut the Mastermind's Attack in half for one fight this turn.
<br>Cost: 7
<br><font size='1'><i>Flavor: So 11 becomes 5 ½. This is like 4th grade math - Try to keep up.</i></font>
<br>"	Deadpool	Solo (DP)	Heroes

"<font size='5'>Stingray</font>
<br><font size='3'><i>Mercs for Money</i></font>
<br>
<br><b>Deck Chairs on the Titanic</b> (5 copies)
<br><img src=""silver.png"">
<br>Draw a card.
<br>You may move a Villain to an adjacent city space. If another Villain is already there, swap them.
<br>1 ½ Attack
<br>Cost: 4
<br>
<br><b>Superpowered Swimsuit</b> (5 copies)
<br><img src=""silver.png"">
<br>Draw a card.
<br><img src=""silver.png"">: You get +2 Attack, usable only against Villains in the Sewers or Bridge or the Mastermind.
<br>½+ Attack
<br>Cost: 2
<br><font size='1'><i>Flavor: Breathing underwater is the best superpower, if you don't count any other superpowers.</i></font>
<br>
<br><b>Sting of the Stingray's Sting</b> (3 copies)
<br><img src=""blue.png"">
<br>3 Recruit
<br><i>Excessive Violence</i>: You may KO one of your cards or a card from your discard pile.
<br>Cost: 5
<br><font size='1'><i>Flavor: Wait, isn't shooting electricity underwater a terrible idea?</i></font>
<br>
<br><b>PhD in Oceanography</b> (1 copy)
<br><img src=""silver.png"">
<br>You may KO a card from your hand or discard pile.
<br>Mercs for Money: You get ½ Attack for each Hero in the KO pile.
<br>4+ Attack
<br>Cost: 8
<br>
<br>
<br>"	Deadpool	Stingray (DP)	Heroes

"<font size='5'>Angel Noir</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Impetuous Dive</b> (5 copies)
<br><img src=""yellow.png"">
<br><img src=""yellow.png"">: You get +1 Attack.
<br>2+ Attack
<br>Cost: 3
<br><font size='1'><i>Flavor: ""Legends tell of a Cape of Mercury that enables a man to fly. Until I find it, I'll just jump and hope for the best.""</i></font>
<br><font size='1'><i>Art contains a gun, or at least muzzle flashes and bullet trajectory</i></font>
<br>
<br><b>Multitalented</b> (5 copies)
<br><img src=""green.png"">
<br>Choose a Hero Class. <i>Investigate</i> for a card of that Hero Class.
<br>1 Recruit
<br>1 Attack
<br>Cost: 4
<br><font size='1'><i>Flavor: Specialties include: Medicine, Prisons, Detective Work, Advertising, and Everything Else.</i></font>
<br>
<br><b>Identical Twin Brother</b> (3 copies)
<br><img src=""yellow.png"">
<br>You get the printed Recruit and Attack of a Hero in the HQ. Then put that Hero on the bottom of the Hero Deck.
<br>0+ Recruit
<br>0+ Attack
<br>Cost: 5
<br>
<br><b>Missing Person Case</b> (1 copy)
<br><img src=""red.png"">
<br><i>Investigate</i> the Hero Deck for any card and put that card in your hand.
<br>3 Attack
<br>Cost: 8
<br>"	Noir	Angel Noir (N)	Heroes

"<font size='5'>Daredevil Noir</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>Balancing Act</b> (5 copies)
<br><img src=""red.png"">
<br>The next Hero you recruit this turn goes on top of your deck.
<br>1 Recruit
<br>1 Attack
<br>Cost: 3
<br><font size='1'><i>Flavor: A body balanced on a single muscle. A city balanced on a single man.</i></font>
<br>
<br><b>Listen for Heartbeats</b> (5 copies)
<br><img src=""yellow.png"">
<br>Choose a number 1 or more. <i>Investigate</i> for a card of that cost.
<br>2 Attack
<br>Cost: 4
<br><font size='1'><i>Flavor: ""Hearing hearts a block away is easy. The tough part is discerning whose is whose.""</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Discover the Bodies</b> (3 copies)
<br><img src=""red.png"">
<br><img src=""red.png"">: <i>Investigate</i> for a card that costs 0. KO that card.
<br>3 Recruit
<br>Cost: 5
<br><font size='1'><i>Flavor: ""By the time I found them, they were already dead.""</i></font>
<br>
<br><b>Hitting Rock Bottom</b> (1 copy)
<br><img src=""yellow.png"">
<br>Discard a card from the top or bottom of your deck. If it costs 0, you get +1 Attack and repeat this process. If your deck runs out, stop.
<br>3+ Attack
<br>Cost: 7
<br>"	Noir	Daredevil Noir (N)	Heroes

"<font size='5'>Iron Man Noir</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Steam-Powered Arsenal</b> (5 copies)
<br><img src=""blue.png"">
<br>To play this, you must put another card from your hand on top of your deck.
<br>3 Attack
<br>Cost: 3
<br><font size='1'><i>Flavor: ""Water is the key to creation ... and destruction.""</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Mechanized Plate-Mail</b> (5 copies)
<br><img src=""silver.png"">
<br><i>Investigate</i> for a <img src=""silver.png""> card.
<br>2 Recruit
<br>Cost: 4
<br><font size='1'><i>Flavor: ""The best way to test a new invention is to let HYDRA shoot it with automatic weapons.""</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Learn from Enemies</b> (3 copies)
<br><img src=""silver.png"">
<br><img src=""silver.png"">: You may use the ""Fight"" ability of a Villain worth 1 VP in your Victory Pile.
<br>3 Attack
<br>Cost: 6
<br>
<br><b>Adventurers Assemble!</b> (1 copy)
<br><img src=""silver.png"">
<br>Whenever you <i>Investigate</i> this turn, look at three cards instead of two.
<br>Choose Recruit or Attack. <i>Investigate</i> for a card with that icon.
<br>4 Attack
<br>Cost: 7
<br><font size='1'><i>Art contains a gun</i></font>
<br>"	Noir	Iron Man Noir (N)	Heroes

"<font size='5'>Luke Cage Noir</font>
<br><font size='3'><i>Marvel Knights</i></font>
<br>
<br><b>Private Investigations</b> (5 copies)
<br><img src=""red.png"">
<br><i>Investigate</i> for a card that costs 4 or more.
<br>2 Attack
<br>Cost: 4
<br><font size='1'><i>Flavor: He doesn't stop until he clears his name ... or dies trying.</i></font>
<br>
<br><b>Follow Big Leads</b> (5 copies)
<br><img src=""green.png"">
<br>You get +1 Recruit for each other card you played this turn that costs 4 or more.
<br>2+ Recruit
<br>Cost: 4
<br><font size='1'><i>Flavor: The deeper he digs, the bigger the conspiracy becomes.</i></font>
<br>
<br><b>Unbreakable Cage</b> (3 copies)
<br><img src=""green.png"">
<br>Once per turn, if a player would gain a Wound, you may reveal this card and <i>Investigate</i> for any card instead.
<br>4 Attack
<br>Cost: 6
<br>
<br><b>Weight of the World</b> (1 copy)
<br><img src=""green.png"">
<br>You get +2 Attack for each other card you played this turn that costs 4 or more.
<br>5+ Attack
<br>Cost: 8
<br>"	Noir	Luke Cage Noir (N)	Heroes

"<font size='5'>Spider-Man Noir</font>
<br><font size='3'><i>Spider Friends</i></font>
<br>
<br><b>Gumshoe's Revolver</b> (5 copies)
<br><img src=""silver.png"">
<br><i>Investigate</i> for a card that costs 2 or less.
<br>1 Attack
<br>Cost: 2
<br><font size='1'><i>Flavor: Stealth goes a long way, but some mysteries can only be unraveled with cold steel.</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Webs of Darkness</b> (5 copies)
<br><img src=""blue.png"">
<br><img src=""blue.png"">: You get +2 Attack.
<br>1+ Attack
<br>Cost: 2
<br><font size='1'><i>Flavor: Spiders from a cursed totem gave Peter Parker dark powers to match his shadowed mission.</i></font>
<br>
<br><b>Solve the Crime</b> (3 copies)
<br><img src=""yellow.png"">
<br><img src=""yellow.png"">: <i>Investigate</i> the Bystander Stack for a Bystander and rescue it.
<br>2 Attack
<br>Cost: 2
<br><font size='1'><i>Flavor: ""Who murdered Uncle Ben?""</i></font>
<br>
<br><b>Spider-Totem's Chosen</b> (1 copy)
<br><img src=""green.png"">
<br>Spider Friends: <i>Investigate</i> each player's deck for a card that costs 2 or less, play a copy of that card, then put it into their discard pile.
<br>1 Attack
<br>Cost: 2
<br>
<br>
<br>"	Noir	Spider-Man Noir (N)	Heroes

"<font size='5'>Aurora & Northstar</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Northern Lights</b> (5 copies)
<br><img src=""red.png"">
<br><i>Soaring Flight</i>
<br><i>Lightshow</i>: Draw a card.
<br>2 Attack
<br>Cost: 3
<br>
<br><b>Blazing Flare/Blazing Fists</b> (5 copies)
<br><i>Divided</i>
<br><b>Blazing Flare (Aurora)</b>
<br><img src=""blue.png"">
<br><i>Lightshow</i>: You get +2 Recruit.
<br>2+ Recruit
<br>Cost: 4
<br>---
<br><b>Blazing Fists (Northstar)</b>
<br><img src=""green.png"">
<br><i>Berserk</i>
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Twin Blast</b> (3 copies)
<br><img src=""blue.png"">
<br><i>Soaring Flight</i>
<br><i>Lightshow</i>: You get +3 Attack
<br>2+ Attack
<br>Cost: 5
<br>
<br><b>Mach 10</b> (1 copy)
<br><img src=""yellow.png"">
<br><i>Soaring Flight</i>
<br>All Heroes you recruit this turn have <i>Soaring Flight</i>.
<br><i>Lightshow</i>: You get +2 Attack for each <b>'Lightshow</b>' card you played this turn.
<br>4 Recruit
<br>0+ Attack
<br>Cost: 7
<br>"	X-Men	Aurora & Northstar (XM)	Heroes

"<font size='5'>Banshee</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Sonar Detection</b> (5 copies)
<br><img src=""red.png"">
<br>Draw a card.
<br><i>Piercing Energy</i>
<br><i>X-Gene</i> <img src=""red.png"">: You get +1 Piercing.
<br>0+ Piercing
<br>Cost: 2
<br>
<br><b>Speed of Sound</b> (5 copies)
<br><img src=""blue.png"">
<br><i>Soaring Flight</i>
<br><i>Piercing Energy</i>
<br>2 Piercing
<br>Cost: 3
<br>
<br><b>Sonic Blastwave</b> (3 copies)
<br><img src=""blue.png"">
<br><i>Piercing Energy</i>
<br><img src=""blue.png"">: You may have this card produce Piercing instead of Recruit.
<br>3 Recruit
<br>0+ Piercing
<br>Cost: 5
<br>
<br><b>Bone-Shattering Howl</b> (1 copy)
<br><img src=""blue.png"">
<br><i>Piercing Energy</i>
<br><img src=""blue.png""> <img src=""red.png"">: You may use Attack as if it were Piercing this turn.
<br>4 Piercing
<br>Cost: 8
<br>"	X-Men	Banshee (XM)	Heroes

"<font size='5'>Beast</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Captivating Conundrum</b> (5 copies)
<br><img src=""silver.png"">
<br><i>X-Gene</i> <img src=""silver.png"">: Draw a card.
<br>1 Attack
<br>Cost: 2
<br>
<br><b>Furry Fury</b> (5 copies)
<br><img src=""green.png"">
<br><i>Berserk</i>
<br><i>X-Gene</i> <img src=""green.png"">: <b>'Berserk</b>'
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Calculated Rage</b> (3 copies)
<br><img src=""silver.png"">
<br>Look at the top card of your deck. Discard it or put it back.
<br><i>Berserk</i>
<br>3+ Attack
<br>Cost: 5
<br>
<br><b>Recursive Pummeling</b> (1 copy)
<br><img src=""silver.png"">
<br><i>Berserk</i>
<br><i>X-Gene</i> X-Men: You may return a 0-cost, 3-cost, and 4-cost card from your discard pile to your hand.
<br>3+ Attack
<br>Cost: 8
<br>"	X-Men	Beast (XM)	Heroes

"<font size='5'>Cannonball</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Kinetic Blast Field</b> (5 copies)
<br><img src=""yellow.png"">
<br><i>Soaring Flight</i>
<br><img src=""yellow.png"">: You get +2 Attack
<br>1+ Attack
<br>Cost: 3
<br>
<br><b>Carry to the Air</b> (5 copies)
<br><img src=""green.png"">
<br><i>Soaring Flight</i>
<br><img src=""green.png"">: The next Hero you recruit this turn has <i>Soaring Flight</i>.
<br>2 Recruit
<br>Cost: 4
<br>
<br><b>Natural Leader</b> (3 copies)
<br><img src=""green.png"">
<br><i>Soaring Flight</i>
<br><img src=""green.png"">: Return a S.H.I.E.L.D. Hero from your discard pile to your hand.
<br>3 Attack
<br>Cost: 6
<br>
<br><b>Human Cannon</b> (1 copy)
<br><img src=""green.png"">
<br><i>Soaring Flight</i>
<br>If you played at least 6 other cards this turn, you get +2 Attack.
<br>4+ Attack
<br>Cost: 8
<br>"	X-Men	Cannonball (XM)	Heroes

"<font size='5'>Colossus & Wolverine</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Reliable/Unpredictable</b> (5 copies)
<br><i>Divided</i>
<br><b>Reliable (Colossus)</b>
<br><img src=""green.png"">
<br>2 Recruit
<br>Cost: 3
<br>---
<br><b>Unpredictable (Wolverine)</b>
<br><img src=""yellow.png"">
<br><i>Berserk</i>, <b>'Berserk</b>'
<br>1+ Attack
<br>Cost: 3
<br>
<br><b>Fastball Special</b> (5 copies)
<br><img src=""green.png"">
<br><i>Soaring Flight</i>
<br><i>X-Gene</i> <img src=""yellow.png"">: <b>'Berserk</b>'
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Insane Disregard for Danger</b> (3 copies)
<br><img src=""yellow.png"">
<br><i>Berserk</i>
<br>If you have a Wound in your hand or discard pile, KO it. Otherwise, gain a Wound.
<br>4+ Attack
<br>Cost: 6
<br>
<br><b>Uncanny X-Men</b> (1 copy)
<br><img src=""green.png"">
<br><i>Berserk</i>, <b>'Berserk</b>', '''Berserk'''
<br>Then, draw a card for each X-Men card you <i>Berserked</i>.
<br>3+ Attack
<br>Cost: 7
<br>"	X-Men	Colossus & Wolverine (XM)	Heroes

"<font size='5'>Dazzler</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Convert Sound to Light</b> (5 copies)
<br><img src=""yellow.png"">
<br><i>Piercing Energy</i>
<br><i>Lightshow</i>: You get +1 Piercing for each <b>'Lightshow</b>' card you played this turn.
<br>1 Recruit
<br>0+ Piercing
<br>Cost: 3
<br>
<br><b>Dazzling Glamour</b> (5 copies)
<br><img src=""blue.png"">
<br><i>Lightshow</i>: You get +2 Attack.
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>City-Wide Mega Concert</b> (3 copies)
<br><img src=""silver.png"">
<br><i>Lightshow</i>: When you draw a new hand of cards at the end of this turn, draw two extra cards.
<br>3 Attack
<br>Cost: 5
<br><font size='1'><i>Flavor: Performing is her passion, fighting aliens is more of a nights-and-weekends thing.</i></font>
<br>
<br><b>Inspire the World</b> (1 copy)
<br><img src=""blue.png"">
<br><i>Lightshow</i>: Put a Hero from the HQ on top of your deck.
<br>5 Attack
<br>Cost: 7
<br>"	X-Men	Dazzler (XM)	Heroes

"<font size='5'>Havok</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Blinding Burst</b> (5 copies)
<br><img src=""blue.png"">
<br><i>Lightshow</i>: You get +3 Attack usable only against the Mastermind.
<br>2 Recruit
<br>Cost: 3
<br>
<br><b>Unleash Havok</b> (5 copies)
<br><img src=""blue.png"">
<br>To play this card, you must discard a card from your hand.
<br><i>Berserk</i>, <b>'Berserk</b>'
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Concussive Plasma</b> (3 copies)
<br><img src=""blue.png"">
<br><i>X-Gene</i> <img src=""blue.png"">: You get +1 Attack for each <img src=""blue.png""> card in your discard pile.
<br>2+ Attack
<br>Cost: 5
<br>
<br><b>Radiation Focus Array</b> (1 copy)
<br><img src=""silver.png"">
<br><i>Berserk</i>
<br><i>X-Gene</i> <img src=""blue.png"">: You get the total printed Attack of all the <img src=""blue.png""> cards in your discard pile.
<br>3+ Attack
<br>Cost: 7
<br>"	X-Men	Havok (XM)	Heroes

"<font size='5'>Jubilee</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Light a Spark</b> (5 copies)
<br><img src=""red.png"">
<br>Draw a card.
<br><i>Lightshow</i>: You get +1 Recruit for each <b>'Lightshow</b>' card you played this turn.
<br>0+ Recruit
<br>Cost: 2
<br>
<br><b>Blasting Fireworks</b> (5 copies)
<br><img src=""blue.png"">
<br>Draw a card.
<br><i>Lightshow</i>: You get +1 Attack for each <b>'Lightshow</b>' card you played this turn.
<br>1+ Attack
<br>Cost: 4
<br>
<br><b>Unexpected Explosion</b> (3 copies)
<br><img src=""yellow.png"">
<br><i>Lightshow</i>: Look at the top card of your deck. If it costs 0, KO it.
<br>3 Attack
<br>Cost: 5
<br>
<br><b>Prismatic Cascade</b> (1 copy)
<br><img src=""red.png"">
<br><i>Lightshow</i>: You get +1 Recruit and +1 Attack for each <b>'Lightshow</b>' card you played this turn.
<br>0+ Recruit
<br>5+ Attack
<br>Cost: 7
<br>"	X-Men	Jubilee (XM)	Heroes

"<font size='5'>Kitty Pryde</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Intangible Qualities</b> (5 copies)
<br><img src=""yellow.png"">
<br>Put a card from the HQ on the bottom of the Hero deck. If that card had a Recruit icon, get +2 Recruit. If that card had an Attack icon, you get +2 Attack. (If both, get both.)
<br>0+ Recruit
<br>0+ Attack
<br>Cost: 3
<br>
<br><b>Going through a Phase</b> (5 copies)
<br><img src=""red.png"">
<br><i>X-Gene</i> X-Men: Draw a card.
<br>1 Recruit
<br>1 Attack
<br>Cost: 4
<br>
<br><b>Ghost in the Machine</b> (3 copies)
<br><img src=""silver.png"">
<br>You get +1 Attack for each different cost among the Heroes in the HQ.
<br>0+ Attack
<br>Cost: 6
<br>
<br><b>Lockheed, Kitty's Dragon</b> (1 copy)
<br><img src=""blue.png"">
<br><i>Soaring Flight</i>
<br>Put a card from the HQ on the bottom of the Hero Deck. You get +Attack equal to its cost.
<br>0+ Attack
<br>Cost: 8
<br>"	X-Men	Kitty Pryde (XM)	Heroes

"<font size='5'>Legion</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Bend Steel/Bend Light</b> (5 copies)
<br><i>Divided</i>
<br><b>Bend Steel</b>
<br><img src=""green.png"">
<br><i>Berserk</i>
<br>1+ Attack
<br>Cost: 2
<br>---
<br><b>Bend Light</b>
<br><img src=""red.png"">
<br><i>Lightshow</i>: You get +2 Recruit.
<br>1+ Recruit
<br>Cost: 2
<br>
<br><b>Split Personality/Split Eardrums</b> (5 copies)
<br><i>Divided</i>
<br><b>Split Personality</b>
<br><img src=""silver.png"">
<br>2 Attack
<br>Cost: 3
<br>---
<br><b>Split Eardrums</b>
<br><img src=""blue.png"">
<br><i>Piercing Energy</i>
<br>2 Piercing
<br>Cost: 3
<br>
<br><b>Channel Time/Channel Fire</b> (3 copies)
<br><i>Divided</i>
<br><b>Channel Time</b>
<br><img src=""yellow.png"">
<br>Draw two cards.
<br>Cost: 5
<br>---
<br><b>Channel Fire</b>
<br><img src=""silver.png"">
<br>You get +1 Attack for each different Hero Class in your discard pile.
<br>0+ Attack
<br>Cost: 5
<br>
<br><b>Maelstrom of Clashing Powers</b> (1 copy)
<br><img src=""red.png"">
<br><i>Soaring Flight</i>
<br>Reveal the top three cards of the Hero Deck. You get their total printed Attack. Put them on the bottom of the Hero Deck.
<br>3+ Attack
<br>Cost: 8
<br>"	X-Men	Legion (XM)	Heroes

"<font size='5'>Longshot</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Fortune Favors the Bold</b> (5 copies)
<br><img src=""yellow.png"">
<br>To play this card, you must put a card from your hand on top of your deck.
<br>3 Attack
<br>Cost: 3
<br>
<br><b>Flurry of Blades</b> (5 copies)
<br><img src=""silver.png"">
<br><i>Berserk</i>
<br><img src=""silver.png"">: <i>Berserk</i>
<br>2+ Attack
<br>Cost: 4
<br><font size='1'><i>Flavor: Longshot is supernaturally lucky. His enemies? Not so much.</i></font>
<br>
<br><b>Make My Own Luck</b> (3 copies)
<br><img src=""red.png"">
<br>Look at the top card of your deck. Discard it or put it back.
<br><img src=""red.png"">: You may KO the card you discarded this way.
<br>3 Attack
<br>Cost: 6
<br>
<br><b>Escape from Mojo World</b> (1 copy)
<br><img src=""silver.png"">
<br>Reveal the top card of the Villain Deck. If it's a Villain, you may put it on the bottom of that Deck.
<br>X-Men: You get +Attack equal to the printed Victory Points of the card you revealed.
<br>5+ Attack
<br>Cost: 7
<br>"	X-Men	Longshot (XM)	Heroes

"<font size='5'>Phoenix</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Life & Death Incarnate</b> (5 copies)
<br><img src=""green.png"">
<br>KO this card.
<br>You may KO a card from your hand or discard pile.
<br>3 Recruit
<br>Cost: 3
<br>
<br><b>Obliterating Fire</b> (5 copies)
<br><img src=""blue.png"">
<br><i>Soaring Flight</i>
<br><i>Piercing Energy</i>
<br>KO this card.
<br>4 Piercing
<br>Cost: 4
<br>
<br><b>Reincarnating Phoenix</b> (3 copies)
<br><img src=""red.png"">
<br>Draw two cards.
<br>You may put a Hero that was KO'd this turn into your discard pile.
<br>Cost: 6
<br>
<br><b>Driven Mad by Power</b> (1 copy)
<br><img src=""green.png"">
<br><i>Berserk</i>, <b>'Berserk</b>', '''Berserk''', '''Berserk'''
<br>KO all the cards you <i>Berserked</i>. If this card makes at least 13 Attack, then the Phoenix Force becomes corrupted by power and devours the Earth. You win, Evil wins, and all other players lose.
<br>6+ Attack
<br>Cost: 9
<br>"	X-Men	Phoenix (XM)	Heroes

"<font size='5'>Polaris</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Ride the Magnetic Waves</b> (5 copies)
<br><img src=""red.png"">
<br><i>Soaring Flight</i>
<br><img src=""red.png"">: When you draw a new hand of cards at the end of this turn, draw an extra card.
<br>2 Recruit
<br>Cost: 3
<br>
<br><b>Electromagnetic Pulse</b> (5 copies)
<br><img src=""blue.png"">
<br><i>Piercing Energy</i>
<br><img src=""blue.png"">: Draw a card.
<br>2 Piercing
<br>Cost: 4
<br>
<br><b>Subtle Attunement</b> (3 copies)
<br><img src=""red.png"">
<br><i>Soaring Flight</i>
<br><img src=""red.png"">: Look at the top two cards of your deck. You may KO one of them. Put the rest back in any order.
<br>2 Attack
<br>Cost: 6
<br>
<br><b>Reverse Polarity</b> (1 copy)
<br><img src=""red.png"">
<br><i>Soaring Flight</i>
<br><i>X-Gene</i> X-Men: You can use Recruit as Attack this turn, and vice versa.
<br>4 Recruit
<br>Cost: 8
<br>"	X-Men	Polaris (XM)	Heroes

"<font size='5'>Psylocke</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Psychic Knife</b> (5 copies)
<br><img src=""yellow.png"">
<br>Draw a card.
<br><i>Piercing Energy</i>
<br><img src=""yellow.png"">: You get +1 Piercing.
<br>0+ Piercing
<br>Cost: 2
<br>
<br><b>Precognition</b> (5 copies)
<br><img src=""red.png"">
<br>Reveal the top card of the Hero Deck. You may recruit it this turn. If you do, draw a card.
<br>2 Recruit
<br>Cost: 3
<br>
<br><b>Butterfly Effect</b> (3 copies)
<br><img src=""red.png"">
<br><i>Piercing Energy</i>
<br><i>X-Gene</i> <img src=""red.png"">: You get +1 Piercing.
<br>2+ Piercing
<br>Cost: 5
<br><font size='1'><i>Flavor: The focused totality of her powers.</i></font>
<br>
<br><b>Telepathic Ninjutsu</b> (1 copy)
<br><img src=""yellow.png"">
<br><i>Piercing Energy</i>
<br>Reveal the top card of the Hero Deck. The player of your choice puts it in their hand.
<br>3 Piercing
<br>Cost: 7
<br>"	X-Men	Psylocke (XM)	Heroes

"<font size='5'>X-23</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Adamantium Footclaws</b> (5 copies)
<br><img src=""silver.png"">
<br><i>X-Gene</i> <img src=""yellow.png"">: Draw a card.
<br>2 Attack
<br>Cost: 3
<br><font size='1'><i>Flavor: Cloned from Wolverine's DNA, X-23 has extra Adamantium foot claws and almost as much savagery.</i></font>
<br>
<br><b>Healing Factor Genome</b> (5 copies)
<br><img src=""yellow.png"">
<br><i>Berserk</i>
<br>You may KO a Wound from your hand or discard pile.
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Bioengineered Assassin</b> (3 copies)
<br><img src=""red.png"">
<br><i>Berserk</i>
<br><i>X-Gene</i> <img src=""yellow.png"">: You may KO a card from your hand or discard pile.
<br>2+ Attack
<br>Cost: 6
<br>
<br><b>Heir to Wolverine</b> (1 copy)
<br><img src=""yellow.png"">
<br><i>Berserk</i>, <b>'Berserk</b>'
<br><i>X-Gene</i> <img src=""yellow.png"">: Count the <img src=""yellow.png""> cards in your discard pile. <b>'Berserk</b>' that many times.
<br>3+ Attack
<br>Cost: 7
<br>
<br>
<br>"	X-Men	X-23 (XM)	Heroes

"<font size='5'>Happy Hogan</font>
<br><font size='3'><i>(Unaffiliated)</i></font>
<br>
<br><b>Head of Security</b> (5 copies)
<br><img src=""yellow.png"">
<br><i>Coordinate</i>
<br>KO all Wounds you gained this turn.
<br>2 Recruit
<br>Cost: 3
<br>
<br><b>Watchful Eye</b> (5 copies)
<br><img src=""yellow.png"">
<br><img src=""yellow.png"">: <i>Danger Sense 2</i>. If this revealed any Master Strikes, KO those Strikes, then you may KO a card from your hand or discard pile.
<br>2+ Attack
<br>Cost: 4
<br>
<br><b>Loyal Friend</b> (3 copies)
<br><img src=""silver.png"">
<br><i>Coordinate</i>
<br><i>Striker</i>
<br>0+ Attack
<br>Cost: 5
<br><font size='1'><i>Flavor: ""Don't I look happy to you?""</i></font>
<br>
<br><b>Asset Management</b> (1 copy)
<br><img src=""yellow.png"">
<br><i>Double Striker</i>
<br>0+ Attack
<br>Cost: 5
