mmtext	text
Misty Knight	"<font size='4'>Misty Knight</font>

Bribe
<b>Always Leads</b>: Heroes for Hire
<b>Master Strike</b>: Each player reveals 4 cards with Recruit icons or gains a Wound.
Attack: 14*
VP: 6

<i>Bionic Repulsor Field</i>
<b>Fight</b>: Each other player reveals a Marvel Knight Hero or puts two cards from their hand on top of the deck.

<i>Cyborg Detective</i>
<b>Fight</b>: Reveal the top three cards of the Villain Deck. Put them back in any order.

<i>Trusted Bodyguard</i>
<b>Fight</b>: Going clockwise, the fist other player with Colleen Wing in their Victory Pile rescues 5 Bystanders and returns Colleen Wing to play fortifying Misty Knight.

<i>Vibranium Cyber Arm</i>
<b>Fight</b>: Each other player reveals a Marvel Knight Hero or gains a Wound.
"
Ragnarok	"<font size='4'>Ragnarok</font>

Ragnarok gets +2 Attack for each Hero Class among Heroes in the HQ.
<b>Always Leads</b>: Registration Enforcers
<b>Master Strike</b>: Each player says ""zero"" or ""not zero."" Then, each player discards all their cards with that cost.
Attack: 6+
VP: 6

<i>Electrical Charge</i>
<b>Fight</b>: Count how many https://cf.geekdo-static.com/mbs/mb_26285_0.png Heroes you have. Draw that many cards.

<i>God of Cyborg Thunder</i>
<b>Fight</b>: You can spend Recruit as Attack this turn.

<i>Hammer Goliath</i>
<b>Fight</b>: KO each Hero from the HQ that costs 7 or more.

<i>Unnatural Storm Clouds</i>
<b>Fight</b>: Put all Heroes from the HQ on the bottom of the Hero Deck in random order.


"
Evil Deadpool	"<font size='4'>Evil Deadpool</font>
<b>Revenge for Mastermind Tactics</b>
<b>Always Leads</b>: Evil Deadpool Corpse
<b>Master Strike</b>: Without talking, each player simultaneously discards a card. Whoever discards the lowest-costing card <i>(or tied for lowest)</i> gains a Wound.
Attack: 11+
VP: 6

<i>Evil Even Oddball</i>
<b>Fight</b>: Each other player reveals their hand. Whoever has the fewest cards with odd-numbered costs (or tied for fewest) gains a Wound.

<i>Hyper-Insane Healing Factor</i>
<b>Fight</b>: If this is not the final Tactic, you get +6 Recruit and shuffle this Tactic back into the other Tactics.

<i>Of Course it's Corpse</i>
<b>Fight</b>: The other player with the fewest Evil Deadpool Corpse Villains in their Victory Pile (or tied for fewest) gains a Wound.

<i>Stitched from Dead (Pool) Parts</i>
<b>Fight</b>: Each other player discards the top card of their deck. Whoever discards the lowest-costing card (or tied for lowest) gains a Wound.
"
Macho Gomez	"<font size='4'>Macho Gomez</font>
<b>Revenge for Deadpool's ""Friends""</b>
<b>Always Leads</b>: Deadpool's ""Friends""
<b>Master Strike</b>: Put this Strike in front of you as a ""Bounty on Your Head."" Then, each player gains a Wound for each Bounty on them. Any number of times during your turn, you may pay 1 Recruit to move a Bounty from you to the player on your left.
Attack: 9+
VP: 6

<i>Bounty Payout</i>
<b>Fight</b>: You get +1 Recruit for each ""Bounty on Your Head"" on other players.

<i>Interstellar Assassin</i>
<b>Fight</b>: Each other player with at least one ""Bounty on Your Head"" discards down to 4 cards.

<i>Renegotiate the Contract</i>
<b>Fight</b>: Redistribute the ""Bounty on Your Head"" cards among any number of players.

<i>Super Macho Man</i>
<b>Fight</b>: Rescue a Bystander for each ""Bounty on Your Head"" on other players.


"
Charles Xavier, Professor of Crime	"<font size='4'>Charles Xavier, Professor of Crime</font>
Charles Xavier gets +1 Attack for each Bystander in the HQ and city.
<b>Always Leads</b>: X-Men Noir
<b>Master Strike</b>: Four Heroes in the HQ capture <i>'Hidden Witnesses</i>'.
Attack: 8*
VP: 6

<i>X-Con Men</i>
<b>Fight</b>: Each other player reveals an X-Men Hero or gains a Wound.

<i>Commit to the Asylum</i>
<b>Fight</b>: Each other player <i>'Investigates</i>' their deck for a card with an Attack icon and KOs it. Players reveal all the cards they investigated.

<i>Master Manipulator</i>
<b>Fight</b>: <i>'Investigate</i>' the Hero Deck for an X-Men card and put it into your discard pile.

<i>Corrupt Weak Minds</i>
<b>Fight</b>: Each other player puts a random Bystander from their Victory Pile onto a Hero in the HQ as a <i>'Hidden Witness</i>'.
"
The Goblin, Underworld Boss	"<font size='4'>The Goblin, Underworld Boss</font>
<b>Start of Game</b>: The Goblin captures 2 <i>'Hidden Witnesses</i>'.
<b>Always Leads</b>: Goblin's Freak Show
<b>Master Strike</b>: Two random Bystanders from each player's Victory Pile become <i>'Hidden Witnesses</i>' held by The Goblin. Any player who didn't have two Bystanders gains a Wound instead.
Attack: 10*
VP: 6

<i>Sinister Dreams</i>
<b>Fight</b>: Each other player reveals a Sinister Six or Spider-Friends Hero or gains a Wound.

<i>Blackmail the Judges</i>
<b>Fight</b>: For each Goblin's Freak Show Villain in the city, The Goblin captures 2 <i>'Hidden Witnesses</i>'.

<i>Carnival of Carnage</i>
<b>Fight</b>: For each Goblin's Freak Show Villain in the city, each other player discards a card.

<i>Blind Loyalty</i>
<b>Fight</b>: <i>'Investigate</i>' the Villain Deck for a Goblin's Freak Show Villain and put it into your Victory Pile.


"
Arcade	"<font size='4'>Arcade</font>
<b>Start of Game</b>: Arcade captures 5 <i>'Human Shields</i>'.
<b>Always Leads</b>: Murderworld
<b>Master Strike</b>: Arcade captures a random Bystander from each player's Victory Pile as a <i>'Human Shield</i>'. Each player who didn't have a Bystander gains a Wound instead.
Attack: 3*
VP: 5

<font size='4'>Epic Arcade</font>
<b>Start of Game</b>: Arcade captures 8 <i>'Human Shields</i>'. Play a random Horror.
<b>Always Leads</b>: Murderworld
<b>Master Strike</b>: Arcade captures two random Bystanders from each player's Victory Pile as a <i>'Human Shield</i>'. Each player who didn't have two Bystanders gains a Wound instead.
Attack: 4*
VP: 5

<i>I Love a Parade!</i>
<b>Fight</b>: Arcade captures two <i>'Human Shields</i>'. Play an extra card from the Villain Deck next turn.

<i>I Need an Audience</i>
<b>Fight</b>: Arcade captures <i>'Human Shields</i>' equal to the number of Villains in the city.

<i>Roulette Wheel of Death</i>
<b>Fight</b>: Arcade captures a random Bystander as a <i>'Human Shield</i>' from each of these places: The Bystander Stack, the Escape Pile, each city space, and each other player's Victory Pile.

<i>Welcome to my Theme Park!</i>
<b>Fight</b>: Arcade and each Murderworld Villain in the city capture two <i>'Human Shields</i>'.
"
Dark Phoenix	"<font size='4'>Dark Phoenix</font>
<b>Always Leads</b>: Hellfire Club
<b>Master Strike</b>: KO the top card of the Hero Deck and each card in the Hero Deck that shares a color with it. Shuffle the Hero Deck.
Dark Phoenix Wins: When the Hero Deck is empty.
13 Attack
VP: 7

<font size='4'>Epic Dark Phoenix</font>
<b>Always Leads</b>: Hellfire Club
<b>Master Strike</b>: KO the top card of the Hero Deck and each card in the Hero Deck that shares a color with it. Shuffle the Hero Deck. Then, each player plays a Hellfire Club card from their victory Pile. Next, play a random Horror.
Dark Phoenix Wins: When the Hero Deck is empty.
15 Attack
VP: 7

<i>Burn the World to Ashes</i>
<b>Fight</b>: Each other player discards each card from their hand that has the same name as any card in the KO pile.

<i>Consume an Entire Galaxy</i>
<b>Fight</b>: Each other player chooses a card from their discard pile that costs 1 or more and KOs it.

<i>Fiery Reincarnation</i>
<b>Fight</b>: Gain a Hero from the KO pile that costs 7 or more.

<i>Worship Me as a God</i>
<b>Fight</b>: Each other player gains two 0-cost cards from the KO pile.
"
Deathbird	"<font size='4'>Deathbird</font>
Deathbird gets +1 Attack for each Shi'ar Villain in the city and Escape Pile.
<b>Always Leads</b>: Shi'ar Imperial Guard and a Shi'ar Henchmen Group.
<b>Master Strike</b>: If there are already any Shi'ar Villains in the city, each player gains a Wound. Then this strike enters the city as a Shi'ar Battle Cruiser Token Villain with 7 Attack worth 5 VP.
Attack: 8+
VP: 6

<font size='4'>Epic Deathbird</font>
Deathbird gets +2 Attack for each Shi'ar Villain in the city and Escape Pile.
<b>Always Leads</b>: Shi'ar Imperial Guard and a Shi'ar Henchmen Group.
<b>Master Strike</b>: If there are already any Shi'ar Villains in the city, play a random Horror. Then this strike enters the city as a Shi'ar Battle Cruiser Token Villain with 9 Attack worth 6 VP.
Attack: 8+
VP: 6

<i>Shi'ar Elite Bodyguards</i>
<b>Fight</b>: Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is ""<i>'Escape</i>': Shuffle this card back into Deathbird's Mastermind Tactics as another Tactic.""

<i>Shi'ar Extermination Legion</i>
<b>Fight</b>: Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is: ""<i>'Escape</i>': Each player discards two cards.""

<i>Shi'ar Hovertake Battalion</i>
<b>Fight</b>: Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is: ""<i>'Escape</i>': Each player gains a Wound.""

<i>Shi'ar Master Spies</i>
<b>Fight</b>: Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is ""<i>'Escape</i>': This card becomes a Scheme Twist that takes effect immediately.""
"
Mojo	"<font size='4'>Mojo</font>
<b>Start of Game</b>: Mojo captures 3 <i>'Human Shields</i>'. All Bystanders in Victory Piles are worth 3 VP.
<b>Always Leads</b>: Mojoverse
<b>Master Strike</b>: Mojo captures a <i>'Human Shield</i>'. Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discards a card at random.
Attack: 6*
VP: 5

<font size='4'>Epic Mojo</font>
<b>Start of Game</b>: Mojo captures 6 <i>'Human Shields</i>'. Play a random Horror. All Bystanders in Victory Piles are worth 4 VP.
<b>Always Leads</b>: Mojoverse
<b>Master Strike</b>: Mojo and each Mojoverse Villain capture a <i>'Human Shield</i>'. Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discards down to 4 cards each.
Attack: 7*
VP: 5

<i>Billions of TV Viewers</i>
<b>Fight</b>: Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or chooses a random Bystander from their Victory Pile. Mojo captures those Bystanders as <i>'Human Shields</i>'.

<i>Brain-Melting TV Marathon</i>
<b>Fight</b>: Each other player without a Mojo Tactic in their Victory Pile gains a Wound.

<i>Cross-Dimensional Marketing</i>
<b>Fight</b>: You get +1 Recruit for each Bystander in your Victory Pile. Mojo captures a <i>'Human Shield</i>'.

<i>Mojo Branding Opportunity</i>
<b>Fight</b>: Draw a card for each Mojoverse Villain in your Victory Pile. Mojo captures a <i>'Human Shield</i>'.
"
Onslaught	"<font size='4'>Onslaught</font>
Each player's hand size is 1 less.
<b>Always Leads</b>: Dark Descendants
<b>Master Strike</b>: KO all Heroes Dominated by Onslaught. Then each player reveals their hand and chooses one of their non-grey Heroes. Onslaught Dominates those Heroes.
Attack: 10+
VP: 7

<font size='4'>Epic Onslaught</font>
Each player's hand size is 1 less.
<b>Always Leads</b>: Dark Descendants
<b>Master Strike</b>: KO all Heroes Dominated by Onslaught. Then each player reveals their hand and chooses two of their non-grey Heroes. Onslaught Dominates those Heroes. Then play a random Horror.
Attack: 12+
VP: 7

<i>Godlike Psionic Entity</i>
<b>Fight</b>: Onslaught Dominates all five Heroes from the HQ.

<i>Sins of X-Men Past</i>
<b>Fight</b>: Each other player reveals the top six cards of their deck and chooses an X-Men Hero revealed this way. Onslaught Dominates those Heroes. Put the rest back in random order.

<i>Xavier and Magneto Combined</i>
<b>Fight</b>: Reveal the top three cards of the Hero Deck. Onslaught Dominates all the X-Men and Brotherhood Heroes you revealed. Put the rest back in random order.

<i>Worldwide Mental Control</i>
<b>Fight</b>: Onslaught Dominates four 0-cost Heroes from the KO pile. The next time a player fights Onslaught, KO those 0-cost Heroes.
"
Shadow King	"<font size='4'>Shadow King</font>
<b>Always Leads</b>: Shadow-X
<b>Master Strike</b>: KO all Heroes Dominated by Shadow King. Then each player chooses a non-grey Hero from their discard pile. Shadow King Dominates those Heroes.
Attack: 7+
VP: 6

<font size='4'>Epic Shadow King</font>
<b>Start of Game</b>: Play two random Horrors.
<b>Always Leads</b>: Shadow-X
<b>Master Strike</b>: KO all Heroes Dominated by Shadow King. Then each player chooses a non-grey Hero from their discard pile. Shadow King Dominates those Heroes.
Attack: 9+
VP: 6

<i>Fiend of the Astral Plane</i>
<b>Fight</b>: Each other player reveals their hand and shuffles two cards with Recruit icons from their hand back into their deck.

<i>Poison their Minds</i>
<b>Fight</b>: Each other player reveals their hand and chooses one of their non-grey Heroes. Shadow King Dominates those Heroes.

<i>Psychic Seduction</i>
<b>Fight</b>: Shadow King Dominates each Hero that costs 5 or less from the HQ.

<i>Telepathic Betrayal</i>
<b>Fight</b>: If the ""Betrayal of the Shadow"" Trap is in any Victory Pile or the KO pile, put it on top of the Villain Deck.


"
Adrian Toomes	"<font size='4'>Adrian Toomes</font>
<b>Double Striker</b>
<b>Always Leads</b>: Salvagers
<b>Master Strike</b>: Starting from the Sewers, each Villain in the city uses its ""Escape"" ability.
<b>Attack</b>: 5+
<b>VP</b>: 6

<font size='4'>Epic Adrian Toomes</font>
<b>Triple Striker</b>
<b>Always Leads</b>: Salvagers
<b>Master Strike</b>: Starting from the Sewers, each Villain in the city uses its ""Ambush"" ability, then its ""Escape"" ability.
<b>Attack</b>: 5+
<b>VP</b>: 6

<i>Don't Interfere</i>
<b>Fight</b>: <i>'Danger Sense 4</i>'. If this revealed any Bystanders, rescue them.

<i>More Harm than Good</i>
<b>Fight</b>: Each other player discards a Spider Friends Hero or gains a Wound.
[size=8]<i>Flavor: ""Don't mess with me. Because I will kill you and everyone you care about.""</i>[/size]

<i>Take Everything</i>
<b>Fight</b>: You may put a card from your discard pile on top of your deck.
[size=8]<i>Flavor: ""The world's changed. Time we change with it.""</i>[/size]

<i>The World's Changed</i>
<b>Fight</b>: <i>'Danger Sense 3</i>'. Put all Henchmen Villains revealed this way into your Victory Pile, then do their ""Fight"" abilities.
"
Vulture	"<font size='4'>Vulture</font>
<b>Striker</b>
<b>Always Leads</b>: Vulture Tech
<b>Master Strike</b>: Put a Wound from the Wound Stack below each HQ space as a ""Winged Assault."" Whenever a player gains or KOs a Hero from the HQ, the player on their right gains one of the Wounds below that HQ space.
<b>Attack</b>: 8+
<b>VP</b>: 6

<font size='4'>Epic Vulture</font>
<b>Striker</b>
<b>Always Leads</b>: Vulture Tech
<b>Master Strike</b>: Put a Wound from the Wound Stack or KO pile below each HQ space as a ""Winged Assault."" Whenever a player gains or KOs a Hero from the HQ, the player on their right gains one of the Wounds below that HQ space, putting it on top of their deck.
<b>Attack</b>: 10+
<b>VP</b>: 6

<i>Bird of Prey</i>
<b>Fight</b>: Each other player discards a Spider Friends Hero or discards two cards.

<i>Lurking Shadow</i>
<b>Fight</b>: <i>'Danger Sense 2</i>'. If the Rooftops are empty, a Villain you revealed enters the Rooftops.

<i>Mid Air Heist</i>
<b>Fight</b>: You get +5 Recruit usable only to recruit https://cf.geekdo-static.com/mbs/mb_26287_0.png Heroes.

<i>Winged Assault</i>
<b>Fight</b>: Put two ""Winged Assault"" Wounds from under the HQ into each other player's discard pile.


"
Fin Fang Foom	"<font size='4'>Fin Fang Foom</font>
<b>Size-Changing</b> https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
<b>Always Leads</b>: Monsters Unleashed
<b>Master Strike</b>: <i>'Demolish</i>' each player, then do it again for each Monsters Unleashed Villain in the city and Escape Pile.
<b>Attack</b>: 20*
<b>VP</b>: 7

<font size='4'>Epic Fin Fang Foom</font>
<b>Size-Changing</b> https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
<b>Always Leads</b>: Monsters Unleashed
<b>Master Strike</b>: <i>'Demolish</i>' each player, then do it again for each Monsters Unleashed Villain in the city and Escape Pile. KO all the Heroes '''Demolished''' this way.
<b>Attack</b>: 24*
<b>VP</b>: 7

<i>Alien Dragon Technology</i>
<b>Fight</b>: A Hero in the HQ gets <i>'Size-Changing</i>' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png this turn.

<i>Flammable Acid Breath</i>
<b>Fight</b>: KO the top card of the Hero Deck. Then each other player KOs a Hero of that Hero class from their discard pile (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ).

<i>Multipronged Assault</i>
<b>Fight</b>: Each other player reveals at least 3 Hero Classes (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ) or gains a Wound.

<i>Supersonic Dive Attack</i>
<b>Fight</b>: KO the top card of the Hero Deck. Then each other player reveals their hand and discards a Hero of that Hero Class (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ).
"
Pagliacci	"<font size='4'>Pagliacci</font>
<b>Always Leads</b>: Wrecking Crew
<b>Master Strike 1, 5</b>: This card becomes a Scheme Twist that takes effect immediately.
<b>Master Strike 2, 3, 4</b>: <i>'Demolish</i>' each player.
<b>Attack</b>: 9
<b>VP</b>: 6

<font size='4'>Epic Pagliacci</font>
<b>Always Leads</b>: Wrecking Crew
<b>Master Strike 1, 3, 5</b>: This card becomes a Scheme Twist that takes effect immediately.
<b>Master Strike 2, 4</b>: <i>'Demolish</i>' each player.
<b>Attack</b>: 11
<b>VP</b>: 6

<i>Commedia Dell'Morte</i>
<b>Fight</b>: Each other player may gain two Wounds. <i>'Demolish</i>' each of those players who does not.

<i>Creative Assassin</i>
<b>Fight</b>: You get <i>'Versatile 3</i>'.
As killer clowns go, Pagliacci is not one you want to find under your bed.

<i>Insane Clown Has a Posse</i>
<b>Fight</b>: Each other player may KO a Wrecking Crew Villain from their Victory Pile. <i>'Demolish</i>' each of those players who does not.

<i>Jester of a Twisted Opera</i>
<b>Fight</b>: Each other player may KO a card from their discard pile that costs 1 or more. <i>'Demolish</i>' each of those players who does not.


"
General Ross	"<font size='4'>General Ross</font>

<b>Start of Game</b>: Stack 8 Bystanders next to General Ross as ""Helicopter"" Villains with 2 Attack. You can fight them to rescue them as Bystanders. You can't fight General Ross while he has any Helicopters.
<b>Always Leads</b>: Code Red
<b>Master Strike</b>:  General Ross Transforms, then <i>'Cross-Dimensional Hulk Rampage</i>'.
<b>Attack</b>: 6*
<b>VP</b>: 6

<font size='4'>Red Hulk (Mastermind, Transformed)</font>

<b>Wounded Fury</b>
You can't fight Helicopters, and they don't stop you from fighting Red Hulk.
<b>Master Strike</b>: Red Hulk <i>'Transforms</i>', then stack a random Bystander from each player's Victory Pile next to this as a Helicopter. Each player who didn't have a Bystander gains a Wound instead.
<b>Attack</b>: 9+
<b>VP</b>: 6

<i>Bust You Down to Private</i>
<b>Fight</b>: Each other player puts a non-grey Hero from their hand on the bottom of the Hero Deck, then puts a 0-cost Hero from the KO pile into their hand.
This Mastermind <b>Transforms</b>.

<i>Call Out the Army</i>
<b>Fight</b>: Put 3 Bystanders from the Bystander Stack next to this Mastermind as ""Helicopters.""
This Mastermind <b>Transforms</b>.

<i>Personal Arsenal</i>
<b>Fight</b>: For each Master Strike in the KO pile, put a Bystander from the Bystander Stack next to the Mastermind as a ""Helicopter.""
This Mastermind <b>Transforms</b>.

<i>Urban Warfare</i>
<b>Fight</b>: Put a random Bystander next to the Mastermind as a ""Helicopter"" from each of these places: The Bystander Stack, the Escape Pile, each city space, and each other player's Victory Pile.
This Mastermind <b>Transforms</b>.
"
Illuminati, Secret Society	"<font size='4'>Illuminati, Secret Society</font>

This Mastermind gets +4 Attack unless you <b>Outwit</b> them.
<b>Always Leads</b>: Illuminati.
<b>Master Strike</b>: Each player reveals their hand and discards two cards that each cost between 1 and 4. The Illuminati <i>'Transform</i>'.
<b>Attack</b>: 11+
<b>VP</b>: 7

<font size='4'>Illuminati, Open Warfare (Mastermind, Transformed)</font>

Whenever a card effect causes a player to draw any number of cards, that player must then also discard a card.
<b>Master Strike</b>: Each player reveals their hand and discards two cards that each cost between 5 and 8. The Illuminati <i>'Transform</i>'.
<b>Attack</b>: 13
<b>VP</b>: 7

<i>Black Bolt's Omni-Shout</i>
<b>Fight</b>: Each other player reveals their hand and discards two cards with no rules text.
The Illuminati <b>Transform</b>.

<i>Dr. Strange's Orb of Agamotto</i>
<b>Fight</b>: Each other player reveals their hand and discards a https://cf.geekdo-static.com/mbs/mb_26285_0.png or https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero.
The Illuminati <b>Transform</b>.

<i>Hulkbuster's Hammer Fist</i>
<b>Fight</b>: Each other player reveals their hand and KOs a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero from their hand or discard pile.
The Illuminati <b>Transform</b>.

<i>Zom's Manacles of Living Bondage</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.
The Illuminati <b>Transform</b>.
"
King Hulk, Sakaarson	"<font size='4'>King Hulk, Sakaarson</font>

King Hulk gets +1 Attack for each Warbound Villain in the city and in the Escape Pile.
<b>Always Leads</b>: Warbound.
<b>Master Strike</b>: Each player KO's a Warbound Villain from their Victory Pile or gains a Wound. King Hulk <i>'Transforms</i>'.
<b>Attack</b>: 9+
<b>VP</b>: 6

<font size='4'>King Hulk, Worldbreaker (Mastermind, Transformed)</font>

<b>Wounded Fury</b>
<b>Master Strike</b>: Each player reveals their hand, then KO's a card from their hand or discard pile that has the same card name as a card in the HQ. King Hulk <i>'Transforms</i>'.
<b>Attack</b>: 10+
<b>VP</b>: 6

<i>Fury of the Green Scar</i>
<b>Fight</b>: Each other player reveals their hand and discards a Hero that isn't grey and isn't https://cf.geekdo-static.com/mbs/mb_26286_0.png.
King Hulk <b>Transforms</b>.

<i>Oath of the Warbound</i>
<b>Fight</b>: The Villain in the Escape Pile with the highest printed Attack enters the Sewers.
King Hulk <b>Transforms</b>.

<i>Revenge from the Stars</i>
<b>Fight</b>: After you put this in your Victory Pile, <i>'Cross-Dimensional Hulk Rampage</i>'.
King Hulk <b>Transforms</b>.

<i>Rule By the Strongest</i>
<b>Fight</b>: You get +1 Recruit for each of your https://cf.geekdo-static.com/mbs/mb_26286_0.png Heroes.
King Hulk <b>Transforms</b>.
"
M.O.D.O.K.	"<font size='4'>M.O.D.O.K.</font>
All cards' <b>Outwit</b> abilities require four different costs instead of three.
<b>Always Leads</b>: Intelligencia.
<b>Master Strike</b>: Each player who can't <i>'Outwit</i>' M.O.D.O.K. gains a Wound, then M.O.D.O.K. '''Transforms'''.
<b>Attack</b>: 9
<b>VP</b>: 6

<font size='4'>M.O.D.O.K., Network Nightmare (Mastermind, Transformed)</font>
You can only fight M.O.D.O.K with Recruit, not Attack.
<b>Master Strike</b>: Each player who can't <i>'Outwit</i>' M.O.D.O.K. KO's a non-grey Hero from their discard pile. M.O.D.O.K. '''Transforms'''.
<b>Attack</b>: 8*
<b>VP</b>: 6

<i>Brain Scramble</i>
<b>Fight</b>: Each other player discards their hand, then draws as many cards as they discarded.
M.O.D.O.K. <b>Transforms</b>.

<i>Designed Only For...K.O.ING</i>
<b>Fight</b>: Reveal the top three cards of your deck. KO one of them, draw one, and discard one.
M.O.D.O.K. <b>Transforms</b>.

<i>Don't Get a Big head About It</i>
<b>Fight</b>: Draw a card for each Intelligencia Villain in your Victory Pile.
M.O.D.O.K. <b>Transforms</b>.

<i>Redundancy Algorithim</i>
<b>Fight</b>: Each other player reveals their hand and discards two cards that hand the same cost.
M.O.D.O.K. <b>Transforms</b>.
"
The Red King	"<font size='4'>The Red King</font>
You can't fight the Red King while any Villains are in the city.
<b>Always Leads</b>: Sakaar Imperial Guard.
<b>Master Strike</b>: The Red King <i>'Transforms</i>', then each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png card or gains a Wound.
<b>Attack</b>: 7*
<b>VP</b>: 6

<font size='4'>The Red King, Power Armored (Mastermind, Transformed)</font>
<b>Master Strike</b>: The Red King Transforms, then play another card from the Villain Deck.
<b>Attack</b>: 10
<b>VP</b>: 6

<i>Haughty Spite</i>
<b>Fight</b>: Each other player without a Red King Tactic in their Victory Pile gains a Wound.
The Red King <b>Transforms</b>.

<i>Royal Bodyguard</i>
<b>Fight</b>: Reveal cards from the Villain Deck until you reveal a Sakaar Imperial Guard. If you find one, play it. Either way, shuffle all the other revealed cards back into the Villain Deck.
The Red King <b>Transforms</b>.

<i>Treasury of Sakaar</i>
<b>Fight</b>: You get +1 Recruit for each Sakaar Imperial Guard and Red King Tactic in your Victory Pile, including this one.
The Red King <b>Transforms</b>.

<i>Vast Armies of Sakaar</i>
<b>Fight</b>: If this is not the final Tactic, reveal the top three cards of the Villain Deck. Play all the Villains you revealed. Put the rest back in random order.
The Red King <b>Transforms</b>.
"
The Sentry	"<font size='4'>The Sentry</font>
<b>Start of Game</b>: Shuffle 2 Wounds into each player's deck before drawing starting hands.
<b>Always Leads</b>: Aspects of the Void.
<b>Master Strike</b>: The Sentry <i>'Transforms</i>', then '''Cross-Dimensional Void Rampage'''.
<b>Attack</b>: 10
<b>VP</b>: 6

<font size='4'>The Void (Mastermind, Transformed)</font>
<b>Wounded Fury</b>
<b>Master Strike</b>: <i>'Feast</i>' on each player. If this feasts on a player's grey Hero, that player gains a Wound.
The Void <b>Transforms</b>.
<b>Attack</b>: 11+
<b>VP</b>: 6

<i>Pacifying Light</i>
<b>Fight</b>: Each other player reveals their hand and discard two cards with Recruit icons.
This Mastermind <b>Transforms</b>.

<i>Power of a Million Exploding Suns</i>
<b>Fight</b>: Put all Heroes from the HQ on the bottom of the Hero Deck. Each other player reveals their hand and discards each card with the same card name as any of those cards.
This Mastermind <b>Transforms</b>.

<i>Reflexive Teleportation</i>
<b>Fight</b>: Choose one of your Heroes that costs 5 or less. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as an extra card.
This Mastermind <b>Transforms</b>.

<i>Repressed Darkness</i>
<b>Fight</b>: Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or plays an Aspects of the Void Villain from their Victory Pile as if playing it from the Villain Deck.
This Mastermind <b>Transforms</b>.


"
