viltext	text
Sentinel Territories	"

''Colossus of Future Past'' (2 copies)
'''Fight''': ''Colossus changes the future:'' Don't play a Villain card at the beginning of next turn.
'''Attack''': 5
'''VP''': 3

''Kate Pryde of Future Past'' (2 copies)
'''Fight''': You get +1 Recruit. Then, ''Kate Pryde alters the future:'' At the beginning of the next player's turn, that player gets +1 Recruit.
'''Attack''': 4
'''VP''': 2

''Rachel Summers of Future Past'' (2 copies)
'''Fight''': ''Rachel Summers alters the future:'' During the next player's turn, all Villains and the Mastermind get -1 Attack. '''Escape''': This turn, All Villains and the Mastermind get +1 Attack.
'''Attack''': 6
'''VP''': 4

''Wolverine of Future Past'' (2 copies)
'''Fight''': ''Wolverine alters the future:'' At the start of the next player's turn, you draw a card, and that player draws a card.
'''Escape''': '''Cross-Dimensional Wolverine Rampage'''
'''Attack''': 7
'''VP''': 5

"
Wasteland	"

''The Hulk Gang'' (3 copies)
'''Fight''': '''Cross-Dimensional Hulk Rampage''' '''Escape''': Same effect.
'''Attack''': 5 '''VP''': 3

''Wasteland Kingpin'' (1 copy)
''Bribe'' (2 copies)
'''Escape''': Kingpin ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or discards their hand and draws 5 cards.""
'''Attack''': 11*
'''VP''': 6

''Wasteland Hawkeye'' (2 copies)
'''Ambush''': Wasteland Hawkeye captures a Bystander. '''Fight''': Choose one: Each other player draws a card, or each other player discards a card.
'''Attack''': 6
'''VP''': 4

''Wasteland Spider-Girl'' (2 copies)
'''Fight''': Reveal the top card of your deck. If it costs 2 or less, KO it.
'''Attack''': 4
'''VP''': 2



"
Deadpool's Secret Secret Wars	"

''Deadpool'' (1 copy)
''5th Circle of Kung-Fu''
'''Fight''': '''Fateful Resurrection'''
'''Escape''': Deadpool ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Each player reveals a Hero with an odd-numbered cost or gains a Wound."" ''(0 is even).''
'''Attack''': 5+
'''VP''': 5

''Doop'' (2 copies)
You can't fight Doop if there is a Villain in an adjacent city space.
'''Attack''': 2*
'''VP''': 2

''Howard the Duck'' (2 copies)
'''Ambush''': Howard the Duck captures ''(the heart of)'' a Bystander.
''7th Circle of Quack-Fu''
'''Attack''': 1+
'''VP''': 4

''Pink Sphinx'' (3 copies)
'''Fight''': '''Spectrum''': KO one of your Heroes.
'''Attack''': 4
'''VP''': 2

"
Guardians of Knowhere	"

''Angela'' (1 copy)
'''Fight''': '''Fateful Resurrection'''
'''Escape''': Angela ascends to become a new Mastermind. She gains the ability, ""'''Master Strike''': Each player KOs a Hero from their discard pile that costs 1 or more.""
'''Attack''': 7
'''VP''': 5

''Drax the Destroyer'' (2 copies)
'''Fight''': Reveal the top card of your deck. KO it or put it back. '''Fateful Resurrection.'''
'''Attack''': 5
'''VP''': 4

''Gamora'' (1 copy)
'''Ambush''': '''Charge''' one space.
'''Fight''': ''(After this goes to your victory pile.)'' '''Patrol the Sewers''': If it's empty, each other player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 6
'''VP''': 4

''Groot'' (2 copies)
'''Fight''': '''Fateful Resurrection.''' If Groot resurrects this way, then he becomes Tiny Dancing Groot with Attack 1 and no abilities for the rest of the turn.
'''Attack''': 5
'''VP''': 4

''Rocket Raccoon'' (2 copies)
'''Fight''': ''(After this goes to your Victory Pile.)'' '''Patrol the Bank''': If it's empty, draw a card. If it's not empty, KO one of your Heroes.
'''Attack''': 4
'''VP''': 2

"
K'un-lun	"

''Laughing Skull'' (2 copies)
'''5th Circle of Kung-Fu'''
'''Escape''': Each player reveals a Hero that costs 5 or more, or they discard a card.
'''Attack''': 5+
'''VP''': 5

''Rand K'ai'' (2 copies)
'''6th Circle of Kung-Fu'''
'''Escape''': Each player reveals a Hero that costs 6 or more, or they gain a wound.
'''Attack''': 6+
'''VP''': 6

''Razor Fist'' (2 copies)
'''3rd Circle of Kung-Fu'''
'''Fight''': For each of your Heroes that costs 3, KO one of your Heroes.
'''Attack''': 3+
'''VP''': 3

''Red Sai'' (2 copies)
'''4th Circle of Kung-Fu'''
'''Fight''': Draw a card for each of your Heroes that costs 4.
'''Attack''': 4+
'''VP''': 4

"
Monster Metropolis	"

''Bug, Shiklah's Dragon'' (2 copies)
'''Fight''': KO a card from your discard pile. '''Fateful Resurrection'''
'''Attack''': 4
'''VP''': 3

''Ghost Deadpool'' (2 copies)
'''Fight''': '''Fateful Resurrection'''. Then, '''Cross-Dimensional Deadpool Rampage'''
'''Escape''': '''Cross-Dimensional Deadpool Rampage'''
'''Attack''': 5
'''VP''': 5

''Man-Thing'' (2 copies)
'''Ambush''': Each Monster Metropolis Villain captures a Bystander.
'''Fight''': '''Fateful Resurrection'''
'''Attack''': 5
'''VP''': 4

''Marcus Symbiote Centaur'' (2 copies)
'''Ambush''': '''Charge''' two spaces.
When in the Sewers, Rooftops or Bridge, he is in ""wolf form"" and gets +3 Attack.
'''Attack''': 3+
'''VP''': 3

"
Utopolis	"

''Doctor Spectrum'' (3 copies)
'''Ambush''': '''Charge''' one space.
'''Fight''': '''Spectrum''': KO a card from your discard pile.
'''Escape''': Each player who doesn't have '''Spectrum''' discards a card.
'''Attack''': 6
'''VP''': 4

''Nighthawk'' (2 copies)
While in the Sewers, Rooftops or Bridge, Nighthawk gains +4 Attack.
'''Escape''': Nighthawk becomes a Scheme Twist that takes effect immediately.
'''Attack''': 4+
'''VP''': 4

''Warrior Woman'' (1 copy)
'''Ambush''': '''Charge''' one space.
'''Escape''': Warrior Woman ascends to become a new Mastermind. She gains the ability, ""'''Master Strike''': '''Patrol the Bank''': If there's a Villain there, each player discards a card with a Recruit icon.""
'''Attack''': 8
'''VP''': 6

''Whizzer'' (2 copies)
'''Ambush''': '''Charge''' three spaces.
'''Fight''': ''(After he goes to your victory pile.)'' '''Patrol the Bridge''': If there's a Villain there, each other player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 5
'''VP''': 3

"
X-Men '92	"

'''92 Beast'' (2 copies)
'''Ambush''': Charge one space.
'''Fight''': Gain this as a Hero.
'''Attack''': 5
---
https://cf.geekdo-static.com/mbs/mb_26286_0.png
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Draw a card.
2 Attack

'''92 Jubilee'' (3 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 4
---
https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Spectrum''': You get +2 Attack.
2+ Attack

'''92 Professor X'' (1 copy)
'''Escape''': '92 Professor X ascends to become a new Mastermind. He gains the ability, ""'''Master Strike''': Stack the two heroes from the HQ with the highest cost next to '92 Professor X. He gets +1 Attack for each Hero stacked there. Players can recruit the top card of the stack.""
'''Attack''': 8+
'''VP''': 6

'''92 Wolverine'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Escape''': '''Cross-Dimensional Wolverine Rampage'''
'''Attack''': 7
---
https://cf.geekdo-static.com/mbs/mb_26284_0.png
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Draw two cards.
2 Attack



"
Zola's Creations	"

''Captain Zolandia'' (2 copies)
Abomination
'''Fight''': You get +1 Recruit for each Hero Class you have.
'''Attack''': 6+
'''VP''': 5

''Doughboy'' (2 copies)
Abomination
'''Fight''': KO one of your Heroes.
'''Attack''': 4+
'''VP''': 3

''Man-Fish'' (2 copies)
Abomination
'''Fight''': If you fought Man-Fish in the Sewers or Bridge, then each other player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 5+
'''VP''': 4

''Primus'' (2 copies)
To fight Primus, you must also discard a card that costs 2, 3, 5, or 7.
'''Escape''': each player discards a Hero that costs 2, 3, 5, or 7.
'''Attack''': 3*
'''VP''': 3

"
Masters of Evil (WWII)	"

''Black Knight'' (2 copies)
'''Ambush''': Black Knight captures a Bystander.
'''Fight''': Savior: KO one of your Heroes.
'''Attack''': 4
'''VP''': 2

''Executioner'' (2 copies)
'''Ambush''': Executioner captures a Bystander
'''Fight''': Savior: Draw a card.
'''Escape''': KO a Bystander from each player's Victory Pile.
'''Attack''': 6
'''VP''': 4

''Melter (WWII)'' (2 copies)
'''Ambush''': Melter captures a Bystander.
'''Fight''': Savior: Each player reveals the top card of their deck. For each card, you choose to KO it or put it back.
'''Attack''': 5
'''VP''': 3

''Radioactive Man'' (2 copies)
'''Ambush''': Radioactive Man captures a Bystander.
'''Fight''': Each player who is not a Savior gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3



"
CSA Special Marshals	"

''Bullseye'' (2 copies)
'''Fight''': KO one of your heroes with a Recruit icon.
'''Escape''': Each player KOs one of their Heroes that has printed Attack of 2 or more.
'''Attack''': 6
'''VP''': 4

''Moonstone'' (2 copies)
'''Fight''': Each other player discards two cards, and then draws a card.
'''Attack''': 4
'''VP''': 2

''Penance'' (2 copies)
Penance gets +1 Attack for each Villain in your Victory Pile.
'''Attack''': 2+
'''VP''': 3

''Venom'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''Escape''': Fortify the Bystander Stack. While it's fortified, if a Bystander would be rescued from there, KO that Bystander instead.
'''Attack''': 7*
'''VP''': 4

"
Great Lakes Avengers	"

''Big Bertha'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 7*
'''VP''': 4

''Flatman'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''Fight''': KO a card from your discard pile.
'''Attack''': 5*
'''VP''': 2

''Mr. Immortal'' (2 copies)
'''Fight''': Reveal the top card of the Villain Deck. If it's a Villain or Bystander, Mr. Immortal reenters the Sewers.
'''Attack''': 2
'''VP''': 2

''Squirrel Girl'' (2 copies)
You can't fight Squirrel Girl if you played more than one card this turn.
'''Escape''': Fortify the Sidekick Stack. While it's fortified, Sidekicks can't be recruited or gained.
'''Attack''': 3*
'''VP''': 2

"
Heroes for Hire	"

''Colleen Wing'' (2 copies)
Bribe
'''Escape''': Fortify the Mastermind. While it's fortified, the Mastermind can't be fought.
'''Attack''': 9*
'''VP''': 5

''Humbug'' (2 copies)
Bribe
'''Fight''': KO one of your Heroes.
'''Attack''': 5*
'''VP''': 3

''Shang-Chi'' (2 copies)
Bribe
'''Fight''': If you have any cards in your discard pile, then shuffle them into your deck, and Shang-Chi reenters the Sewers.
'''Attack''': 3*
'''VP''': 2

''Tarantula'' (2 copies)
Bribe
'''Fight''': Each player discards two cards or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 7*
'''VP''': 5

"
Registration Enforcers	"

''Blade'' (2 copies)
'''Fight''': If you fight Blade in the Sewers or Rooftops, you get +2 Recruit.
'''Attack''': 4
'''VP''': 2

''Captain Marvel'' (2 copies)
'''Fight''': Each player swaps a card from their hand with the top card of their deck.
'''Escape''': Each player swaps their hand with the top four cards of their deck.
'''Attack''': 6
'''VP''': 4

''Deadpool'' (2 copies)
'''Ambush''': Each player reveals a card that costs 5 or discards down to 5 cards.
'''Fight''': Same effect.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 5

''Micromax'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''Fight''': KO one of your Heroes.
'''Attack''': 6*
'''VP''': 3

"
S.H.I.E.L.D. Elite	"

''Agent Eric Marshall'' (2 copies)
S.H.I.E.L.D. Clearance
'''Ambush''': A S.H.I.E.L.D. Officer enters the city as a 3 Attack Villain. When you fight it, gain it as a Hero.
'''Attack''': 1*
'''VP''': 2

''Agent Gabe Jones'' (2 copies)
S.H.I.E.L.D. Clearance
'''Fight''': A S.H.I.E.L.D. Officer enters the city as a 3 Attack Villain. When you fight it, gain it as a Hero.
'''Attack''': 2*
'''VP''': 2

''Dum Dum Dugan'' (2 copies)
S.H.I.E.L.D. Clearance
'''Fight''': Each player with no S.H.I.E.L.D. Officers in their discard pile gains a Wound.
'''Escape''': Same effect.
'''Attack''': 4*
'''VP''': 3

''Sharon Carter, Agent 13'' (2 copies)
S.H.I.E.L.D. Clearance
'''Escape''': Fortify the S.H.I.E.L.D. Officer stack. While it's fortified, whenever any number of S.H.I.E.L.D. Officers become Villains, an extra one becomes a Villain.
'''Attack''': 6*
'''VP''': 5

"
Superhuman Registration Act	"

''Iron Spider'' (2 copies)
'''Ambush''': Fortify your deck. While Iron Spider fortifies a players deck, that player draws one fewer card at the end of their turn.
'''Fight''': Reveal the top card of the Villain Deck. If that card is worth 2 VP or less, Iron Spider fortifies the deck of the player on your left.
'''Attack''': 2
'''VP''': 3

''Ms. Marvel'' (2 copies)
'''Escape''': Fortify an HQ space. While its fortified, Heroes can't be gained from that space.
'''Attack''': 5
'''VP''': 3

''She-Hulk'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''Escape''': Fortify the Villain Deck. When a Master Strike is completed from that deck, each player gains a Wound and She-Hulk enters the Sewers.
'''Attack''': 8*
'''VP''': 5

''Yellowjacket'' (2 copies)
Size-Changing: https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''Escape''': Fortify the Hero Deck. While it's fortified, whenever a Hero in the HQ costs 7 or more, KO that Hero.
'''Attack''': 7*
'''VP''': 4

"
Thunderbolts	"

''Fixer'' (2 copies)
'''Fight''': Look at the top three cards of your deck. KO one and put the rest back in any order.
'''Attack''': 4
'''VP''': 2

''Mach-IV'' (2 copies)
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3

''Radioactive Man'' (2 copies)
'''Escape''': Fortify the Wound Stack. While it's fortified, whenever a player gains a Wound, that player gains an extra Wound.
'''Attack''': 6
'''VP''': 4

''Songbird'' (2 copies)
'''Fight''': Each player without another Thunderbolts Villain in their Victory Pile gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3



"
"Deadpool's ""Friends"""	"

''Blind Al and Deuce'' (2 copies)
'''Revenge for Deadpool's ""Friends""'''
To fight Blind Al, you also gotta drop a Deuce ''(discard a card with a ""2"" printed anywhere on it)''. Deuce is her dog, obviously.
'''Escape''': Everybody drop a Deuce.
'''Attack''': 2+
'''VP''': 3

''Sluggo'' (2 copies)
'''Revenge for Deadpool's ""Friends""'''
'''Fight''': '''Excessive Violence''': Gain the Hero from the HQ with the lowest cost ''(or tied for lowest)''.
'''Escape''': Each player gains a Wound.
'''Attack''': 5+
'''VP''': 4

''Taskmaster'' (2 copies)
'''Ambush''': Taskmaster captures a Bystander.
During your turn, Taskmaster gets +Attack equal to the cost of the highest-cost Hero you played this turn.
'''Attack''': 3+ (erratum, see FAQ, 3* as printed)
'''VP''': 2 (erratum, see FAQ, 4 as printed)
[size=8]''Flavor: ""They call it Photographic Reflexes: I can copy any fighting move I've ever seen. And I've seen Howard the Duck.""''[/size]

''Weasel'' (2 copies)
'''Revenge for Deadpool's ""Friends""'''
'''Ambush''': Each player simultaneously passes a card from their hand to the player on their left.
'''Fight''': Same effect.
'''Attack''': 4+
'''VP''': 3

"
Evil Deadpool Corpse	"

''D.E.A.D.P.O.O.L.'' (2 copies)
'''Revenge for Evil Deadpool Corpse'''
'''Fight''': Excessive Violence: KO one of your Heroes. Remind them that if they were better at hero-ing, these accidents wouldn't happen.
'''Attack''': 4+
'''VP''': 3
[size=8]''Flavor: Destructive Engine of Assassination Despite Panpygoptosis Obsessed with Opponent Liquidation.''[/size]

''The Deadpool Kid'' (2 copies)
'''Revenge for Evil Deadpool Corpse'''
'''Escape''': Old West Shootout. Each player reveals the top card of their deck. KO the card with the highest cost (or tied for highest.)
'''Attack''': 5+
'''VP''': 4
[size=8]''Flavor: If you're going to lose an 8-coster, distract the other players and cheat, varmint!''[/size]

''Ultimate Deadpool'' (2 copies)
'''Revenge for Evil Deadpool Corpse'''
'''Fight''': Excessive Violence: Draw a card for each ""Ultimate"" in the HQ. You know, those totally kickass cards that cost 7 or more.
'''Escape''': KO all Ultimates from the HQ.
'''Attack''': 5+
'''VP''': 4

''Wolverinepool'' (2 copies)
'''Revenge for Evil Deadpool Corpse'''
'''Ambush''': Each player reveals a card with an odd-numbered cost or gains a Wound. Ya know, the number 0 is pretty weird, but it's not odd.
'''Fight''': Same effect.
'''Escape''': Same effect. Then, shuffle me back into the Villain Deck so I can kick your ass again!
'''Attack''': 7+
'''VP''': 6



"
Goblin's Freak Show	"

''Vulture, Carnival Cannibal'' (2 copies)
'''Ambush''': The Vulture captures 2 '''Hidden Witnesses'''.
'''Fight''': Each other player KOs a Bystander from their Victory Pile or gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 5*
'''VP''': 3

''The Chameleon'' (2 copies)
'''Ambush''': Chameleon captures a '''Hidden Witness'''.
'''Fight''': Reveal the top card of the Villain Deck. If it's a Villain, it enters the city space where the Chameleon was.
'''Attack''': 4*
'''VP''': 2

''Kraven, Animal Trainer'' (1 copy)
'''Ambush''': For each Hero in the HQ that costs 7 or more, Kraven captures a '''Hidden Witness'''. Kraven's Attack is equal to the cost of the highest-cost card in the HQ.
'''Attack''': *
'''VP''': 3

''Ox'' (1 copy)
'''Ambush''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or Ox captures a random Bystander from their Victory Pile as a '''Hidden Witness'''.
'''Attack''': 5*
'''VP''': 3

''Montana'' (1 copy)
'''Ambush''': Each Goblin's Freak Show Villain captures a '''Hidden Witness'''.
'''Attack''': 4*
'''VP''': 2

''Fancy Dan'' (1 copy)
'''Ambush''': Fancy Dan captures 3 '''Hidden Witnesses'''.
'''Fight''': KO one of your Heroes.
'''Attack''': 1*
'''VP''': 2

"
X-Men Noir	"

''Bobby ""Iceman"" Drake'' (1 copy)
'''Fight''': '''Investigate''' for a card with a Recruit icon.
'''Attack''': 4
'''VP''': 2

''Comrade Rasputin, Steel Wall'' (2 copies)
'''Fight''': '''Investigate''' for a Hero that costs 0 and KO it.
'''Attack''': 5
'''VP''': 3

''Henry ""Beast"" McCoy'' (1 copy)
'''Fight''': '''Investigate''' for any card that's https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26286_0.png.
'''Attack''': 5
'''VP''': 3

''Jean Grey Noir'' (1 copy)
'''Fight''': When you draw a new hand of cards at the end of your turn, '''Investigate''' for an extra card.
'''Attack''': 5
'''VP''': 3

''Scott ""Cyclops"" Summers'' (1 copy)
'''Escape''': Each player '''Investigates''' their deck for a card that costs 1 or more and KOs it. Players reveal the cards they investigated.
'''Attack''': 6
'''VP''': 4

''Warden Emma Frost'' (1 copy)
'''Escape''': '''Investigate''' the Villain Deck for a Scheme Twist and play it. Reveal all the cards you '''Investigated'''.
'''Attack''': 6
'''VP''': 4

''Ororo Munroe, Storm-Tossed'' (1 copy)
'''Fight''': KO a Hero from the HQ. '''Investigate''' the Hero Deck for a card to put in that emptied HQ space.
'''Attack''': 4
'''VP''': 2



"
Dark Descendants	"

''Fatale'' (2 copies)
'''Fight''': KO one of your Heroes.
'''Escape''': The Mastermind Dominates the top card of the Hero Deck.
'''Attack''': 5
'''VP''': 3

''Havok, Brainwashed'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Escape''': Havok becomes a Hero Dominated by the Mastermind.
'''Attack''': 6
---
X-Men
https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +2 Attack.
2+ Attack

''Nemesis'' (1 copy)
'''Ambush''': Each player reveals their hand and chooses one of their non-grey Heroes. Nemesis Dominates those Heroes.
'''Attack''': 5
'''VP''': 5

''Psychic Subjugation'' (1 copy)
'''Trap!'''
'''By End of Turn''': Recruit the left-most and right-most Heroes in the HQ.
'''Or Suffer''': Each of those Heroes you didn't recruit enters the city as a Villain with Attack equal to that Hero's cost. When you fight one, you gain it.
'''VP''': 3

''Random'' (2 copies)
'''Ambush''': Random Dominates the top card of the Hero Deck. Then, each player reveals their hand and chooses one of their Heroes with that same cost. Random Dominates those Heroes.
'''Attack''': 4+
'''VP''': 3

"
Hellfire Club	"

''Corrupt the Phoenix Force'' (1 copy)
'''Trap!'''
'''By End of Turn''': Have no Hellfire Villains in the city.
'''Or Suffer''': This Trap becomes a 6 Attack ""Phoenix Force"" Token Villain that enters the city and Dominates all the Heroes in the HQ that cost 6 or less.
'''VP''': 3

''Emma Frost (White Queen)'' (2 copies)
'''Ambush''': Each player chooses an X-Men Hero from their discard pile. Emma Frost Dominates those Heroes.
'''Attack''': 4+
'''VP''': 4

''Harry Leland (Black Bishop)'' (2 copies)
'''Ambush''': Heroes cost 1 more to recruit this turn.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3
[size=8]''Flavor: Increasing his opponents' mass to 20,000 pounds puts a real weight on their shoulders.''[/size]

''Mastermind (Jason Wyngarde)'' (1 copy)
'''Ambush''': The Villain ascends to become a new Mastermind. He gains the ability ""Master Strike: Each player simultaneously reveals a non-grey Hero. Mastermind dominates the revealed Hero with the highest cost (and tied for highest.)
'''Attack''': 8+
'''VP''': 6

''Sebastian Shaw (Black King)'' (2 copies)
Sebastian Shaw has +1 Attack for each card you've played from your hand this turn.
'''Escape''': Each player gains a Wound.
'''Attack''': 3+
'''VP''': 4

"
Mojoverse	"

''Mindwarping TV Broadcast'' (1 copy)
'''Trap!'''
'''Ambush''': A Villain captures a Bystander.
'''By End of Turn''': Have no Bystanders in the city captured by Villains.
'''Or Suffer''': After you draw your new hand at end of turn, each player discards down to four cards in hand.
'''VP''': 3

''Minor Domo'' (2 copies)
'''Ambush''': Minor Domo captures 2 '''Human Shields'''.
'''Escape''': Each player simultaneously reveals a card from their hand. Whoever revealed the lowest cost card (or tied for lowest) gains a Wound.
'''Attack''': 2*
'''VP''': 2

''Major Domo'' (2 copies)
'''Ambush''': Major Domo captures a '''Human Shield'''.
'''Escape''': Each player simultaneously reveals a card from their hand. Whoever reveals the highest-costing card (or tied for highest) gains a Wound.
'''Attack''': 4*
'''VP''': 3

''Spiral'' (1 copy)
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or discards their hand. Each player who discarded their hand this way draws 5 cards.
'''Escape''': Same effect.
'''Attack''': 6
'''VP''': 4

''Warwolves'' (2 copies)
'''Ambush''': These Warwolves capture a '''Human Shield'''.
'''Fight''': KO one of your Heroes.
'''Attack''': 3*
'''VP''': 2

"
Murderworld	"

''Animatronic Killer Clowns'' (2 copies)
'''Trap!'''
'''By End of Turn''': Recruit two Heroes.
'''Or Suffer''': This Trap enters the city as a 3 Attack ""Animatronic Killer Clown"" Token Villain that captures a '''Human Shield'''.
'''VP''': 2

''Guillotine Rollercoaster'' (1 copy)
'''Trap!'''
'''By End of Turn''': Have at least four different costs of Heroes in the HQ.
'''Or Suffer''': After you draw your new hand at the end of this turn, each palyer reveals their hand and discards each card with the same cost as the cards in the HQ.
'''VP''': 3

''Miss Locke'' (2 copies)
'''Ambush''': Miss Locke captures 2 '''Human Shields'''. Then reveal the top card of the Villain Deck. If it's a Trap or Master Strike, play it.
'''Attack''': 2*
'''VP''': 2

''Monstrous Pinball Machine'' (1 copy)
'''Trap!'''
'''By End of Turn''': Pay any amount of Recruit. Then you must reveal the top card of the Hero Deck. If you paid enough, recruit that Hero and put this Trap in your Victory Pile.
'''Or Suffer''': KO that Hero. Play two extra cards from the Villain Deck next turn.
'''VP''': 3

''Sulfuric Acid Water Slide'' (2 copies)
'''Trap!'''
'''Ambush''': Play another card from the Villain Deck.
'''By End of Turn''': Have no Villains in the Sewers.
'''Or Suffer''': Each player gains a Wound.
'''VP''': 2

"
Shadow-X	"

''Betrayal of the Shadow'' (1 copy)
'''Trap!'''
'''By End of Turn''': You may pay 6 Recruit.
'''Or Suffer''': Each player reveals their hand. Then, each player chooses a Shadow-X card from their hand or discard pile to enter the city as a Villain.
'''VP''': 4

''Dark Angel'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 4
---
https://cf.geekdo-static.com/mbs/mb_26284_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26284_0.png: The next Hero you recruit from the HQ has Soaring Flight.
2 Attack

''Dark Beast'' (1 copy)
'''Fight''': Gain this as a Hero.
'''Attack''': 5
---
https://cf.geekdo-static.com/mbs/mb_26287_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26287_0.png: You may KO a card from your hand or discard pile.
2 Attack

''Dark Cyclops'' (1 copy)
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or discards a card.
'''Fight''': Gain this as a Hero.
'''Attack''': 7
---
https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26285_0.png: Return a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero from your discard pile to your hand.
3 Attack

''Dark Iceman'' (2 copies)
'''Fight''': Gain this as a Hero.
'''Attack''': 5
---
https://cf.geekdo-static.com/mbs/mb_26286_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26286_0.png: Draw a card.
2 Attack

''Dark Marvel Girl'' (1 copy)
'''Ambush''': Dark Marvel Girl Dominates each X-Men Hero that costs 4 or less from the HQ.
'''Fight''': Gain this as a Hero.
'''Attack''': 4+
---
https://cf.geekdo-static.com/mbs/mb_26283_0.png
'''X-Gene''' https://cf.geekdo-static.com/mbs/mb_26283_0.png: Rescue a Bystander.
2 Attack

"
Shi'ar Imperial Guard	"

''Blackthorn'' (2 copies)
'''Fight''': If you fought Blackthorn in the Sewers or Streets, each other player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 5
'''VP''': 3

''Gladiator'' (1 copy)
'''Ambush''': Each player discards an X-Men Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 7
'''VP''': 5

''Oracle'' (2 copies)
'''Ambush''': Each player discards the top four cards of their deck and chooses one of those cards that costs 1 to 4. Oracle Dominates those Heroes.
'''Attack''': 4+
'''VP''': 4

''Shi'ar Trial by Combat'' (1 copy)
'''Trap!'''
'''Ambush''': If the Bridge is empty, reveal the top card of the Villain Deck. If it's a Villain, put it on the Bridge.
'''By End of Turn''': Have no Villains on the Bridge.
'''Or Suffer''': After you draw a new hand at end of turn, each player KOs a non-grey Hero from their discard pile.
'''VP''': 2

''Smasher'' (2 copies)
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or discards a card.
'''Fight''': KO a card from your discard pile.
'''Attack''': 5
'''VP''': 3

"
