schemtext	text
Reveal Heroes' Secret Identities	"<font size='4'>Reveal Heroes' Secret Identities</font>
<b>Setup</b>: 6 Twists. 7 Heroes in Hero Deck.
<b>Twist</b>: Put a Hero from the HQ next to the Scheme as an ""Unmasked"" Hero. All cards with ""Unmasked"" Hero Names cost +1 Recruit to recruit. You can't Unmask a Hero Name that has already been Unmasked.
<b>Evil Wins</b>: When 5 Heroes are Unmasked."
United States Split by Civil War	"<font size='4'>United States Split by Civil War</font>
<b>Setup</b>: 10 Twists.
<b>Twist</b>: If there is a Villain on the Streets or Bridge, put this Twist in a stack of ""Western States Victories."" Otherwise, if there is a Villain in the Sewers, put this Twist in a stack of ""Eastern States Victories.""
<b>Evil Wins</b>: When there are 3 Western Victories or 3 Eastern Victories.


"
Deadpool Kills the Marvel Universe	"<font size='4'>Deadpool Kills the Marvel Universe</font>
<b>Setup</b>: Use Deadpool as one of the Heroes. 2 players: Use 4 Heroes total. 1-3 players: 6 Twists. 4-5 Players: 5 Twists.
<b>Twist</b>: Reveal cards from the Hero Deck until you reveal a Deadpool card. KO all the cards you revealed.
<b>Evil Wins</b>: When the Hero Deck runs out."
Deadpool Wants a Chimichanga	"<font size='4'>Deadpool Wants a Chimichanga</font>
<b>Setup</b>: 6 Twists. 12 total Bystanders in the Villain Deck. All Bystanders represent ""Chimichangas."" <i>(They're Bystanders too.)</i> 3-5 players: Add a Villain Group.
<b>Nobody Eats Just One Chimichanga!</b> Whenever you play a Chimichanga from the Villain Deck, play another card from the Villain Deck.
<b>Twist</b>: Put each Chimichanga from the city into the Escape Pile. Then, each player shuffles a Chimichanga from their Victory Pile back into the Villain Deck. Any player who cannot do so gains a Wound.
<b>Evil Wins</b>: When 6 Chimichangas are in the Escape Pile."
Deadpool Writes a Scheme	"<font size='4'>Deadpool Writes a Scheme</font>
<b>Setup</b>: Hey, writing these doesn't seem so tough. Use the best Hero in the game: Deadpool! Add 6 Twists of Lemon, shake vigorously, and I'll make it up as I go.
<b>Twist 1</b>: Everybody draw 1 card. Wait, are these supposed to be bad?
<b>Twist 2</b>: Anyone without a Deadpool in hand is doing it wrong -- discard 2 cards.
<b>Twist 3</b>: Play 3 cards from the Villain Deck. That sounds pretty bad, right?
<b>Twist 4</b>: Each Villain captures 4 Bystanders. Hey, I'm not a balance expert.
<b>Twist 5</b>: Each player gains 5 Wounds. Is that a good number?
<b>Twist 6</b>: Deadpool wins 6 times! Wow, I'm way better at this game than you."
Everybody Hates Deadpool	"<font size='4'>Everybody Hates Deadpool</font>
<b>Setup</b>: 6 Twists. Use at least 1 Mercs for Money Hero.
<b>Special Rules</b>: All Villains have Revenge for their own Villain Groups. (If they already have Revenge, double it.)
<b>Twist</b>: Everyone reveals their hand. Whoever reveals the fewest Mercs for Money cards (or tied for fewest) gains a Wound.
<b>Evil Wins</b>: When 3 Villains per player have escaped.


"
Find the Split Personality Killer	"<font size='4'>Find the Split Personality Killer</font>
<b>Setup</b>: 8 Twists.
<b>Twist 1-5</b>: Shuffle 3 Bystanders from the Bystander Stack and the top card of the Hero Deck face down next to this Scheme as a deck of ""Murder Suspects.""
<b>Special Rules</b>: Whenever you defeat a Villain, you may pay 1 Attack extra to <i>'Investigate</i>' the Murder Suspects for a Bystander and rescue it.
<b>Twist 6</b>: Each player writes down their guess for which Hero Name is the Split Personality Killer. Reveal the entire Murder Suspects Deck. The Hero Name with the most cards in the Murder Suspect Deck (or tied for most) is the Split Personality Killer. Each player who guessed right wins. All other players lose."
Silence the Witnesses	"<font size='4'>Silence the Witnesses</font>
<b>Setup</b>: 6 Twists.
<b>Twist</b>: This Scheme captures 3 <i>'Hidden Witnesses</i>'. If it already had any '''Hidden Witnesses''', put those into the Escape Pile.
<b>Evil Wins</b>: When 6 Bystanders are in the Escape Pile."
Five Families of Crime	"<font size='4'>Five Families of Crime</font>
<b>Setup</b>: 8 Twists. Add two extra Villain Groups. Split the Villain Deck into 5 shuffled decks, one above each city space.
<b>Special Rules</b>: Each Villain Deck uses its own city of one city space. Each turn, you choose which Villain Deck plays a card.
<b>Twist</b>: Play two cards from a Villain Deck.
<b>Evil Wins</b>: When 8 Villains escape or all Villain Decks run out."
Hidden Heart of Darkness	"<font size='4'>Hidden Heart of Darkness</font>
<b>Setup</b>: 8 Twists. Shuffle the Mastermind Tactics into the Villain Deck as Villains.
<b>Special Rules</b>: If there are no Tactics in the city, you can win the game by fighting the Mastermind card.
<b>Twist</b>: Each player shuffles a Tactic from their victory pile into the Villain Deck. Any player who did so draws two cards. Then, <i>'Investigate</i>' the Villain Deck for a Tactic and that Tactic enters the city. Reveal all the cards you '''Investigated'''.
<b>Evil Wins</b>: When 2 Tactics escape.


"
Alien Brood Encounters	"<font size='4'>Alien Brood Encounters</font>
<b>Setup</b>: 8 Twists. Add 10 Brood as extra Henchmen. No Bystanders in Villain Deck.
<b>Special Rules</b>: Cards are played from the Villain Deck face-down. You may spend 1 Attack to ""scan"" a face-down card in the city, turning it face-up and doing any Ambush effect, Twist, Trap, or Master Strike. If a face-down card would escape, scan it, and then it escapes if it's a Villain.
<b>Twist</b>: The player on your right gains this Twist as a ""Brood Infection."" When drawn, they KO it and gain 2 Wounds.
<b>Evil Wins</b>: When 3 Villains per player have escaped."
Anti-Mutant Hatred	"<font size='4'>Anti-Mutant Hatred</font>
<b>Setup</b>: 11 Twists. 30 Wounds.
<b>Twist</b>: Put this Twist into your discard pile as an ""Angry Mob.""
<b>Special Rules</b>: At the start of your turn, for each Angry Mob in your hand, the player on your right gains a Wound and gains that Angry Mob.
<b>Evil Wins</b>: When the Wound Stack or Villain Deck runs out."
The Dark Phoenix Saga	"<font size='4'>The Dark Phoenix Saga</font>
<b>Setup</b>: 10 Twists. Include Hellfire Club as one of the Villain Groups. Add 14 Jean Grey Hero cards to the Villain Deck.
<b>Special Rules</b>: Jean Grey cards in the Villain Deck are Villains with attack equal to their cost, ""Ambush: Play another Villain card"" and ""Fight: Gain this as a Hero.""
<b>Twist</b>: Shuffle all Jean Grey cards from the KO pile and from all players' hands and discard piles into the Villain Deck.
<b>Evil Wins</b>: When 5 Jean Grey cards have escaped."
Horror of Horrors	"<font size='4'>Horror of Horrors</font>
<b>Setup</b>: 6 Twists
<b>Twist 1-5</b>: Play a random Horror.
<b>Twist 6</b>: Evil wins!"
Mutant-Hunting Super Sentinels	"<font size='4'>Mutant-Hunting Super Sentinels</font>
<b>Setup</b>: 9 Twists. Include 10 Sentinels as extra Henchmen (or substitute another Henchman group.)
<b>Twist</b>: Stack this Twist next to the Scheme as a ""Sentinel Upgrade."" Shuffle all Sentinels from players' Victory Piles into the Villain Deck. Play another card from the Villain Deck.
<b>Special Rules</b>: All Sentinels get +1 Attack for each Sentinel Upgrade next to the Scheme.
<b>Evil Wins</b>: When 3 Sentinels have Escaped."
Nuclear Armageddon	"<font size='4'>Nuclear Armageddon</font>
<b>Setup</b>: 5 Twists
<b>Twist</b>: Destroy the city space closest to the Mastermind. Any Villain There escapes. Put this Twist there.
<b>Evil Wins</b>: When the city is destroyed."
Televised Deathtraps of Mojoworld	"<font size='4'>Televised Deathtraps of Mojoworld</font>
<b>Setup</b>: 11 Twists. 6 Wounds per player in Wound Stack.
<b>Twist</b>: Stack this Twist next to the Scheme as a ""Deathtrap.' This turn, you may pay 1 Attack for each Deathtrap stacked there. If you don't, each player gains a Wound.
<b>Evil Wins</b>: When the Wound Stack or Villain Deck runs out."
X-Men Danger Room Goes Berserk	"<font size='4'>X-Men Danger Room Goes Berserk</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Trap! By End of Turn: You may pay 2 Recruit. If you do, shuffle this Twist back into the Villain Deck, then play a card from the Villain Deck. Or Suffer: Stack this Twist next to the scheme as an ""Airborne Neurotoxin.""
<b>Evil Wins</b>: When there are 5 Airborne Neurotoxins.


"
Distract the Hero	"<font size='4'>Distract the Hero</font>
<b>Setup</b>: 8 Twists. Use at least one Spider Friends Hero.
<b>Twist</b>: If you get any Victory Points this turn, put this Twist on the bottom of the Villain Deck. Otherwise, stack this Twist next to the Scheme as a Villainous Interruption.
<b>Evil Wins</b>: When there have been 5 Villainous Interruptions."
Explosion at the Washington Monument	"<font size='4'>Explosion at the Washington Monument</font>
<b>Setup</b>: 8 Twists. Shuffle 18 Bystanders and 14 Wounds, then deal them evenly into eight decks. Put these decks in a row, as Floors of the Washington Monument.
<b>Special Rules</b>: Whenever you fight a Villain, you may reveal any face-down card from any Floor. If it's a Bystander, rescue it. If it's a Wound, put it back face-up.
<b>Twist</b>: KO the topmost Floor of the Washington Monument. You gain one of the Wounds KO'd this way.
<b>Evil Wins</b>: When 10 Bystanders are in the KO pile and/or Escape Pile, or all Floors are KO'd."
Ferry Disaster	"<font size='4'>Ferry Disaster</font>
<b>Setup</b>: 9 Twists. Put the Bystander Stack above the Sewers as the ""Ferry.""
<b>Twist 1-4</b>: If there's a Villain in the city space below the Ferry, KO 2 Bystanders from the Ferry. Whether you KO'd or not, the Ferry moves one space left.
<b>Twist 5-8</b>: Same effect, but it moves right.
<b>Twist 9</b>: KO half the Bystanders from the Bystander deck, rounding up.
<b>Evil Wins</b>: When 7 Bystanders are in the KO pile and/or Escape Pile."
Scavenge Alien Weaponry	"<font size='4'>Scavenge Alien Weaponry</font>
<b>Setup</b>: 7 Twists. Add an extra Henchmen Group of 10 cards as Smugglers.
<b>Special Rules</b>: Smugglers have Striker.
<b>Twist</b>: Play two cards from the Villain Deck.
<b>Evil Wins</b>: When 3 Villains per player have escaped or the Villain Deck runs out.


"
Clash of the Monsters Unleashed	"<font size='4'>Clash of the Monsters Unleashed</font>
<b>Setup</b>: 10 Twists. 6 Wounds per player in the Wound Stack. Shuffle 8 Monsters Unleashed Villains into a face-down ""Monster Pit"" deck.
<b>Twist 3-10</b>: Each player chooses a Villain from their Victory Pile as their ""Gladiator."" Then the top card of the Monster Pit enteres the city. Each player whose Gladiator has a lower printed Attack than that Monster gains a Wound.
<b>Evil Wins</b>: When the Wound Stack or Monster Pit Deck runs out."
Divide and Conquer	"<font size='4'>Divide and Conquer</font>
<b>Setup</b>: 8 Twists. 7 Heroes. Sort the Hero Deck by Hero Class. https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png (If a card has multiple Classes, break ties at random.) Put these 5 smaller, shuffled Hero Decks beneath the 5 HQ Spaces.
<b>Special Rules</b>: Whenever an HQ Space is empty, fill it with the top card of the Hero Deck below that space.
<b>Twist 1-3</b>: KO all Heroes in the HQ.
<b>Twist 4-8</b>: KO one of the Hero Decks.
<b>Evil Wins</b>: When all Hero Decks are gone."
Hypnotize Every Human	"<font size='4'>Hypnotize Every Human</font>
<b>Setup</b>: 8 Twists. Add another Henchman Villain Group. No Bystanders in the Villain Deck.
<b>Twist 1-6</b>: Put a Bystander from the Bystander Stack above each city space as a facedown 2 Attack ""Hypno-Thrall"" Villain. They don't move. When you fight one, rescue it as a Bystander. You can't fight a Villain in a city space that has any Hypno-Thralls above it.
<b>Twist 7-8</b>: Each player puts a Villain from their Victory Pile into the Escape pile.
<b>Evil Wins</b>: When 8 Villains are in the Escape pile."
Steal All Oxygen on Earth	"<font size='4'>Steal All Oxygen on Earth</font>
<b>Setup</b>: 8 Twists. The ""Oxygen Level"" starts at 8.
<b>Twist</b>: Stack this Twist next to the Scheme. The Oxygen Level decreases by 1. Then KO each Hero from the HQ whose cost is greater than the Oxygen Level.
<b>Evil Wins</b>: When 20 non-grey Heroes are KO'd.


"
Break the Planet Asunder	"<font size='4'>Break the Planet Asunder</font>
<b>Setup</b>: 9 Twists. 7 Heroes.
<b>Twist</b>: Stack this Twist next to the Scheme as a ""Tectonic Break."" Then KO each Hero from the HQ whose printed Attack is less than the number of Tectonic Breaks (no printed Attack counts as 0).
<b>Evil Wins</b>: When 25 non-grey Heroes are KO'd."
Cytoplasm Spike Invasion	"<font size='4'>Cytoplasm Spike Invasion</font>
<b>Setup</b>: 10 Twists. Shuffle together 20 Bystanders and 10 Cytoplasm Spike Henchmen as an ""Infected Deck.""
<b>Twist</b>: Reveal the top three cards of the Infected Deck. KO all Bystanders you revealed. All Spikes you revealed enter the city.
<b>Evil Wins</b>: When the KO pile and Escape Pile combine to have 18 Bystanders and/or Spikes."
Fall of the Hulks	"<font size='4'>Fall of the Hulks</font>
<b>Setup</b>: 10 Twists. 6 Wounds per player in Wound Stack. Use exactly two Heroes with ""Hulk"" in their Hero Names.
<b>Twist 3-6</b>: <i>'Cross-Dimension Hulk Rampage</i>'.
<b>Twist 7-10</b>: Each player gains a Wound.
<b>Evil Wins</b>: When the Wound Stack runs out."
Gladiator Pits of Sakaar	"<font size='4'>Gladiator Pits of Sakaar</font>
<b>Setup</b>: 6 Twists.
<b>Twist</b>: Until the start of your next turn, each player can only play cards from a single Team of their choice during their turn. (e.g. S.H.I.E.L.D., Avengers, X-Men, Warbound, etc.)
<b>Evil Wins</b>: When 2 Villains per player have escaped or the Villain Deck runs out."
Mutating Gamma Rays	"<font size='4'>Mutating Gamma Rays</font>
<b>Setup</b>: 7 Twists. Take 14 cards from an extra Hero with ""Hulk"" in its Hero Name. Put them in a face-up ""Mutation Pile.""
<b>Twist 1-6</b>: Each player in turn does the following: Put a non-grey Hero from your hand into the Mutation Pile. Then you may put a different card name with the same cost from the Mutation Pile into your discard pile.
<b>Twist 7</b>: Evil Wins!"
Shoot Hulk into Space	"<font size='4'>Shoot Hulk into Space</font>
<b>Setup</b>: 8 Twists. Take 14 cards from an extra Hero with ""Hulk"" in its Hero Name. Shuffle them into a ""Hulk Deck.""
<b>Twist</b>: Put 2 cards from the Hulk Deck into a face-up ""Prison Ship"" stack next to the S.H.I.E.L.D. Officer Stack.
<b>Special Rules</b>: You may recruit the top card of the Prison Ship stack.
<b>Evil Wins</b>: When there are 10 cards in the Prison Ship or the Hulk Deck runs out."
Subjugate with Obedience Disks	"<font size='4'>Subjugate with Obedience Disks</font>
<b>Setup</b>: 11 Twists.
<b>Twist</b>: Put this Twist under an HQ space as an ""Obedience Disk."" No space can have two more Obedience Disks than any other space.
<b>Special Rules</b>: To recruit a Hero in the HQ, you must also pay 1 Recruit for each Obedience Disk under it.
<b>Evil Wins</b>: When each HQ space has 2 Obedience Disks."
World War Hulk	"<font size='4'>World War Hulk</font>
<b>Setup</b>: 9 Twists. Put three additional Masterminds out of play, ""Lurking."" Each of the four Masterminds has two random Tactics.
<b>Special Rules</b>: When you defeat all of a Mastermind's Tactics, KO its face card and a random Lurking Mastermind enters play.
<b>Twist 1-8</b>: Swap the current Mastermind with a random Lurking Mastermind.
<b>Twist 9</b>: Evil Wins!


"
Age of Ultron	"<font size='4'>Age of Ultron</font>
<b>Setup</b>: 11 Twists. 4-5 Players: Add another Hero.
<b>Twist</b>: Put the top card of the Hero Deck next to the Scheme in an ""Evolution"" Pile. Then this Twist enters the city as an ""Evolved Ultron"" Villain.
<b>Special Rules</b>: Evolved Ultrons have 4 Attack and are <i>'Empowered</i>' by each color in the Evolution pile. They're worth 6VP.
<b>Evil Wins</b>: When 7 Evolved Ultrons are in the city and/or Escape Pile."
Pull Earth into Medieval Times	"<font size='4'>Pull Earth into Medieval Times</font>
<b>Setup</b>: 9 Twists.
<b>Twist 1-6</b>: Until the start of your next turn, all Villains and Mastermind everywhere have <i>'Chivalrous Duel</i>'.
<b>Twist 7-9</b>: Each player puts a Villains from the Victory Pile into the Escape Pile.
<b>Evil Wins</b>: When 3 Villains per player have escaped."
Transform Commuters into Giant Ants	"<font size='4'>Transform Commuters into Giant Ants</font>
<b>Setup</b>: Twists equal to the number of players plus 6.
<b>Twist</b>: STack this Twist next to the Scheme. Then for each Twist in that stack, put a Bystander face down next to the Mastermind as a 2A ""Giant Ant"" Villain. When you fight one, rescue it as a Bystander.
<b>Evil Wins</b>: When ther are 10 Giant Ants next to the Mastermind."
Trap Heroes in the Microverse	"<font size='4'>Trap Heroes in the Microverse</font>
<b>Setup</b>: 11 Twists. Add all 14 cards for and extra Hero the Villain Deck.
<b>Special Rules</b>: Heroes in the Villain Deck are ""Micro-Sized Villains with Attack equal to their printed cost. They have <i>'Size-Changing</i>' for their card color and no outher abilites while in the city. When you fight one, choose any player to gain it as a Hero.
<b>Twist</b>: Play two cards from the Villain Deck.
<b>Evil Wins</b>: When 3 Villains per player have escaped or the Villain Deck runs out.


"
Invasion of the Venom Symbiotes	"<font size='4'>Invasion of the Venom Symbiotes</font>
<b>Setup</b>: 8 Twists. Add an extra Henchman Group.
<b>Twist</b>: This Twist enters the city as a 3 Attack ""Symbiote"" Villain worth 3VP with ""<i>'Ambush</i>': This '''Symbiote Bonds''' with another Villain in the city. Play another card from the Villain Deck.""
<b>Evil Wins</b>: When the Escape Pile has 3 cards per player, or the Villain Deck runs out."
Maximum Carnage	"<font size='4'>Maximum Carnage</font>
<b>Setup</b>: 10 Twists. Wound Stack has 6 Wounds per player.
<b>Twist</b>: Stack this Twist next to the Scheme. If the Streets are empty, put a Bystander there as a ""Possessed Psychotic"" Villain. If the Streets weren't empty, each player gains a Wound.
<b>Special Rules</b>: ""Possessed Psychotics"" have Attack equal to the number of Twists next to the Scheme. When you fight one, rescue it as a Bystander.
<b>Evil Wins</b>: When there are 6 Bystanders in the Escape Pile or the Wound Stack runs out."
Paralyzing Venom	"<font size='4'>Paralyzing Venom</font>
<b>Setup</b>: 6 Twists. All Bystanders are also ""Biochemists.""
<b>Twist</b>: Each player Kos a Biochemist from their Victory Pile or discards down to 4 cards in hand.
<b>Twist 6</b>: Evil Wins!"
Symbiotic Absorption	"<font size='4'>Symbiotic Absorption</font>
<b>Setup</b>: 11 Twists. Set aside a second ""Drained"" Mastermind and its 4 Tactics, out of play. Add its ""Always Leads"" Villains as an extra Villain Group.
<b>Twist 1-4</b>: Shuffle one of the Drained Mastermind's Tactics into the main Mastermind's Tactics.
<b>Twist 6, 8, 10</b>: The Mastermind uses this Twist to copy the Master Strike ability of the Drained Mastermind.
<b>Twist 11</b>: Evil Wins!
<b>Special Rules</b>: If Tactics or Master Strikes mention the Drained Mastermind, use the main Mastermind instead.

"
Earthquake Drains the Ocean	"<font size='4'>Earthquake Drains the Ocean</font>
<b>Setup</b>: 11 Twists. Add an extra Villain Group.
<b>Special Rules</b>: There are two extra ""Low Tide"" city spaces on the left side of the city, so the city has 7 spaces total.
<b>Twist</b>: The tide rushes in. This Scheme <i>'Transforms</i>'.
<b>Evil Wins</b>: When 3 Villains per player have escaped or the Villain Deck runs out.

Scheme Transformed
<font size='4'>Tsunami Crushes the Coast</font>
<b>Special Rules</b>: The Low Tide, Bridge, and Streets city spaces no longer exist. The city has 3 spaces total. Put this Scheme on the Streets to mark the edge of the city. Villains in destroyed city spaces escape, starting from the left.
<b>Twist</b>: The tide rushes out. This Scheme <i>'Transforms</i>', then play another card from the Villain Deck.
<b>Evil Wins</b>: When 3 Villains per player have escaped or the Villain Deck runs out."
House of M	"<font size='4'>House of M</font>
<b>Setup</b>: 8 Twists. Hero Deck is 4 X-Men Heroes and 2 non-X-Men Heroes. (Or substitute another team for all X-Men icons on both sides.) Add 14 Scarlet Witch Hero cards to the Villain Deck.
<b>Special Rules</b>: Each Scarlet Witch in the city is a Villain with Attack equal to its cost +3. If you fight one, gain it as a Hero.
<b>Twist</b>: KO all non-X-Men Heroes from the HQ. If there are at least 2 Scarlet Witch cards in the city, this Scheme <i>'Transforms</i>'. Otherwise play another card from the Villain Deck.

Scheme Transformed
<font size='4'>â€No More Mutantsâ€</font>
<b>Special Rules</b>: Each Scarlet Witch in the city is a Villain with Attack equal to its cost +4. If you fight one, gain it as a Hero.
<b>Twist</b>: KO all X-Men Heroes from the HQ. Play another card from the Villain Deck.
<b>Evil Wins</b>: When the number of non-grey Heroes in the KO pile is ten plus double the number of players."
Secret HYDRA Corruption	"<font size='4'>Secret HYDRA Corruption</font>
<b>Setup</b>: 30 Officers in the S.H.I.E.L.D. Officer stack. 1 player: 7 Twists. 2-3 players: 9 Twists. 4-5 players: 11 Twists.
<b>Special Rules</b>: Officers stacked next to this Scheme are ""Hydra Sympathizers."" You may pay 3 Recruit to have the player of your choice gain one as a Hero.
<b>Twist</b>: For each Twist in the KO pile (including this one), put a card from the S.H.I.E.L.D. Officer stack next to this Scheme. Then this Scheme <i>'Transforms</i>'.

Scheme Transformed
<font size='4'>Open HYDRA Revolution</font>
<b>Special Rules</b>: Officers next to this Scheme are 3 Attack ""Hydra Traitor"" Villains. When you fight one, return it to the Officer Stack and KO one of your Heroes.
<b>Twist</b>: For each Twist in the KO pile (including this one), put a card from the S.H.I.E.L.D. Officer stack next to this Scheme, Then if Evil hasn't won yet, this Scheme <i>'Transforms</i>'.
<b>Evil Wins</b>: When there are 15 Officers next to this Scheme or the S.H.I.E.L.D. Officer Stack runs out."
The Korvac Saga	"<font size='4'>The Korvac Saga</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Each player must discard down to four cards or KO a Bystander from their Victory Pile to ""search for the Korvac Entity."" This Scheme <i>'Transforms</i>'.

Scheme Transformed
<font size='4'>Korvac Revealed</font>
<b>Special Rules</b>: This Scheme counts as a 19 Attack ""Korvac"" Villain worth 9VP. If you defeat Korvac, KO the Mastermind and all its Tactics.
Twistc2,4,6: Each player discards an Avengers Hero or gains a Wound. This Scheme <b>Transforms</b>.
<b>Twist 8</b>: Evil Wins!

"
S.H.I.E.L.D. vs. HYDRA War	"<font size='4'>S.H.I.E.L.D. vs. HYDRA War</font>
<b>Setup</b>: 7 Twists. Include either the ""Hydra Elite"" or ""A.I.M., Hydra Offshoot"" Villain Group, but not both.
<b>Twist</b>: Each player puts a card from the S.H.I.E.L.D. Officer Stack face up next to the Scheme as a 3 Attack ""Double Agent"" Villain. If any Double Agents were already there, put one into the Escape Pile and put the rest on the bottom of the S.H.I.E.L.D. Officer Stack. You can fight any Double Agent next to the Scheme to gain it or send it <i>'Undercover</i>'.
<b>Evil Wins</b>: When the <i>'Hydra Level</i>' is 11."
Hail Hydra	"<font size='4'>Hail Hydra</font>
<b>Setup</b>: 11 Twists.
<b>Twist 1-9</b>: Choose one:
-Say ""I'd never abandon S.H.I.E.L.D."", and you can't fight this turn.
-Or whisper ""Hail Hydra"", you can't recruit this turn, and a Villain captures a Bystander.
<b>Twist 10</b>: Evil Wins!"
Hydra Helicarriers Hunt Heroes	"<font size='4'>Hydra Helicarriers Hunt Heroes</font>
<b>Setup</b>: 8 Twists. Add an extra Hero.
<b>Twist</b>: Stack this Twist next to the Scheme. Then for each Twist stacked there, choose a different Hero Class (https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png ), to a maximum of 5. KO each Hero from the HQ that has any of those Hero Classes.
<b>Evil Wins</b>: When there are 18 non-grey Heroes in the KO pile."
Secret Empire of Betrayal	"<font size='4'>Secret Empire of Betrayal</font>
<b>Setup</b>: 11 Twists. Randomly pick 5 cards that cost 5 or less from an additional Hero. Shuffle them to form a ""Dark Loyalty"" deck.
<b>Twist</b>: Shuffle this Twist into the Dark Loyalty deck as a ""Vicious Betrayal."" Then reveal the top card of that deck. If it's a Hero, gain it. If it's a Vicious Betrayal, put it next to the Scheme and each other player gains a Wound.
<b>Evil Wins</b>: When there are 6 Vicious Betrayals next to the Scheme.

"
Asgardian Test of Worth	"<font size='4'>Asgardian Test of Worth</font>
<b>Setup</b>: 11 Twists.
<b>Twist 1-7</b>: Each player who is not <i>'Worthy</i>' discards a card. Then, if at least half the players ''(round up)'' are not '''Worthy''', put this Twist next to the Scheme as a ""Moral Failing.""
<b>Twist 8-11</b>: Put this Twist next to the Scheme as a ""Moral Failing.""
<b>Evil Wins</b>: When there are 5 Moral Failings."
The Dark World of Svartalfheim	"<font size='4'>The Dark World of Svartalfheim</font>
<b>Setup</b>: 10 Twists.
<b>Twist</b>: Put this Twist next to a city space of HQ space that doesn't already have one, as ""Eternal Darkness.""
<b>Special Rules</b>: Villains in city spaces with Eternal Darkness get +1 Attack. To recruit a Hero in an HQ space with Eternal Darkness, you must pay an extra 1 Recruit.
<b>Evil Wins</b>: When all city spaces or all HQ spaces are covered in Eternal Darkness."
Ragnarok, Twilight of the Gods	"<font size='4'>Ragnarok, Twilight of the Gods</font>
<b>Setup</b>: 11 Twists.
<b>Twist</b>: Choose a Villain from your Victory Pile worth at least 2VP to enter the city. Then, if the total Attack of Villains in the city is at least as high as the Guardian Attack listed below, put this Twist next to the Scheme as a ""Guardian Defeated.""
<b>Twist 1</b>: Balder, 11 Attack	<i>'Twist 5</i>': Heimdall, 12 Attack
<b>Twist 2</b>: Odin, 24 Attack		<i>'Twist 6</i>': Frey, 7 Attack
<b>Twist 3</b>: Vidar, 19 Attack		<i>'Twist 7</i>': Frigga, 8 Attack
<b>Twist 4</b>: Tyr, 16 Attack		<i>'Twist 8-11</i>': Warriors of Valhalla, 6 Attack
<b>Evil Wins</b>: When there are 5 Guardians Defeated."
War of the Frost Giants	"<font size='4'>War of the Frost Giants</font>
<b>Setup</b>: 9 Twists.
<b>Twist 1-7</b>: This Twist enters the city as a ""Frost Giant Invader"" Villain worth 6VP with 6 Attack and the ability ""If you are not <i>'Worthy</i>', this gets +4 Attack.""
<b>Twist 8-9</b>: Same effect, then a Frost Giant Invader from each player's Victory Pile enters the city.
<b>Evil Wins</b>: When there are 5 Frost Giant Invaders in the city and/or Escape Pile.
"
The Demon Bear Saga	"<font size='4'>The Demon Bear Saga</font>
<b>Setup</b>: 8 Twists. Include Demons of Limbo as one of the Villain Groups. Put the Demon Bear Villain from that groups next to the Scheme.
<b>Twist</b>: If the Demon Bear is in the city, it escapes. Otherwise, the Demon Bear enters the city from wherever it is. If it was in a player's Victory Pile, that player rescues 4 Bystanders.
<b>Special Rules</b>: Whenever the Demon Bear escapes, stack a Twist next to the Scheme as a ""Dream Horror.""
<b>Evil Wins</b>: When there are 3 Dream Horrors."
Crash the Moon into the Sun	"<font size='4'>Crash the Moon into the Sun</font>
<b>Setup</b>: 11 Twists.
<b>Twist 1,3,5,7</b>: <i>'Moonlight</i>': Stack this Twist next to the Scheme as an ""Altered Orbit.""
<b>Twist 2,4,6,8</b>: <i>'Sunlight</i>': Same effect.
<b>Twist 9,10,11</b>: Same effect.
<b>Evil Wins</b>: When there are 4 Altered Orbits."
Trapped in the Insane Asylum	"<font size='4'>Trapped in the Insane Asylum</font>
<b>Setup</b>: 1 Twist, plus 2 Twists per player.
<b>Twist</b>: You face a ""Sanity Test"": Either keep this Twist in front of you as a ""Psychotic Break"", or discard a card and pass this Twist to the PLayer on your left and that player faces a Sanity Test.
<b>Special Rules</b>: On each of your turns, before you play other cards from your hand, you must play two randomly-selected cards from your hand for each Psychotic Break you have.
<b>Evil Wins</b>: When a player has 3 Psychotic Breaks."
