mmtext	text
The Goblin, Underworld Boss	"
'''Start of Game''': The Goblin captures 2 '''Hidden Witnesses'''.
'''Always Leads''': Goblin's Freak Show
'''Master Strike''': Two random Bystanders from each player's Victory Pile become '''Hidden Witnesses''' held by The Goblin. Any player who didn't have two Bystanders gains a Wound instead.
Attack: 10*
VP: 6

''Sinister Dreams''
'''Fight''': Each other player reveals a Sinister Six or Spider-Friends Hero or gains a Wound.

''Blackmail the Judges''
'''Fight''': For each Goblin's Freak Show Villain in the city, The Goblin captures 2 '''Hidden Witnesses'''.

''Carnival of Carnage''
'''Fight''': For each Goblin's Freak Show Villain in the city, each other player discards a card.

''Blind Loyalty''
'''Fight''': '''Investigate''' the Villain Deck for a Goblin's Freak Show Villain and put it into your Victory Pile.



"
Arcade	"
'''Start of Game''': Arcade captures 5 '''Human Shields'''.
'''Always Leads''': Murderworld
'''Master Strike''': Arcade captures a random Bystander from each player's Victory Pile as a '''Human Shield'''. Each player who didn't have a Bystander gains a Wound instead.
Attack: 3*
VP: 5

'''Start of Game''': Arcade captures 8 '''Human Shields'''. Play a random Horror.
'''Always Leads''': Murderworld
'''Master Strike''': Arcade captures two random Bystanders from each player's Victory Pile as a '''Human Shield'''. Each player who didn't have two Bystanders gains a Wound instead.
Attack: 4*
VP: 5

''I Love a Parade!''
'''Fight''': Arcade captures two '''Human Shields'''. Play an extra card from the Villain Deck next turn.

''I Need an Audience''
'''Fight''': Arcade captures '''Human Shields''' equal to the number of Villains in the city.

''Roulette Wheel of Death''
'''Fight''': Arcade captures a random Bystander as a '''Human Shield''' from each of these places: The Bystander Stack, the Escape Pile, each city space, and each other player's Victory Pile.

''Welcome to my Theme Park!''
'''Fight''': Arcade and each Murderworld Villain in the city capture two '''Human Shields'''.

"
Dark Phoenix	"
'''Always Leads''': Hellfire Club
'''Master Strike''': KO the top card of the Hero Deck and each card in the Hero Deck that shares a color with it. Shuffle the Hero Deck.
Dark Phoenix Wins: When the Hero Deck is empty.
13 Attack
VP: 7

'''Always Leads''': Hellfire Club
'''Master Strike''': KO the top card of the Hero Deck and each card in the Hero Deck that shares a color with it. Shuffle the Hero Deck. Then, each player plays a Hellfire Club card from their victory Pile. Next, play a random Horror.
Dark Phoenix Wins: When the Hero Deck is empty.
15 Attack
VP: 7

''Burn the World to Ashes''
'''Fight''': Each other player discards each card from their hand that has the same name as any card in the KO pile.

''Consume an Entire Galaxy''
'''Fight''': Each other player chooses a card from their discard pile that costs 1 or more and KOs it.

''Fiery Reincarnation''
'''Fight''': Gain a Hero from the KO pile that costs 7 or more.

''Worship Me as a God''
'''Fight''': Each other player gains two 0-cost cards from the KO pile.

"
Deathbird	"
Deathbird gets +1 Attack for each Shi'ar Villain in the city and Escape Pile.
'''Always Leads''': Shi'ar Imperial Guard and a Shi'ar Henchmen Group.
'''Master Strike''': If there are already any Shi'ar Villains in the city, each player gains a Wound. Then this strike enters the city as a Shi'ar Battle Cruiser Token Villain with 7 Attack worth 5 VP.
Attack: 8+
VP: 6

Deathbird gets +2 Attack for each Shi'ar Villain in the city and Escape Pile.
'''Always Leads''': Shi'ar Imperial Guard and a Shi'ar Henchmen Group.
'''Master Strike''': If there are already any Shi'ar Villains in the city, play a random Horror. Then this strike enters the city as a Shi'ar Battle Cruiser Token Villain with 9 Attack worth 6 VP.
Attack: 8+
VP: 6

''Shi'ar Elite Bodyguards''
'''Fight''': Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is ""'''Escape''': Shuffle this card back into Deathbird's Mastermind Tactics as another Tactic.""

''Shi'ar Extermination Legion''
'''Fight''': Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is: ""'''Escape''': Each player discards two cards.""

''Shi'ar Hovertake Battalion''
'''Fight''': Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is: ""'''Escape''': Each player gains a Wound.""

''Shi'ar Master Spies''
'''Fight''': Rescue 4 Bystanders. This Tactic enters the city as a Villain whose only ability is ""'''Escape''': This card becomes a Scheme Twist that takes effect immediately.""

"
Mojo	"
'''Start of Game''': Mojo captures 3 '''Human Shields'''. All Bystanders in Victory Piles are worth 3 VP.
'''Always Leads''': Mojoverse
'''Master Strike''': Mojo captures a '''Human Shield'''. Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discards a card at random.
Attack: 6*
VP: 5

'''Start of Game''': Mojo captures 6 '''Human Shields'''. Play a random Horror. All Bystanders in Victory Piles are worth 4 VP.
'''Always Leads''': Mojoverse
'''Master Strike''': Mojo and each Mojoverse Villain capture a '''Human Shield'''. Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or discards down to 4 cards each.
Attack: 7*
VP: 5

''Billions of TV Viewers''
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or chooses a random Bystander from their Victory Pile. Mojo captures those Bystanders as '''Human Shields'''.

''Brain-Melting TV Marathon''
'''Fight''': Each other player without a Mojo Tactic in their Victory Pile gains a Wound.

''Cross-Dimensional Marketing''
'''Fight''': You get +1 Recruit for each Bystander in your Victory Pile. Mojo captures a '''Human Shield'''.

''Mojo Branding Opportunity''
'''Fight''': Draw a card for each Mojoverse Villain in your Victory Pile. Mojo captures a '''Human Shield'''.

"
Onslaught	"
Each player's hand size is 1 less.
'''Always Leads''': Dark Descendants
'''Master Strike''': KO all Heroes Dominated by Onslaught. Then each player reveals their hand and chooses one of their non-grey Heroes. Onslaught Dominates those Heroes.
Attack: 10+
VP: 7

Each player's hand size is 1 less.
'''Always Leads''': Dark Descendants
'''Master Strike''': KO all Heroes Dominated by Onslaught. Then each player reveals their hand and chooses two of their non-grey Heroes. Onslaught Dominates those Heroes. Then play a random Horror.
Attack: 12+
VP: 7

''Godlike Psionic Entity''
'''Fight''': Onslaught Dominates all five Heroes from the HQ.

''Sins of X-Men Past''
'''Fight''': Each other player reveals the top six cards of their deck and chooses an X-Men Hero revealed this way. Onslaught Dominates those Heroes. Put the rest back in random order.

''Xavier and Magneto Combined''
'''Fight''': Reveal the top three cards of the Hero Deck. Onslaught Dominates all the X-Men and Brotherhood Heroes you revealed. Put the rest back in random order.

''Worldwide Mental Control''
'''Fight''': Onslaught Dominates four 0-cost Heroes from the KO pile. The next time a player fights Onslaught, KO those 0-cost Heroes.

"
Shadow King	"
'''Always Leads''': Shadow-X
'''Master Strike''': KO all Heroes Dominated by Shadow King. Then each player chooses a non-grey Hero from their discard pile. Shadow King Dominates those Heroes.
Attack: 7+
VP: 6

'''Start of Game''': Play two random Horrors.
'''Always Leads''': Shadow-X
'''Master Strike''': KO all Heroes Dominated by Shadow King. Then each player chooses a non-grey Hero from their discard pile. Shadow King Dominates those Heroes.
Attack: 9+
VP: 6

''Fiend of the Astral Plane''
'''Fight''': Each other player reveals their hand and shuffles two cards with Recruit icons from their hand back into their deck.

''Poison their Minds''
'''Fight''': Each other player reveals their hand and chooses one of their non-grey Heroes. Shadow King Dominates those Heroes.

''Psychic Seduction''
'''Fight''': Shadow King Dominates each Hero that costs 5 or less from the HQ.

''Telepathic Betrayal''
'''Fight''': If the ""Betrayal of the Shadow"" Trap is in any Victory Pile or the KO pile, put it on top of the Villain Deck.



"
Adrian Toomes	"
'''Double Striker'''
'''Always Leads''': Salvagers
'''Master Strike''': Starting from the Sewers, each Villain in the city uses its ""Escape"" ability.
'''Attack''': 5+
'''VP''': 6

'''Triple Striker'''
'''Always Leads''': Salvagers
'''Master Strike''': Starting from the Sewers, each Villain in the city uses its ""Ambush"" ability, then its ""Escape"" ability.
'''Attack''': 5+
'''VP''': 6

''Don't Interfere''
'''Fight''': '''Danger Sense 4'''. If this revealed any Bystanders, rescue them.

''More Harm than Good''
'''Fight''': Each other player discards a Spider Friends Hero or gains a Wound.
[size=8]''Flavor: ""Don't mess with me. Because I will kill you and everyone you care about.""''[/size]

''Take Everything''
'''Fight''': You may put a card from your discard pile on top of your deck.
[size=8]''Flavor: ""The world's changed. Time we change with it.""''[/size]

''The World's Changed''
'''Fight''': '''Danger Sense 3'''. Put all Henchmen Villains revealed this way into your Victory Pile, then do their ""Fight"" abilities.

"
Vulture	"
'''Striker'''
'''Always Leads''': Vulture Tech
'''Master Strike''': Put a Wound from the Wound Stack below each HQ space as a ""Winged Assault."" Whenever a player gains or KOs a Hero from the HQ, the player on their right gains one of the Wounds below that HQ space.
'''Attack''': 8+
'''VP''': 6

'''Striker'''
'''Always Leads''': Vulture Tech
'''Master Strike''': Put a Wound from the Wound Stack or KO pile below each HQ space as a ""Winged Assault."" Whenever a player gains or KOs a Hero from the HQ, the player on their right gains one of the Wounds below that HQ space, putting it on top of their deck.
'''Attack''': 10+
'''VP''': 6

''Bird of Prey''
'''Fight''': Each other player discards a Spider Friends Hero or discards two cards.

''Lurking Shadow''
'''Fight''': '''Danger Sense 2'''. If the Rooftops are empty, a Villain you revealed enters the Rooftops.

''Mid Air Heist''
'''Fight''': You get +5 Recruit usable only to recruit https://cf.geekdo-static.com/mbs/mb_26287_0.png Heroes.

''Winged Assault''
'''Fight''': Put two ""Winged Assault"" Wounds from under the HQ into each other player's discard pile.



"
Fin Fang Foom	"
'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Always Leads''': Monsters Unleashed
'''Master Strike''': '''Demolish''' each player, then do it again for each Monsters Unleashed Villain in the city and Escape Pile.
'''Attack''': 20*
'''VP''': 7

'''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Always Leads''': Monsters Unleashed
'''Master Strike''': '''Demolish''' each player, then do it again for each Monsters Unleashed Villain in the city and Escape Pile. KO all the Heroes '''Demolished''' this way.
'''Attack''': 24*
'''VP''': 7

''Alien Dragon Technology''
'''Fight''': A Hero in the HQ gets '''Size-Changing''' https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png this turn.

''Flammable Acid Breath''
'''Fight''': KO the top card of the Hero Deck. Then each other player KOs a Hero of that Hero class from their discard pile (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ).

''Multipronged Assault''
'''Fight''': Each other player reveals at least 3 Hero Classes (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ) or gains a Wound.

''Supersonic Dive Attack''
'''Fight''': KO the top card of the Hero Deck. Then each other player reveals their hand and discards a Hero of that Hero Class (https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png ).

"
Pagliacci	"
'''Always Leads''': Wrecking Crew
'''Master Strike 1, 5''': This card becomes a Scheme Twist that takes effect immediately.
'''Master Strike 2, 3, 4''': '''Demolish''' each player.
'''Attack''': 9
'''VP''': 6

'''Always Leads''': Wrecking Crew
'''Master Strike 1, 3, 5''': This card becomes a Scheme Twist that takes effect immediately.
'''Master Strike 2, 4''': '''Demolish''' each player.
'''Attack''': 11
'''VP''': 6

''Commedia Dell'Morte''
'''Fight''': Each other player may gain two Wounds. '''Demolish''' each of those players who does not.

''Creative Assassin''
'''Fight''': You get '''Versatile 3'''.
As killer clowns go, Pagliacci is not one you want to find under your bed.

''Insane Clown Has a Posse''
'''Fight''': Each other player may KO a Wrecking Crew Villain from their Victory Pile. '''Demolish''' each of those players who does not.

''Jester of a Twisted Opera''
'''Fight''': Each other player may KO a card from their discard pile that costs 1 or more. '''Demolish''' each of those players who does not.



"
General Ross	"

'''Start of Game''': Stack 8 Bystanders next to General Ross as ""Helicopter"" Villains with 2 Attack. You can fight them to rescue them as Bystanders. You can't fight General Ross while he has any Helicopters.
'''Always Leads''': Code Red
'''Master Strike''':  General Ross Transforms, then '''Cross-Dimensional Hulk Rampage'''.
'''Attack''': 6*
'''VP''': 6


'''Wounded Fury'''
You can't fight Helicopters, and they don't stop you from fighting Red Hulk.
'''Master Strike''': Red Hulk '''Transforms''', then stack a random Bystander from each player's Victory Pile next to this as a Helicopter. Each player who didn't have a Bystander gains a Wound instead.
'''Attack''': 9+
'''VP''': 6

''Bust You Down to Private''
'''Fight''': Each other player puts a non-grey Hero from their hand on the bottom of the Hero Deck, then puts a 0-cost Hero from the KO pile into their hand.
This Mastermind '''Transforms'''.

''Call Out the Army''
'''Fight''': Put 3 Bystanders from the Bystander Stack next to this Mastermind as ""Helicopters.""
This Mastermind '''Transforms'''.

''Personal Arsenal''
'''Fight''': For each Master Strike in the KO pile, put a Bystander from the Bystander Stack next to the Mastermind as a ""Helicopter.""
This Mastermind '''Transforms'''.

''Urban Warfare''
'''Fight''': Put a random Bystander next to the Mastermind as a ""Helicopter"" from each of these places: The Bystander Stack, the Escape Pile, each city space, and each other player's Victory Pile.
This Mastermind '''Transforms'''.

"
Illuminati, Secret Society	"

This Mastermind gets +4 Attack unless you '''Outwit''' them.
'''Always Leads''': Illuminati.
'''Master Strike''': Each player reveals their hand and discards two cards that each cost between 1 and 4. The Illuminati '''Transform'''.
'''Attack''': 11+
'''VP''': 7


Whenever a card effect causes a player to draw any number of cards, that player must then also discard a card.
'''Master Strike''': Each player reveals their hand and discards two cards that each cost between 5 and 8. The Illuminati '''Transform'''.
'''Attack''': 13
'''VP''': 7

''Black Bolt's Omni-Shout''
'''Fight''': Each other player reveals their hand and discards two cards with no rules text.
The Illuminati '''Transform'''.

''Dr. Strange's Orb of Agamotto''
'''Fight''': Each other player reveals their hand and discards a https://cf.geekdo-static.com/mbs/mb_26285_0.png or https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero.
The Illuminati '''Transform'''.

''Hulkbuster's Hammer Fist''
'''Fight''': Each other player reveals their hand and KOs a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero from their hand or discard pile.
The Illuminati '''Transform'''.

''Zom's Manacles of Living Bondage''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.
The Illuminati '''Transform'''.

"
King Hulk, Sakaarson	"

King Hulk gets +1 Attack for each Warbound Villain in the city and in the Escape Pile.
'''Always Leads''': Warbound.
'''Master Strike''': Each player KO's a Warbound Villain from their Victory Pile or gains a Wound. King Hulk '''Transforms'''.
'''Attack''': 9+
'''VP''': 6


'''Wounded Fury'''
'''Master Strike''': Each player reveals their hand, then KO's a card from their hand or discard pile that has the same card name as a card in the HQ. King Hulk '''Transforms'''.
'''Attack''': 10+
'''VP''': 6

''Fury of the Green Scar''
'''Fight''': Each other player reveals their hand and discards a Hero that isn't grey and isn't https://cf.geekdo-static.com/mbs/mb_26286_0.png.
King Hulk '''Transforms'''.

''Oath of the Warbound''
'''Fight''': The Villain in the Escape Pile with the highest printed Attack enters the Sewers.
King Hulk '''Transforms'''.

''Revenge from the Stars''
'''Fight''': After you put this in your Victory Pile, '''Cross-Dimensional Hulk Rampage'''.
King Hulk '''Transforms'''.

''Rule By the Strongest''
'''Fight''': You get +1 Recruit for each of your https://cf.geekdo-static.com/mbs/mb_26286_0.png Heroes.
King Hulk '''Transforms'''.

"
M.O.D.O.K.	"
All cards' '''Outwit''' abilities require four different costs instead of three.
'''Always Leads''': Intelligencia.
'''Master Strike''': Each player who can't '''Outwit''' M.O.D.O.K. gains a Wound, then M.O.D.O.K. '''Transforms'''.
'''Attack''': 9
'''VP''': 6

You can only fight M.O.D.O.K with Recruit, not Attack.
'''Master Strike''': Each player who can't '''Outwit''' M.O.D.O.K. KO's a non-grey Hero from their discard pile. M.O.D.O.K. '''Transforms'''.
'''Attack''': 8*
'''VP''': 6

''Brain Scramble''
'''Fight''': Each other player discards their hand, then draws as many cards as they discarded.
M.O.D.O.K. '''Transforms'''.

''Designed Only For...K.O.ING''
'''Fight''': Reveal the top three cards of your deck. KO one of them, draw one, and discard one.
M.O.D.O.K. '''Transforms'''.

''Don't Get a Big head About It''
'''Fight''': Draw a card for each Intelligencia Villain in your Victory Pile.
M.O.D.O.K. '''Transforms'''.

''Redundancy Algorithim''
'''Fight''': Each other player reveals their hand and discards two cards that hand the same cost.
M.O.D.O.K. '''Transforms'''.

"
The Red King	"
You can't fight the Red King while any Villains are in the city.
'''Always Leads''': Sakaar Imperial Guard.
'''Master Strike''': The Red King '''Transforms''', then each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png card or gains a Wound.
'''Attack''': 7*
'''VP''': 6

'''Master Strike''': The Red King Transforms, then play another card from the Villain Deck.
'''Attack''': 10
'''VP''': 6

''Haughty Spite''
'''Fight''': Each other player without a Red King Tactic in their Victory Pile gains a Wound.
The Red King '''Transforms'''.

''Royal Bodyguard''
'''Fight''': Reveal cards from the Villain Deck until you reveal a Sakaar Imperial Guard. If you find one, play it. Either way, shuffle all the other revealed cards back into the Villain Deck.
The Red King '''Transforms'''.

''Treasury of Sakaar''
'''Fight''': You get +1 Recruit for each Sakaar Imperial Guard and Red King Tactic in your Victory Pile, including this one.
The Red King '''Transforms'''.

''Vast Armies of Sakaar''
'''Fight''': If this is not the final Tactic, reveal the top three cards of the Villain Deck. Play all the Villains you revealed. Put the rest back in random order.
The Red King '''Transforms'''.

"
The Sentry	"
'''Start of Game''': Shuffle 2 Wounds into each player's deck before drawing starting hands.
'''Always Leads''': Aspects of the Void.
'''Master Strike''': The Sentry '''Transforms''', then '''Cross-Dimensional Void Rampage'''.
'''Attack''': 10
'''VP''': 6

'''Wounded Fury'''
'''Master Strike''': '''Feast''' on each player. If this feasts on a player's grey Hero, that player gains a Wound.
The Void '''Transforms'''.
'''Attack''': 11+
'''VP''': 6

''Pacifying Light''
'''Fight''': Each other player reveals their hand and discard two cards with Recruit icons.
This Mastermind '''Transforms'''.

''Power of a Million Exploding Suns''
'''Fight''': Put all Heroes from the HQ on the bottom of the Hero Deck. Each other player reveals their hand and discards each card with the same card name as any of those cards.
This Mastermind '''Transforms'''.

''Reflexive Teleportation''
'''Fight''': Choose one of your Heroes that costs 5 or less. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as an extra card.
This Mastermind '''Transforms'''.

''Repressed Darkness''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or plays an Aspects of the Void Villain from their Victory Pile as if playing it from the Villain Deck.
This Mastermind '''Transforms'''.



"
Ultron	"

'''Always Leads''': Ultron's Legacy
'''Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts a non-grey Hero from their discard pile into a ""Threat Analysis pile"" next to Ultron. Ultron is '''Empowered''' by each color in his Threat Analysis pile.
Attack: 9+
VP: 6


'''Always Leads''': Ultron's Legacy
'''Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts a non-grey Hero from their discard pile into a ""Threat Analysis pile"" next to Ultron. Ultron is '''Triple Empowered''' by each color in his Threat Analysis pile.
Attack: 10+
VP: 6

''Arrogant Blindspot''
'''Fight''': You may gain a Hero from Ultron's Threat Analysis pile.

''Paralyzing Encephalo-Ray''
'''Fight''': Each other player reveals their hand and discards each card that has the same card name as any card in Ultron's Threat Analysis pile.

''Predictive Analysis''
'''Fight''': Put the top three cards of the Hero Deck into Ultron's Threat Analysis pile.

''Self-Repairing Legions''
'''Fight''': Each other player in turn reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts an Ultron's Legacy Villain from the Victory Pile into an empty city space.

"
Morgan Le Fay	"

'''Chivalrous Duel'''
'''Always Leads''': Queen's Vengeance
'''Master Strike''': Each player in turn reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a 0-cost Hero or Wound from the KO pile.
Attack: 7*
VP: 6



'''Chivalrous Duel'''
'''Always Leads''': Queen's Vengeance
'''Master Strike''': Each player in turn gains a Wound, then gains a 0-cost Hero from the KO pile.
Attack: 9*
VP: 6

''Reverse the Flow of Time''
'''Fight''': For the rest of the game, players take turns in the opposite order around the table.

''Sorcerous Blasts''
'''Fight''': Each other player discards a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or gains a Wound.

''Stolen Tomes of Merlin''
'''Fight''': You get +4 Recruit usable only for recruiting https://cf.geekdo-static.com/mbs/mb_26283_0.png and/or https://cf.geekdo-static.com/mbs/mb_26285_0.png Heroes.

''Transmogrify''
'''Fight''': Each other player in turn KOs a non-grey Hero from their discard pile, then gains a card from the KO pile that has a lower cost.



"
Hybrid	"
If you fight Hybrid while he's bonded to a Villain, defeat that Villain and rescue three Bystanders instead of taking a Tactic.
'''Always Leads''': Life Foundation
'''Master Strike''': A Villain from the city '''Symbiote Bonds''' with Hybrid, If Hybrid was already bonded, then each player gains a Wound instead.
'''Attack''': 6
'''VP''': 6

If you fight Hybrid while he's bonded to a Villain, defeat that Villain and rescue three Bystanders instead of taking a Tactic.
'''Always Leads''': Life Foundation
'''Master Strike''': The highest Attack unbonded Villain from the city and/or Escape Pile '''Symbiote Bonds''' with Hybrid. If no new bond could occur, then each player gains a Wound instead.
'''Attack''': 8
'''VP''': 6

Alien Awakening
'''Fight''': If this is not the final tactic, a Henchman Villain from any Victory Pile '''Symbiote Bonds''' with Hybrid.

Escaped Monstrosity
'''Fight''': If this is not the final Tactic, a Villain from the city or Escape Pile '''Symbiote Bonds''' with Hybrid.

Life Foundation Research
'''Fight''': You get +1 Recruit for each Life Foundation Villain in your Victory Pile.

Symbiotic Call
'''Fight''': If this is not the final Tactic, reveal the top four cards of the Villain Deck. A Henchman Villain you revealed '''Symbiote Bonds''' with Hybrid. Put the rest back in any order.

"
Poison Thanos	"
Poison Thanos gets +1 Attack for each different cost among cards in his ""Poisoned Souls"" pile.
'''Always Leads''': Poisons
'''Master Strike''': Each player reveals their hand and puts one of their non-grey Heroes next to Thanos in a ""Poisoned Souls: pile.
'''Attack''': 12+
'''VP''': 7

Poison Thanos gets +2 Attack for each different cost among cards in his ""Poisoned Souls"" pile.
'''Always Leads''': Poisons
'''Master Strike''': Each player reveals their hand and puts half (round up) of their non-grey Heroes net to Thanos in a ""Poisoned Souls"" pile. Each player that lost no Heroes this way gains a Wound.
'''Attack''': 13+
'''VP''': 7

Desperate Rescue
'''Fight''': You may gain a Hero from Poison Thanos' ""Poisoned Souls"" pile.

Poisoned Loyalties
'''Fight''': Each other player puts a Poisons card from their discard pile into Poison Thanos' ""Poisoned Souls"" pile.

Searing Poisons
'''Fight''': Each other player discards a Poisons card from their hand or gains a Wound.

Soul Seize
'''Fight''': Put all Heroes that cost 5 or more from the HQ into Poison Thanos' ""Poisoned Souls"" pile.



"
J. Jonah Jameson	"

'''Start of Game''': Put 2 S.H.I.E.L.D. Officers per player into a face down ""Angry Mobs"" stack.
'''Special Rules''': You can spend 4 Attack to reveal a random Angry Mob and put it into any player's discard pile. You can't fight J. Jonah Jameson while he has Angry Mobs.
'''Always Leads''': Spider-Slayers
'''Master Strike''': Each player '''Investigates''' their deck for a card and puts it into the Angry Mobs stack.
Attack: 4*
VP: 5


'''Start of Game''': Put 3 S.H.I.E.L.D. Officers per player into a face down ""Angry Mobs"" stack.
'''Special Rules''': You can spend 5 Attack to reveal a random Angry Mob and put it into any player's discard pile. You can't fight J. Jonah Jameson while he has Angry Mobs.
'''Always Leads''': Spider-Slayers
'''Master Strike''': Each player '''Investigates''' their deck for a card and puts it into the Angry Mobs stack. If that card cost 0, that player gains a Wound.
Attack: 5*
VP: 5

Incite Violent Riots
'''Fight''': Each player puts a Wound from the Wound Stack into the Angry Mobs stack.

Promote Spider-Slayer Security
'''Fight''': Each other player puts a Spider-Slayer from their Victory Pile into the Angry Mobs stack. When a Spider-Slayer is revealed from the Angry Mobs, it enters the city.

Slanderous Editorial
'''Fight''': Each other player '''Investigates''' their deck for a non-grey Hero and puts it into the Angry Mobs stack. Players reveal all the cards they investigated.

That Menace Spider-Man!
'''Fight''': Each other player reveals their hand and discard a Spider-Friends Hero. Any player who cannot must instead put a non-grey card from their hand into the Angry Mobs stack.



"
Grim Reaper	"
Grim Reaper gets +1 Attack for each Location card in the city.
'''Always Leads''': Lethal Legion
'''Master Strike''': This Strike enters the city as a 7 Attack ""Graveyard"" Location that says ""This gets +2 Attack while there's a Villain here."" It's Worth 5VP.
Attack: 8+
VP: 6

Grim Reaper gets +2 Attack for each Location card in the city.
'''Always Leads''': Lethal Legion
'''Master Strike''': This Strike enters the city as an 8 Attack ""Graveyard"" Location that says ""This gets +3 Attack while there's a Villain here."" It's worth 6VP. Then, if there are at least three Location cards in the city, each player gains a Wound.
Attack: 9+
VP: 6

''Carnival of Concussions''
'''Fight''': If this was not already a '''Location''', draw three cards, and this card enters the city as a Location with this ability:
Whenever you fight a Villain here, each other player KOs a Bystander from their Victory Pile.

''Cult of Skulls''
'''Fight''': If this was not already a '''Location''', KO up to two cards from your discard pile, and this card enters the city as a Location with this ability:
Whenever you fight a Villain here, each other player reveals their hand and discards a non-grey card.

''Maze of Bones''
'''Fight''': If this was not already a '''Location''', look at the top four cards of your deck, KO any number of them, and put the rest back in any order. Then this card enters the city as a Location with this ability:
Whenever you fight a Villain here, each other player gains a Wound.

''Prison of Coffins''
'''Fight''': If this was not already a '''Location''', you get +5 Recruit, and this card enters the city as a Location with this ability:
Whenever you fight a Villain here, each other player puts a Villain from their Victory Pile into the Escape Pile.

"
Mandarin	"
All Mandarin's Rings get +1 Attack. 
Mandarin gets -1 Attack for each Mandarin's Ring among all players' Victory Piles. (-3 Attack for each in solo.)
'''Always Leads''': Mandarin's Rings
'''Master Strike''': Each player chooses a Mandarin's Ring from their Victory Pile to enter the city. Any player who didn't have a Ring gains a Wound instead.
Attack: 16*
VP: 6

All Mandarin's Rings get +2 Attack. 
Mandarin gets -2 Attack for each Mandarin's Ring among all players' Victory Piles. (-6 Attack for each in solo.)
'''Always Leads''': Mandarin's Rings
'''Master Strike''': Each player chooses a Mandarin's Ring from their Victory Pile to enter the city. Any player who didn't have a Ring gains a Wound to the top of their deck instead.
Attack: 26*
VP: 6

''Circles Unbroken''
'''Fight''': Draw a card for each Mandarin's Ring in your Victory Pile.

''Dragon of Heaven Spaceship''
'''Fight''': If this was not already a '''Location''', KO up to two of your Heroes, and this card enters the city as a Location with this ability:
Whenever you fight a Villain here, each other player reveals their hand and KOs one of their non-grey Heroes.
'''Fight''': KO up to two of your Heroes.

''Intertwining Powers''
'''Fight''': Each other player without at least two Mandarin's Rings in their Victory Pile gains a Wound.

''Rings Seek Their True Hand''
'''Fight''': Each other player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts a Mandarin's Ring from their Victory Pile into the Escape Pile.

"
