Group	Name	Ct	Set	VP	BP	B	R	G	Y	S	SP	ESC	AMB	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	MM	Cty	Protection	NOTE	file	loc	id	keywords	seq
The Deadlands	Zombie Mysterio	1	SW1	6	6							1	1						1				Rise of the Living Dead		sw1,jpg	4 2	The Deadlands	Rise of the Living Dead	230
The Deadlands	Zombie MODOKS	1	SW1	3	5								1				1						Rise of the Living Dead		sw1,jpg	8 2	The Deadlands	Rise of the Living Dead	231
The Deadlands	Zombie Baron Zemo	1	SW1	4	6								1	Avengers	2					1			Rise of the Living Dead		sw1,jpg	7 2	The Deadlands	Rise of the Living Dead	232
The Deadlands	Zombie Madame Hydra	1	SW1	2	4								1				1						Rise of the Living Dead		sw1,jpg	6 2	The Deadlands	Rise of the Living Dead	233
The Deadlands	Zombie Venom	1	SW1	3	5		2					1	1										Rise of the Living Dead		sw1,jpg	3 2	The Deadlands	Rise of the Living Dead	234
The Deadlands	Zombie Thanos	1	SW1	6	9							1	1				2				1		Rise of the Living Dead		sw1,jpg	2 2	The Deadlands	Rise of the Living Dead	235
The Deadlands	Zombie Loki	1	SW1	6	8			1				1	1								1		Rise of the Living Dead		sw1,jpg	1 2	The Deadlands	Rise of the Living Dead	236
The Deadlands	Zombie Mr. Sinister	1	SW1	5	7		1					1	1							1	1		Rise of the Living Dead		sw1,jpg	5 2	The Deadlands	Rise of the Living Dead	237
Thunderbolts	Fixer	2	CW	2	4											-1	1								civilwar,jpg	9 7	Thunderbolts	""	238
Thunderbolts	Songbird	2	CW	3	5							1				1									civilwar,jpg	8 7	Thunderbolts	""	239
Thunderbolts	Radioactive Man	2	CW	4	6							1				1									civilwar,jpg	7 7	Thunderbolts	Fortify	240
Thunderbolts	Mach-IV	2	CW	3	5					1		1				1									am2,jpg	1 1	Thunderbolts	""	241
Underworld	Azazel	2	DC	2	4																				darkcity2,jpg	5 1	Underworld	Teleport	242
Underworld	Lilith, Daughter of Dracula	2	DC	3	5							1													darkcity2,jpg	2 1	Underworld	""	243
Underworld	Blackheart	2	DC	4	6							1	1	Marvel Knights	1	1									darkcity2,jpg	3 1	Underworld	""	244
Underworld	Dracula	2	DC	4	7								1												darkcity2,jpg	4 1	Underworld	""	245
Utopolis	Doctor Spectrum	3	SW2	4	6						1	1	1				1		1						sw2,jpg	2 6	Utopolis	Charge|Spectrum	246
Utopolis	Nighthawk	2	SW2	4	8							1										-1			sw2,jpg	3 6	Utopolis	""	247
Utopolis	Whizzer	2	SW2	3	5							1	1			1			2						sw2,jpg	5 6	Utopolis	Charge|Patrol	248
Utopolis	Warrior Woman	1	SW2	6	8							1	1						1		1				sw2,jpg	4 6	Utopolis	Charge|Patrol	249
Wasteland	The Hulk Gang	3	SW1	3	5							1				1									sw1,jpg	3 4	Wasteland	Cross-Dimensional Rampage	250
Wasteland	Wasteland Spider-Girl	2	SW1	2	4												1								sw1,jpg	2 4	Wasteland	""	251
Wasteland	Wasteland Hawkeye	2	SW1	4	6								1							1					sw1,jpg	4 4	Wasteland	""	252
Wasteland	Wasteland Kingpin	1	SW1	6	11				1			1									1		Bribe		sw1,jpg	1 4	Wasteland	Bribe	253
X-Men '92	92 Wolverine	2	SW2	0	7				1			1				1									sw2,jpg	9 6	X-Men '92	Cross-Dimensional Rampage	254
X-Men '92	92 Beast	2	SW2	0	5					1									1						sw2,jpg	6 6	X-Men '92	Charge	255
X-Men '92	92 Jubilee	3	SW2	0	4						1														sw2,jpg	7 6	X-Men '92	Spectrum	256
X-Men '92	92 Professor X	1	SW2	6	8							1									1				sw2,jpg	8 6	X-Men '92	""	257
X-Men Noir	Comrade Rasputin	2	N	3	5												1								noir,jpg	5 3	X-Men Noir	Investigate	258
X-Men Noir	Jean Grey Noir	1	N	3	5																				noir,jpg	3 3	X-Men Noir	Investigate	259
X-Men Noir	"Scott ""Cyclops"" Summer"	1	N	4	6							1					2								noir,jpg	7 3	X-Men Noir	Investigate	260
X-Men Noir	"Henry ""Beast"" McCoy"	1	N	3	5			1		1															noir,jpg	2 3	X-Men Noir	Investigate	261
X-Men Noir	"Bobby ""Iceman"" Drake"	1	N	2	4																				noir,jpg	6 3	X-Men Noir	Investigate	262
X-Men Noir	Warden Emma Frost	1	N	4	6							1													noir,jpg	4 3	X-Men Noir	Investigate	263
X-Men Noir	Ororo Munroe, Storm-tossed	1	N	2	4												2								noir,jpg	1 3	X-Men Noir	Investigate	264
Zola's Creations	Man-Fish	2	C75	4	6							1				1						-1			c75,jpg	8 3	Zola's Creations	Abomination	265
Zola's Creations	Captain Zolandia	2	C75	5	7						1											-1			c75,jpg	6 3	Zola's Creations	Abomination	266
Zola's Creations	Primus	2	C75	3	3							1													c75,jpg	9 3	Zola's Creations	""	267
Zola's Creations	Doughboy	2	C75	3	5												1					-1			c75,jpg	7 3	Zola's Creations	Abomination	268
Warbound	No-Name, Brood Queen	2	WW	3	4												1								hulk,jpg	1 7	Warbound	Wounded Fury|Feast	269
Warbound	Miek the Unhived	2	WW	3	5												1								hulk,jpg	2 7	Warbound	Feast	270
Warbound	Elloe Kaifi	1	WW	3	5																				hulk,jpg	3 7	Warbound	""	271
Warbound	Hiroim	1	WW	5	7							1					2								hulk,jpg	9 6	Warbound	""	272
Warbound	Korg	1	WW	4	6							1	1				2								hulk,jpg	10 6	Warbound	""	273
Warbound	Warbound Rescue	1	WW	7	-1											1			1						hulk,jpg	4 7	Warbound	""	274
U-Foes	X-Ray	2	WW	3	5	1										-1	1								hulk,jpg	8 5	U-Foes	""	275
U-Foes	Vector	2	WW	2	4				1																hulk,jpg	9 5	U-Foes	""	276
U-Foes	Vapor	2	WW	2	4		1					1				1									hulk,jpg	10 5	U-Foes	""	277
U-Foes	Unidentified Flying U-Foes	1	WW	3	-1					1									2						hulk,jpg	2 6	U-Foes	Trap	278
U-Foes	Ironclad	1	WW	4	6			1				1					2								hulk,jpg	1 6	U-Foes	""	279
Sakaar Imperial Guard	Great Devil Corker	2	WW	4	6											-1	1								hulk,jpg	1 3	Sakaar Imperial Guard	Feast	280
Sakaar Imperial Guard	Primus Vand	2	WW	3	3												1		1						hulk,jpg	10 2	Sakaar Imperial Guard	""	281
Sakaar Imperial Guard	Headman Charr	2	WW	2	2							1													hulk,jpg	9 2	Sakaar Imperial Guard	""	282
Sakaar Imperial Guard	Lieutenant Caiera	1	WW	5	7																				hulk,jpg	2 3	Sakaar Imperial Guard	Outwit	283
Sakaar Imperial Guard	Gladiators' Colosseum	1	WW	4	-1																				hulk,jpg	3 3	Sakaar Imperial Guard	Trap	284
Intelligencia	Battle of Wits	2	WW	3	-1																		outwit		hulk2,jpg	6 4	Intelligencia	Outwit|Trap	285
Intelligencia	Cosmic Hulk Robot	2	WW	4	5							1	1			1							wounded fury		hulk2,jpg	5 4	Intelligencia	Wounded Fury|Outwit	286
Intelligencia	The Leader, Gamma Fiend	2	WW	3	5								1						2				outwit		hulk2,jpg	4 4	Intelligencia	Outwit	287
Intelligencia	Doc Samson	2	WW	3	4												1						outwit		hulk2,jpg	3 4	Intelligencia	Outwit	288
Illuminati	Black Bolt	2	WW	5	13							1											Cards with no rules text		hulk2,jpg	5 3	Illuminati	""	289
Illuminati	Hulkbuster Iron Man	2	WW	4	6							1											outwit		hulk2,jpg	4 3	Illuminati	Outwit|Cross-Dimensional Rampage	290
Illuminati	Dr. Strange	2	WW	3	5								1												hulk2,jpg	2 3	Illuminati	Outwit	291
Illuminati	Dr. Strange, Possessed by Zom	1	WW	3	5								1							2					hulk2,jpg	3 3	Illuminati	""	292
Illuminati	Enchain the Hulk	1	WW	4	-1											1							Same color		hulk2,jpg	6 3	Illuminati	Cross-Dimensional Rampage	293
Code Red	Elektra, Red Blades	2	WW	3	5		1										1								hulk3,jpg	6 3	Code Red	""	294
Code Red	Crimson Dynamo	2	WW	2	4		1																		hulk3,jpg	5 3	Code Red	""	295
Code Red	Red She-Hulk	1	WW	5	6		1					1				1							wounded fury		hulk2,jpg	2 1	Code Red	Wounded Fury	296
Code Red	Punisher, Red Dot Sniper	1	WW	4	6		1									-1	1								hulk2,jpg	1 1	Code Red	""	297
Code Red	Thundra	1	WW	3	4								1												hulk3,jpg	7 3	Code Red	""	298
Code Red	Caught Red-Handed	1	WW	3	-1		1									1									hulk2,jpg	3 1	Code Red	Trap	299
Aspects of the Void	Black Anti-Hurricane	2	WW	4	6							1													hulk,jpg	7 7	Aspects of the Void	""	300
Aspects of the Void	Shadow Man	2	WW	3	5																				hulk,jpg	6 7	Aspects of the Void	""	301
Aspects of the Void	Infini-Tendrils	2	WW	3	4								1							1			wounded fury		hulk,jpg	5 7	Aspects of the Void	Wounded Fury	302
Aspects of the Void	Demonform	1	WW	5	7												1								hulk,jpg	8 7	Aspects of the Void	""	303
Aspects of the Void	Psychotic Break	1	WW	2	-1								1						1					master strike	hulk,jpg	9 7	Aspects of the Void	Trap	304
Monsters Unleashed	Tim Boo Ra	1	CH	5	12						1													Size-changing	champions,jpg	3 2	Monsters Unleashed	Size-Changing	305
Monsters Unleashed	Zzutak	1	CH	5	9	1			1			1												Size-changing	champions,jpg	2 2	Monsters Unleashed	Size-Changing|Demolish	306
Monsters Unleashed	Trull the Unhuman	1	CH	4	8		1			1			1							1				Size-changing	champions,jpg	1 2	Monsters Unleashed	Size-Changing|Demolish	307
Monsters Unleashed	Goom	1	CH	4	6												1			1					champions,jpg	10 1	Monsters Unleashed	""	308
Monsters Unleashed	Sporr	1	CH	3	7	1				1														Size-changing	champions,jpg	9 1	Monsters Unleashed	Size-Changing	309
Monsters Unleashed	Groot from Planet X	1	CH	2	6		1	1											1	1				Size-changing	champions,jpg	8 1	Monsters Unleashed	Size-Changing	310
Monsters Unleashed	Monsteroso	1	CH	2	5			1	1															Size-changing	champions,jpg	7 1	Monsters Unleashed	Size-Changing	311
Monsters Unleashed	Orrgo	1	CH	2	2																				champions,jpg	6 1	Monsters Unleashed	""	312
Wrecking Crew	The Wrecker	2	CH	5	7																				champions,jpg	8 4	Wrecking Crew	Demolish	313
Wrecking Crew	Piledriver	2	CH	4	6												1								champions,jpg	7 4	Wrecking Crew	Demolish	314
Wrecking Crew	Thunderball	2	CH	3	5																	1			champions,jpg	6 4	Wrecking Crew	Demolish	315
Wrecking Crew	Bulldozer	2	CH	2	4								1						1						champions,jpg	5 4	Wrecking Crew	Demolish	316
Life Foundation	Riot	2	VE	2	2								1				1						Symbiotic		venom,png	10 2	Life Foundation	Symbiote Bond	317
Life Foundation	Lasher	2	VE	2	2								1										Symbiotic		venom,png	7 2	Life Foundation	Symbiote Bond	318
Life Foundation	Phage	1	VE	3	3								1										Symbiotic		venom,png	9 2	Life Foundation	Symbiote Bond	319
Life Foundation	Agony	1	VE	3	3		1						1										Symbiotic		venom,png	5 2	Life Foundation	Symbiote Bond	320
Life Foundation	Scream	1	VE	4	4								1										Symbiotic		venom,png	2 3	Life Foundation	Symbiote Bond	321
Life Foundation	Dr. Carlton Drake	1	VE	3	5				1	1															venom,png	6 2	Life Foundation	""	322
Poisons	Poison Dr. Octopus	1	VE	0	3														1			-1	Symbiotic		venom,png	6 3	Poisons	Symbiote Bond	323
Poisons	Poison Scarlet Witch	1	VE	0	3														1				Symbiotic		venom,png	10 3	Poisons	Symbiote Bond	324
Poisons	Poison Hulk	1	VE	0	5			1											1				Symbiotic		venom,png	5 3	Poisons	Symbiote Bond	325
Poisons	Poison Captain America	1	VE	0	4						1								1				Symbiotic		venom,png	4 3	Poisons	Symbiote Bond	326
Poisons	Poison Storm	1	VE	0	3	1													1			-1	Symbiotic		venom,png	9 3	Poisons	Symbiote Bond	327
Poisons	Poison Sabertooth	1	VE	0	4				1										1			-1	Symbiotic		venom,png	7 3	Poisons	Symbiote Bond	328
Poisons	Symbiotic Armor	1	VE	6	1								1				1							Protects the mm	venom,png	3 3	Poisons	Symbiote Bond	329
Poisons	Poison Spiderman	1	VE	0	2														1				Symbiotic		venom,png	8 3	Poisons	Symbiote Bond	330
Queen's Vengeance	Star-Knight	1	AM	3	3												1						Chivalrous Duel		antman,jpg	2 6	Queen's Vengeance	Chivalrous Duel	331
Queen's Vengeance	Yeoman America	1	AM	5	5																		Chivalrous Duel		antman,jpg	1 6	Queen's Vengeance	Chivalrous Duel	332
Queen's Vengeance	Pixie	1	AM	2	3		2																		antman,jpg	1 1	Queen's Vengeance	Size-Changing	333
Queen's Vengeance	Mordred the Evil	1	AM	3	5							1													antman,jpg	2 1	Queen's Vengeance	""	334
Queen's Vengeance	Iron Knight	1	AM	4	4					1						1							Chivalrous Duel		antman,jpg	3 1	Queen's Vengeance	Chivalrous Duel	335
Queen's Vengeance	Gigantus	1	AM	4	7			2									1								antman,jpg	4 1	Queen's Vengeance	Size-Changing	336
Queen's Vengeance	Daystar	1	AM	2	5	2											1								antman,jpg	5 1	Queen's Vengeance	Size-Changing	337
Queen's Vengeance	Blackbird	1	AM	3	3												1						Chivalrous Duel		antman,jpg	6 1	Queen's Vengeance	Chivalrous Duel	338
Salvagers	Hybrid Alien Tech	2	HC	4	4	1						1					1								homecoming,jpg	4 4	Salvagers	Striker	339
Salvagers	Shocker #1	2	HC	3	3				1			1													homecoming,jpg	2 4	Salvagers	Striker	340
Salvagers	Shocker #2	2	HC	3	5							1	1												homecoming,jpg	3 4	Salvagers	""	341
Salvagers	Tinkerer	2	HC	2	4					2		1				1									homecoming,jpg	1 4	Salvagers	""	342
Ultron's Legacy	Future Ultron Prime	1	AM	5	5					1			1												antman,jpg	4 2	Ultron's Legacy	Empowered	343
Ultron's Legacy	Ultron-Pym	1	AM	3	6					2															antman,jpg	3 2	Ultron's Legacy	Size-Changing	344
Ultron's Legacy	Brutish Ultron-14	1	AM	4	5			1				1				1									antman,jpg	5 2	Ultron's Legacy	Empowered	345
Ultron's Legacy	Crimson Cowl	1	AM	4	5		1						1							1					antman,jpg	6 2	Ultron's Legacy	Empowered	346
Ultron's Legacy	Legions of Ultron	1	AM	3	4					1															antman,jpg	7 2	Ultron's Legacy	Empowered	347
Ultron's Legacy	Alkhema	1	AM	3	4				1								1								antman,jpg	8 2	Ultron's Legacy	Empowered	348
Ultron's Legacy	Original Ultron-1	1	AM	2	3	1											1								antman,jpg	9 2	Ultron's Legacy	Empowered	349
Ultron's Legacy	Ultron Roboticks	1	AM	2	3					2							1								antman,jpg	10 2	Ultron's Legacy	Size-Changing	350
Vulture Tech	Razor Talons	2	HC	2	2																				homecoming,jpg	10 4	Vulture Tech	Striker|Wall-Crawl	351
Vulture Tech	High Tech Helmet	2	HC	3	3																				homecoming,jpg	1 5	Vulture Tech	Striker|Danger Sense	352
Vulture Tech	Chitauri Weapon Assault	2	HC	4	4												1								homecoming,jpg	2 5	Vulture Tech	Striker	353
Vulture Tech	Turbine Powered	2	HC	5	5								1							1					homecoming,jpg	3 5	Vulture Tech	Striker	354
Hood's Gang	The Brothers Grimm	1	R	2	2											-1	1						Requires discard		revelations,png	7 2	Hood's Gang	""	355
Hood's Gang	Cancer	2	R	2	3							1	1			1							Dark Memories		revelations,png	9 2	Hood's Gang	Dark Memories	356
Hood's Gang	Chemistro	2	R	3	4																		Dark Memories		revelations,png	1 3	Hood's Gang	Dark Memories	357
Hood's Gang	Madam Masque	2	R	4	5								1				1		1				Dark Memories		revelations,png	3 3	Hood's Gang	Dark Memories	358
Hood's Gang	The Dark Dimension	1	R	5	9														1				Dark Memories	Location	revelations,png	8 2	Hood's Gang	Dark Memories|Location	359
Lethal Legion	Swordsman	1	R	3	4															1			Locations		revelations,png	5 3	Lethal Legion	""	360
Lethal Legion	Carnival of Wonders	1	R	3	5															1				Location	revelations,png	6 3	Lethal Legion	Location	361
Lethal Legion	Power Man (Erik Josten)	1	R	4	5							1							1				Locations		revelations,png	7 3	Lethal Legion	""	362
Lethal Legion	"""The Raft"" Prison"	1	R	4	6														1					Location	revelations,png	8 3	Lethal Legion	Location	363
Lethal Legion	M'Baku	1	R	4	5					1		1											Locations		revelations,png	9 3	Lethal Legion	""	364
Lethal Legion	White Gorilla Cult	1	R	4	6					1														Location	revelations,png	10 3	Lethal Legion	Location	365
Lethal Legion	Living Laser	1	R	5	6	1						1				1							Locations		revelations,png	1 4	Lethal Legion	""	366
Lethal Legion	Laser Maze	1	R	5	7	1										1								Location	revelations,png	2 4	Lethal Legion	Location	367
Army of Evil	Blackout	2	R	2	4	1							1												revelations,png	3 1	Army of Evil	""	368
Army of Evil	Klaw	2	R	3	5	1				1			1												revelations,png	5 1	Army of Evil	""	369
Army of Evil	Mister Hyde	2	R	4	6												1					1			revelations,png	7 1	Army of Evil	""	370
Army of Evil	Count Nefaria	1	R	5	7						1	1	1			1									revelations,png	1 1	Army of Evil	""	371
Army of Evil	Dome of Darkforce	1	R	5	7	1																		Location	revelations,png	2 1	Army of Evil	""	372
Dark Avengers	Dark Spiderman (Scorpion)	1	R	2	2												1						Last Stand		revelations,png	10 1	Dark Avengers	Last Stand	373
Dark Avengers	Captain Marvel (Noh-Varr)	1	R	3	3							1	1			1							Last Stand		revelations,png	1 2	Dark Avengers	Last Stand	374
Dark Avengers	Dark Ms. Marvel (Moonstone)	1	R	4	4																		Last Stand		revelations,png	2 2	Dark Avengers	Last Stand	375
Dark Avengers	Dark Hawkeye (Bullseye)	1	R	4	4												1						Last Stand		revelations,png	3 2	Dark Avengers	Last Stand	376
Dark Avengers	Dark Wolverine (Daken)	1	R	5	5				1			1	1			1							Last Stand		revelations,png	4 2	Dark Avengers	Last Stand	377
Dark Avengers	Ares	1	R	6	6												1						Last Stand		revelations,png	5 2	Dark Avengers	Last Stand	378
Dark Avengers	Sentry	1	R	5	7							1				1	1					1			revelations,png	6 2	Dark Avengers	""	379
Dark Avengers	Sentry's Watchtower	1	R	5	8														1						revelations,png	9 1	Dark Avengers	Last Stand|Location	380
Hydra Elite	Growing Man	2	AOS	3	0								1										Hydra Level	Shield Officer escapes	officers,png	9 2	Hydra Elite	HYDRA Level	381
Hydra Elite	Crossbones	2	AOS	2	4								1			1								Shield Officer escapes	officers,png	7 2	Hydra Elite	HYDRA Level	382
Hydra Elite	Hive	2	AOS	3	5								1											Shield Officer escapes	officers,png	1 3	Hydra Elite	HYDRA Level	383
Hydra Elite	Gorgon	2	AOS	4	6								1											Shield Officer escapes	officers,png	3 3	Hydra Elite	HYDRA Level	384
A.I.M., Hydra Offshoot	Mentallo	2	AOS	3	3								1										Hydra Level	Shield Officer escapes	shield,png	1 7	A.I.M., Hydra Offshoot	HYDRA Level|Undercover	385
A.I.M., Hydra Offshoot	Graviton	2	AOS	4	6								1											Shield Officer escapes	shield,png	2 7	A.I.M., Hydra Offshoot	HYDRA Level	386
A.I.M., Hydra Offshoot	Superia	2	AOS	3	5								1											Shield Officer escapes	shield,png	3 7	A.I.M., Hydra Offshoot	HYDRA Level	387
A.I.M., Hydra Offshoot	Taskmaster	2	AOS	3	4							1	1			1									shield,png	4 7	A.I.M., Hydra Offshoot	HYDRA Level	388
Dark Council	Ulik, the Troll	2	HOA	2	3												1								hoa,png	9 2	Dark Council	Worthy	389
Dark Council	Sindr, Fire Giant Queen	2	HOA	3	5																				hoa,png	7 2	Dark Council	Worthy	390
Dark Council	Laufey, Father of Loki	1	HOA	4	6							1	1												hoa,png	4 2	Dark Council	""	391
Dark Council	The Mangog	1	HOA	4	3							1				1									hoa,png	3 2	Dark Council	Worthy	392
Dark Council	Jarnbjorn, First Axe of Thor	1	HOA	0	3																			Artifact	hoa,png	5 2	Dark Council	Villainous Weapon|Thrown Artifact	393
Dark Council	The Casket of Eternal Winters	1	HOA	0	4																			Artifact	hoa,png	6 2	Dark Council	Villainous Weapon|Artifact|Worthy	394
Omens of Ragnarok	Skurge, the Executioner	2	HOA	2	4												1					-1			hoa,png	7 3	Omens of Ragnarok	Conqueror	395
Omens of Ragnarok	The Fenris Wolf	2	HOA	3	4								1						2			-1			hoa,png	5 3	Omens of Ragnarok	Conqueror	396
Omens of Ragnarok	Surtur, Fire Giant King	1	HOA	0	6							1												Artifact	hoa,png	1 3	Omens of Ragnarok	Artifact|Conqueror	397
Omens of Ragnarok	Jormugand, the World-Serpent	1	HOA	5	5																	-1			hoa,png	3 3	Omens of Ragnarok	Conqueror	398
Omens of Ragnarok	The Hel-Crown	1	HOA	0	3																			Artifact	hoa,png	2 3	Omens of Ragnarok	Villainous Weapon|Artifact|Conqueror	399
Omens of Ragnarok	The Eternal Flame	1	HOA	0	4								1						1					Artifact	hoa,png	4 3	Omens of Ragnarok	Villainous Weapon|Artifact	400
Hellions	Catseye	2	NM	3	3												1								newmutants,png	6 3	Hellions	Moonlight	401
Hellions	Thunderbird	2	NM	4	4												1								newmutants,png	4 3	Hellions	Sunlight	402
Hellions	Roulette	1	NM	3	5		1			1			1			2									newmutants,png	1 3	Hellions	""	403
Hellions	Tarot	1	NM	3	5								1			1									newmutants,png	2 3	Hellions	Waking Nightmare	404
Hellions	Jetstream	1	NM	4	6								1	X-Men	1	1									newmutants,png	3 3	Hellions	""	405
Hellions	Empath	1	NM	4	4		1						1												newmutants,png	8 3	Hellions	Waking Nightmare	406
Demons of Limbo	Crotus	2	NM	3	3								1							1					newmutants,png	9 3	Demons of Limbo	Moonlight	407
Demons of Limbo	Witchfire	2	NM	4	4							1	1												newmutants,png	1 4	Demons of Limbo	""	408
Demons of Limbo	N'Astirh	2	NM	3	3												1								newmutants,png	3 4	Demons of Limbo	Moonlight	409
Demons of Limbo	Demon Bear	1	NM	5	5							1	1												newmutants,png	6 4	Demons of Limbo	Waking Nightmare	410
Demons of Limbo	S'Ym	1	NM	5	7			1				1	1			1									newmutants,png	5 4	Demons of Limbo	Sunlight|Moonlight|Waking Nightmare	411
From Beyond	The Mapmakers	3	ITC	3	7					1							1								itcmm,png	6 3	From Beyond	Cosmic Threat	412
From Beyond	The Shaper of Worlds	2	ITC	5	10	1						1	1				2								itcmm,png	5 3	From Beyond	Cosmic Threat	413
From Beyond	Kubik	2	ITC	5	11				1				1			1	1								itcmm,png	4 3	From Beyond	Cosmic Threat	414
From Beyond	Kosmos	1	ITC	6	13		1																		itcmm,png	3 3	From Beyond	Cosmic Threat	415
Elders of the Universe	The Trader	2	ITC	2	4					1			1											shards	itcmm,png	1 3	Elders of the Universe	Contest of Champions	416
Elders of the Universe	The Runner	2	ITC	3	5				1				1						1					shards	itcmm,png	10 2	Elders of the Universe	Contest of Champions|Shard	417
Elders of the Universe	The Collector	2	ITC	4	6		1						1												itcmm,png	9 2	Elders of the Universe	Contest of Champions|Shard	418
Elders of the Universe	The Champion of the Universe	2	ITC	5	7			1					1			1	1							shards	itcmm,png	2 3	Elders of the Universe	Contest of Champions|Shard	419
Celestials	Gammenon, the Gatherer	2	ITC	3	10			1	1			1						1						celestial boon	celestials,png	5 1	Celestials	Cosmic Threat|Celestial Boon	420
Celestials	Nezarr, the Calculator	2	ITC	4	11		1			1		1												celestial boon	celestials,png	4 1	Celestials	Cosmic Threat|Celestial Boon|Shard	421
Celestials	Exitar, the Exterminator	2	ITC	5	12	1				1		1												celestial boon	celestials,png	3 1	Celestials	Cosmic Threat|Celestial Boon	422
Celestials	Arishem, the Judge	1	ITC	5	13	1		1				1												celestial boon	celestials,png	2 1	Celestials	Cosmic Threat|Celestial Boon	423
Celestials	Tiamut, the Dreaming Celestial	1	ITC	6	14		1		1			1												celestial boon	celestials,png	1 1	Celestials	Cosmic Threat|Celestial Boon	424
Black Order of Thanos	Black Dwarf	2	ITC	3	4								1				1								itcmm,png	6 2	Black Order of Thanos	Danger Sense	425
Black Order of Thanos	Corvus Glaive	2	ITC	4	5								1												itcmm,png	5 2	Black Order of Thanos	Danger Sense	426
Black Order of Thanos	Supergiant	2	ITC	5	6								1				1								itcmm,png	4 2	Black Order of Thanos	Danger Sense	427
Black Order of Thanos	Ebony Maw	1	ITC	5	6								1												itcmm,png	8 2	Black Order of Thanos	Danger Sense	428
Black Order of Thanos	Proxima Midnight	1	ITC	5	7				1			1	1												itcmm,png	7 2	Black Order of Thanos	Danger Sense	429
Inhuman Rebellion	Lash	2	ROK	4	5								1												inreb,jpg	NW	Inhuman Rebellion	Abomination	430
Inhuman Rebellion	The Unspoken	2	ROK	5	5								1												inreb,jpg	NE	Inhuman Rebellion	Abomination	431
Inhuman Rebellion	Lineage	2	ROK	2	3																				inreb,jpg	SW	Inhuman Rebellion	Abomination	432
Inhuman Rebellion	Omega	2	ROK	3	4																				inreb,jpg	SE	Inhuman Rebellion	Abomination	433
Shi'ar Imperial Elite	Mentor	2	ROK	3	5								1												rokshiar,jpg	NW	Shi'ar Imperial Elite	Throne's Favor	434
Shi'ar Imperial Elite	Gladiator	2	ROK	5	7							1	1												rokshiar,jpg	NE	Shi'ar Imperial Elite	Throne's Favor	435
Shi'ar Imperial Elite	Plutonia	2	ROK	2	4								1												rokshiar,jpg	SW	Shi'ar Imperial Elite	Throne's Favor	436
Shi'ar Imperial Elite	Starbolt	2	ROK	3	4								1												rokshiar,jpg	SE	Shi'ar Imperial Elite	Throne's Favor	437
