Name	MM	Epic	T	Set	LeadsV	LeadsH	VP	BP	B	R	G	Y	S	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	PL	Effect/Master Strike	OtherEffects	NOTE	file	loc	id	keywords	seq
God of Death	Thanos			GG												1						Other players gain wound for each hero with same name as bound hero in hand.			gotg,jpg	9 1	Thanos	""	189
Keeper of Souls	Thanos			GG																		Gain a hero from the pile. Other players put nongrey hero from discard in there.			gotg,jpg	8 1	Thanos	""	190
Centuries of Envy	Thanos			GG																		Other players discard an infinity gem from play			gotg,jpg	7 1	Thanos	""	191
The Goblin, Underworld Boss				N	Goblin's Freak Show		6	10								1				1		Two BS from each player become HW. Wounds if they cannot	Hidden witnesses	Starts with 2 HW	noir,jpg	9 4	The Goblin, Underworld Boss	Hidden Witness	192
Carnival of carnage	The Goblin, Underworld Boss			N																		Other players discard for each freak show villain in citY.			noir,jpg	3 5	The Goblin, Underworld Boss	""	193
Blackmail the judges	The Goblin, Underworld Boss			N																		2 HW for each freak show villain in city.			noir,jpg	1 5	The Goblin, Underworld Boss	Hidden Witness	194
Sinister dreams	The Goblin, Underworld Boss			N										Sinister Six|Spider Friends	1|1	1						Other players reveal Sinister Six or Spider Friends hero or wound			noir,jpg	10 4	The Goblin, Underworld Boss	""	195
Blind loyalty	The Goblin, Underworld Boss			N																		Investigate villain deck for freak show villain and put in vp.			noir,jpg	2 5	The Goblin, Underworld Boss	Investigate	196
Wasteland Hulk				SW1	Wasteland		6	7								1						Hulk rampage	Gets plus 3 for tactics already gained		sw12,jpg	2 7	Wasteland Hulk	Cross-Dimensional Rampage	197
Revert to Bruce Banner	Wasteland Hulk			SW1									1									Gain S hero			sw12,jpg	5 7	Wasteland Hulk	""	198
Brutal Beating	Wasteland Hulk			SW1																		Other players discard for each wound in discard.			sw12,jpg	3 7	Wasteland Hulk	""	199
Memories of Pain	Wasteland Hulk			SW1																		Other players put two wounds from discard on top of their deck			sw12,jpg	6 7	Wasteland Hulk	""	200
Radioactive Regeneration	Wasteland Hulk			SW1																		KO up to two wound from hand/discard			sw12,jpg	4 7	Wasteland Hulk	""	201
Zombie Green Goblin				SW1	The Deadlands		6	11									1					KO all ultimate heroes, then discard for each such hero KO'd total.	Gets plus 1 for KO'd ultimate heroes.		sw12,jpg	7 6	Zombie Green Goblin	Rise of the Living Dead	202
Reign of Terror	Zombie Green Goblin			SW1															1			Rise of the Living Dead: Tuck all heroes costing 6 or less.			sw12,jpg	10 6	Zombie Green Goblin	Rise of the Living Dead	203
The Hungry Dead	Zombie Green Goblin			SW1												1			1			Rise of the Living Dead: Other players get wound if villain in city with Rise			sw12,jpg	9 6	Zombie Green Goblin	Rise of the Living Dead	204
Love to have you for dinner	Zombie Green Goblin			SW1													1		1			Rise of the Living Dead: KO all cost 7 or more in top 5 of hero deck, bottom rest			sw12,jpg	8 6	Zombie Green Goblin	Rise of the Living Dead	205
Army of cadavers	Zombie Green Goblin			SW1															1			Other players discard for each villain with Rise in city			sw12,jpg	1 7	Zombie Green Goblin	Rise of the Living Dead	206
Odin				V		Asgardian Warriors	6	10								1			2			Each player puts Asgardian Warriors in city. Wounds if they cannot.	Gets plus henchmen in city or escaped		villains,jpg	2 5	Odin	""	207
Might of Valhalla	Odin			V																		Draw card for each Asgardian Warrios in your vp.			villains,jpg	3 5	Odin	""	208
Riches of Asgard	Odin			V																		Get MO for each Asgardian Warrios in your vp.			villains,jpg	10 4	Odin	""	209
Ride of the Valkyries	Odin			V										Asgardian Foes	1							Other players reveal Enemies of Asgard or discard for each Asgardian Warriors in escape			villains,jpg	4 5	Odin	""	210
Divine Justice	Odin			V												1						Other players with wound in discard get another wound.			villains,jpg	1 5	Odin	""	211
Dr. Strange				V	Defenders		6	8														Top 3 of villain deck: put toughest villain on top, play twist, rest on bottom.			villains,jpg	7 5	Dr. Strange	""	212
Crimson bands of cyttorak	Dr. Strange			V												2						Other players gain binding for each nongrey hero in hand.			villains,jpg	8 5	Dr. Strange	""	213
Book of the vishanti	Dr. Strange			V						1												Other players discard and draw anew unless they have red.			villains,jpg	6 5	Dr. Strange	""	214
Eye of Agamotto	Dr. Strange			V																		Take top cards of hero deck and distribute them among players			villains,jpg	5 5	Dr. Strange	""	215
Winds of Watoomb	Dr. Strange			V																		Exchange nongrey heroes			villains,jpg	9 5	Dr. Strange	""	216
Uru-Enchanted Iron Man				FI	The Mighty		6	7														Demolish each player	Uru for each MS played		fearitself,jpg	8 3	Uru-Enchanted Iron Man	Uru-Enchanted Weapon|Demolish	217
Quantum inventions	Uru-Enchanted Iron Man			FI									1									Draw two, then draw tw more if you reveal S hero			fearitself,jpg	1 4	Uru-Enchanted Iron Man	""	218
Pepper Potts in Rescue armor	Uru-Enchanted Iron Man			FI																		Bystander becomes master strike			fearitself,jpg	2 4	Uru-Enchanted Iron Man	""	219
Armor of the destroyer	Uru-Enchanted Iron Man			FI									1									Demolish other players for each S hero you have			fearitself,jpg	9 3	Uru-Enchanted Iron Man	Demolish	220
Repulsor coils	Uru-Enchanted Iron Man			FI									1			1						Other players reveal S hero or wound.			fearitself,jpg	10 3	Uru-Enchanted Iron Man	""	221
Nick Fury				V	Avengers		6	9														Demolish for each strike played.			villains,jpg	8 4	Nick Fury	""	222
Bounty on Fury's head	Nick Fury			V																		KO any of your SHIELD heroes, you may gain that many officers.			villains,jpg	7 4	Nick Fury	""	223
Total fury	Nick Fury			V																		Defeat villain with power less than number of KO'd SHIELD heroes			villains,jpg	9 4	Nick Fury	""	224
Purge hydra	Nick Fury			V																		Other players discard 2 SHIELD heroes			villains,jpg	6 4	Nick Fury	""	225
The avengers initiative	Nick Fury			V									1						2			Other players reveal S hero or put Avengers villain on bridge from VP.			villains,jpg	5 4	Nick Fury	""	226
Professor X				V	X-Men First Class		6	8														Put 2 most expensive heroes from HQ next to MM.	Gets plus for each hero stacked next to him	Top hero stacked can be recruited	villains,jpg	1 6	Professor X	""	227
Telepathic imprisonment	Professor X			V										Brotherhood	1	1						Other players reveal Brotherhood hero or gain wound			villains,jpg	3 6	Professor X	""	228
Cerebro device	Professor X			V															1			Play all Xtreme attack heroes from top 3 of hero deck. Rest back			villains,jpg	4 6	Professor X	""	229
Mental dominance	Professor X			V																		Put top 3 of hero deck next to this in random order.			villains,jpg	10 5	Professor X	""	230
Mightiest mutant mind	Professor X			V																		Other players reveal Brotherhood hero or stack nongrey hero from hand next to this.			villains,jpg	2 6	Professor X	""	231
Fin Fang Foom				CH	Monsters Unleashed		7	20	1	1	1	1	1									Demolish, again for his villain group.	Size-changing for every color		champions,jpg	9 4	Fin Fang Foom	Size-Changing|Demolish	232
Fin Fang Foom		1		CH	Monsters Unleashed		7	24	1	1	1	1	1				2					Demolish, again for his villain group. KO all of these heroes discarded.			efoom,png	1	Fin Fang Foom	""	233
Flammable Acid Breath	Fin Fang Foom			CH													2					KO top card hero deck, then other players KO hero sharing a color from discard pile.			champions,jpg	1 5	Fin Fang Foom	""	234
Alien Dragon Technology	Fin Fang Foom			CH					1	1	1	1	1									A hero gains size changing for every color			champions,jpg	10 4	Fin Fang Foom	Size-Changing	235
Supersonic Dive Attack	Fin Fang Foom			CH													1					KO top card hero deck, then other players discard hero sharing a color.			champions,jpg	3 5	Fin Fang Foom	""	236
Multipronged Assault	Fin Fang Foom			CH												1						Other players gain wound unless they have spectrum.			champions,jpg	2 5	Fin Fang Foom	""	237
General Ross				WW	Code Red		6	6								1				1		Transform, then hulk rampage	Starts with 8 bystanders to rescue for 2 FI	Easier if there's a Hulk	hulk,jpg	3 2	General Ross	Cross-Dimensional Rampage|Wounded Fury	238
Red Hulk	General Ross		1	WW			6	9								1				1		Transform, then add bystanders from VP. If no BS, wound.	Wounded fury		hulk,jpg	8 2	General Ross	""	239
Urban Warfare	General Ross			WW																		Add BS from stack, escape, city space and other player's vp, then transform			hulk,jpg	7 2	General Ross	""	240
Call out the Army	General Ross			WW																		Add 3 BS, then transform			hulk,jpg	6 2	General Ross	""	241
Bust you down to private	General Ross			WW																		Other players put nongrey hero from hand on bottom hero deck, then gain zero cost hero from KO, then transform			hulk,jpg	5 2	General Ross	""	242
Personal Arsenal	General Ross			WW																		Add BS for each master strike, then transform.			hulk,jpg	4 2	General Ross	""	243
Illuminati, Secret Society				WW	Illuminati		7	11														Each player discards two cards costing between 1 and 4 then transform.	You need to outwit or gets +4		hulk2,jpg	7 3	Illuminati, Secret Society	Outwit	244
Illuminati, Open Warfare	Illuminati, Secret Society		1	WW			7	13														Each player discards two cards costing between 5 and 8 then transform.	Whenever drawing extra cards, also discard a card		hulk2,jpg	2 4	Illuminati, Secret Society	""	245
Hulkbuster's Hammer Fist	Illuminati, Secret Society			WW						1			1				2					Other players KO a S or G hero from hand or discard, then transform.			hulk2,jpg	10 3	Illuminati, Secret Society	""	246
Zom's Manacles of Living Bondage	Illuminati, Secret Society			WW						1						1						Other players reveal R hero or gain wound, then transform.			hulk2,jpg	1 4	Illuminati, Secret Society	""	247
Dr. Strange's Orb of Agamotto	Illuminati, Secret Society			WW					1			1										Other players discard B or Y hero, then transform			hulk2,jpg	9 3	Illuminati, Secret Society	""	248
Black Bolt's Omni-Shout	Illuminati, Secret Society			WW																		Other players discard two cards without rules text, then transform.			hulk2,jpg	8 3	Illuminati, Secret Society	""	249
King Hulk, Sakaarson				WW	Warbound		6	9								1						KO warbound villain or wound, transform.	Gets plus for his villain group.		hulk2,jpg	2 5	King Hulk, Sakaarson	Wounded Fury	250
King Hulk, Worldbreaker	King Hulk, Sakaarson		1	WW			6	10									2					KO card from hand or discard with same name as card in hq, transform	Wounded fury		hulk2,jpg	7 5	King Hulk, Sakaarson	""	251
Fury of the Green Scar	King Hulk, Sakaarson			WW							1											Other players discard nongrey non G hero, transform			hulk2,jpg	3 5	King Hulk, Sakaarson	""	252
Rule by the Strongest	King Hulk, Sakaarson			WW							2											Get MO for your G heroes, transform.			hulk2,jpg	6 5	King Hulk, Sakaarson	""	253
Revenge from the Stars	King Hulk, Sakaarson			WW												1						Hulk rampage, transform.			hulk2,jpg	5 5	King Hulk, Sakaarson	Cross-Dimensional Rampage	254
Oath of the Warbound	King Hulk, Sakaarson			WW															1			Toughest escaped villain enters sewers, transform.			hulk2,jpg	4 5	King Hulk, Sakaarson	""	255
M.O.D.O.K.				WW	Intelligencia		6	9								1						Outwit him or get wound, transform	Outwit needs 4 different costs.		hulk2,jpg	8 6	M.O.D.O.K.	Outwit	256
M.O.D.O.K., Network Nightmare	M.O.D.O.K.		1	WW			6	8														Outwit him or KO nongrey hero, transform	Only be fought with MO.		hulk2,jpg	3 7	M.O.D.O.K.	""	257
Designed only for K.O.ing	M.O.D.O.K.			WW																		Reveal top 3 of your deck, KO one, draw one, discard one, transform			hulk2,jpg	1 7	M.O.D.O.K.	""	258
Brain scramble	M.O.D.O.K.			WW																		Other player's discard hand, then draw anew, transform			hulk2,jpg	9 6	M.O.D.O.K.	""	259
Redundancy Algorithms	M.O.D.O.K.			WW																		Other players discard two cards with same cost, transform			hulk2,jpg	2 7	M.O.D.O.K.	""	260
Don't get a big head about it	M.O.D.O.K.			WW																		Draw a card for each intelligencia in vp, transform			hulk2,jpg	10 6	M.O.D.O.K.	""	261
Pagliacci				CH	Wrecking Crew		6	9														Scheme twist on 1 or 5, demolish on 2,3,4			champions,jpg	9 2	Pagliacci	Demolish	262
Pagliacci		1		CH	Wrecking Crew		6	11														Scheme twist on odd, demolish on even.			epag,png	1	Pagliacci	""	263
Insane clown has a posse	Pagliacci			CH																		Other players may KO Wrecking crew villain from VP. Demolish if not.			champions,jpg	2 3	Pagliacci	Demolish	264
Creative assassin	Pagliacci			CH																		Versatile 3			champions,jpg	1 3	Pagliacci	Versatile	265
Jester of a twisted opera	Pagliacci			CH													1					Other players may KO hero of cost 1 or more from discard. Demolish if not.			champions,jpg	8 2	Pagliacci	Demolish	266
Commedia dell' Morte	Pagliacci			CH												1						Other players may gain 2 wounds. Demolish if not.			champions,jpg	10 2	Pagliacci	Demolish	267
The Red King				WW	Sakaar Imperial Guard		6	7					1			1						Transform, then wound unless S hero.	Can't be fought if there are villains in the citY.		hulk2,jpg	9 7	The Red King	""	268
The Red King, Power Armored	The Red King		1	WW															1			Transform, then play another card from villain deck.			hulk,jpg	5 1	The Red King	""	269
Vast armies of Sakaar	The Red King			WW															1			If not final tactic, play all villains in top 3 of villain deck, rest back. Transform			hulk,jpg	4 1	The Red King	""	270
Treasury of Sakaar	The Red King			WW																		Get MO for each Sakaar and Red king in your VP, then transform.			hulk,jpg	3 1	The Red King	""	271
Haughty spite	The Red King			WW												1						Players without tactic get wound, transform.			hulk,jpg	1 1	The Red King	""	272
Royal bodyguard	The Red King			WW															1			Play the first Sakaar villain from villain deck, transform.			hulk,jpg	2 1	The Red King	""	273
The Sentry				WW	Aspects of the Void		6	10								2						Transform, void rampage		Players start with two wounds	hulk,jpg	3 6	The Sentry	Cross-Dimensional Rampage|Wounded Fury|Feast	274
The Void	The Sentry		1	WW			6	11								1	1					Feast, if grey, wound, transform.	Wounded fury		hulk,jpg	8 6	The Sentry	""	275
Repressed darkness	The Sentry			WW					1										1			Other players reveal B hero or play Void villain from VP. Transform.			hulk,jpg	7 6	The Sentry	""	276
Pacifying light	The Sentry			WW																		Other players discard two MO heroes, transform			hulk,jpg	4 6	The Sentry	""	277
Power of a million exploding suns	The Sentry			WW																		Tuck all heroes in HQ. Other players discard heroes with same card names.			hulk,jpg	5 6	The Sentry	""	278
Reflexive teleportation	The Sentry			WW																		Teleport one of your heroes that costs 5 or less. Transform			hulk,jpg	6 6	The Sentry	""	279
Adrian Toomes				HC	Salvagers		6	5														Each villain uses its escape ability.	Double striker		homecoming,jpg	1 1	Adrian Toomes	Striker	280
Adrian Toomes		1		HC	Salvagers		6	5														Each villain uses its ambush and escape ability.	Triple striker		eadrian,png	1	Adrian Toomes	""	281
More Harm than Good	Adrian Toomes			HC										Spidermen		1						Each player wound if no spidermen.			homecoming,jpg	5 1	Adrian Toomes	""	282
Take Everything	Adrian Toomes			HC																		Put card from discard on top of deck.			homecoming,jpg	4 1	Adrian Toomes	""	283
Don't Interfere	Adrian Toomes			HC																1		Danger sense 4, rescue any bs.			homecoming,jpg	3 1	Adrian Toomes	Danger Sense	284
The World's Changed	Adrian Toomes			HC																		Danger sense 3, defeat any henchmen and do their fight effects.			homecoming,jpg	2 1	Adrian Toomes	Danger Sense	285
Hybrid				HC	Life Foundation		6	6								1						Symbiote bond with villain in city. If already bonded, everybody wound.	If fought while bonded, rescue 3 bs and gain villain.		venom,png	5 4	Hybrid	Symbiote Bond	286
Hybrid		1		VE	Life Foundation		6	8								1						Symbiote bond with highest power villain in city or escape. If not possible, everybody wound	If fought while bonded, rescue 3 bs and gain villain.		ehybrid,png	1	Hybrid	""	287
Symbiotic Call	Hybrid			VE																		Symbiote bond with a henchman in top 4 of villain deck.			venom,png	6 4	Hybrid	Symbiote Bond	288
Life foundation research	Hybrid			VE																		Get MO for Life Foundation villains in vp.			venom,png	9 4	Hybrid	""	289
Escaped monstrosity	Hybrid			VE																		A villain from city or escape symbiotic bonds.			venom,png	8 4	Hybrid	Symbiote Bond	290
Alien awakening	Hybrid			VE																		A henchman from a vp symbiotic bonds.			venom,png	7 4	Hybrid	Symbiote Bond	291
Morgan Le Fay				AM	Queen's Vengeance		6	7		1						1						Each player reveals R or gets 0 cost hero or wound from KO pile.	Chivalrous Duel		antman,jpg	4 5	Morgan Le Fay	Chivalrous Duel	292
Morgan Le Fay		1		AM	Queen's Vengeance		6	9								1						Each player gets 0 cost hero and wound from KO pile.	Chivalrous Duel		antman,jpg	5 5	Morgan Le Fay	""	293
Stolen tomes of Merlin	Morgan Le Fay			AM					1	1												Get 4 MO for B or R heroes.			antman,jpg	7 5	Morgan Le Fay	""	294
Sorcerous blasts	Morgan Le Fay			AM												1						Other players discard R or get wound.			antman,jpg	8 5	Morgan Le Fay	""	295
Reverse the flow of time	Morgan Le Fay			AM																		Reverse turn order			antman,jpg	9 5	Morgan Le Fay	""	296
Transmogrify	Morgan Le Fay			AM													1					Each other player KO's non-grey hero from discard and gains hero from KO with lower cost.			antman,jpg	6 5	Morgan Le Fay	""	297
Poison Thanos				VE	Poisons		7	12														Each player puts non-grey hero from hand in poisoned souls pile.	Gets + 1 FI for different costs in pile		venom,png	10 4	Poison Thanos	""	298
Poison Thanos		1		VE	Poisons		7	13								1						Each player puts half of their non-grey heroes from hand in poisoned souls pile. If no hero lost, wound.	Gets + 2 FI for different costs in pile		epoison,png	1	Poison Thanos	""	299
Poisoned loyalties	Poison Thanos			VE																		Other players put poisons hero from discard into poisoned souls pile.			venom,png	3 5	Poison Thanos	""	300
Searing poisons	Poison Thanos			VE												1						Other players discard poisons hero or gain wound.			venom,png	4 5	Poison Thanos	""	301
Desperate rescue	Poison Thanos			VE																		Gain hero from poisoned souls pile.			venom,png	2 5	Poison Thanos	""	302
Soul seize	Poison Thanos			VE																		Put all heroes that cost 5 or more from hq into poisoned souls pile.			venom,png	1 5	Poison Thanos	""	303
Ultron				AM	Ultron's Legacy		6	9					1									Reveal S hero or put non-grey hero from discard into threat analysis pile.	Empowered for colors in analysis pile.		antman,jpg	7 1	Ultron	Empowered	304
Ultron		1		AM	Ultron's Legacy		6	10														Put non-grey hero from hand into threat analysis pile.	Triple empowered for colors in analysis pile.		antman,jpg	8 1	Ultron	""	305
Arrogant Blindspot	Ultron			AM																		Gain hero from analysis pile.			antman,jpg	9 1	Ultron	""	306
Paralyzing Encephalo-Ray	Ultron			AM																		Other players discard cards with same name as cards in analysis pile.			antman,jpg	10 1	Ultron	""	307
Self-repairing legions	Ultron			AM									1						1			Other players reveal S or put Ultron's Legacy villain in city.			antman,jpg	1 2	Ultron	""	308
Predictive analysis	Ultron			AM																		Put top 3 of hero deck in analysis pile.			antman,jpg	2 2	Ultron	""	309
Vulture				HC	Vulture Tech		6	8								2						Put wound under each hq space. Give 1 wound to next player if hero is gained or KO'd from there.	Striker		homecoming,jpg	5 4	Vulture	Striker	310
Vulture		1		HC	Vulture Tech		6	10								2						Wound under each hq space. Can be from KO. Put 1 wound on top of next player's deck if hero is gained or KO'd from there.	Striker		evult,png	1	Vulture	""	311
Bird of Prey	Vulture			HC										Spidermen								Other players discard a spiderman or two cards.			homecoming,jpg	9 4	Vulture	""	312
Winged Assault	Vulture			HC																		Each other players get two wounds from the hq.			homecoming,jpg	8 4	Vulture	""	313
Lurking Shadow	Vulture			HC															1			Danger sense 2. A villain of them may enter the empty rooftops.			homecoming,jpg	7 4	Vulture	Danger Sense	314
Mid Air Heist	Vulture			HC									1									Get 5 MO for S heroeS.			homecoming,jpg	6 4	Vulture	""	315
J. Jonah Jameson				D		Spider-Slayer	5	4														Investigate for hero to put in angry mobs stack. Stack starts with 2 shield officers. 4 to fight any in the stack.			jonah,png	3 1	J. Jonah Jameson	Investigate	316
J. Jonah Jameson		1		D		Spider-Slayer	5	5								1						Investigate for hero to put in angry mobs stack. Stack starts with 3 shield officers. 5 to fight any in the stack.			ejonah,png	1	J. Jonah Jameson	""	317
Slanderous Editorial	J. Jonah Jameson			D																		Other players investigate for non-grey hero and put in angry mobs stack.			jonah,png	7 1	J. Jonah Jameson	Investigate	318
Incite violent riots	J. Jonah Jameson			D												2						Each player puts a wound in the angry mobs stack.			jonah,png	6 1	J. Jonah Jameson	""	319
Promote spider-slayer security	J. Jonah Jameson			D															1			Other players put spider-slayer in angry mobs stack. These enter the city when revealed.			jonah,png	5 1	J. Jonah Jameson	""	320
That menace spiderman!	J. Jonah Jameson			D										Spidermen								Other player discard a spiderman hero. If they can't, they put non-grey card from hand in the angry mobs stack.			jonah,png	4 1	J. Jonah Jameson	""	321
Grim Reaper				R	Lethal Legion		6	8														Add as Location of 7 FI with +2 if villain there.	+1 for each location		reaper,png	1	Grim Reaper	Location	322
Grim Reaper		1		R	Lethal Legion		6	9								1						Add as Location of 8 FI with +3 if villain there. Wounds if three locations.	+2 for each location		ereaper,png	1	Grim Reaper	""	323
Carnival of Concussions	Grim Reaper			R														1				Draw 3 then add as Location of 8. KBS if fight villain there.			revelations,png	3 6	Grim Reaper	Location	324
Cult of Skulls	Grim Reaper			R																		KO up to 2 from discard, then add as Location of 8. Other players discard when fight villain there.			revelations,png	4 6	Grim Reaper	Location	325
Maze of Bones	Grim Reaper			R												1						Filter top of deck, then add as Location of 8. Wounds if fight villain there.			revelations,png	5 6	Grim Reaper	Location	326
Prison of Coffins	Grim Reaper			R															1			Get 5 MO, then add as Location of 8. Escape villains from VP if fight villain there.			revelations,png	6 6	Grim Reaper	Location	327
The Hood				R	Hood's Gang		6	9														Reveal top six of deck, discard all non-grey.	Dark Memories		hood,png	1	The Hood	Dark Memories	328
The Hood		1		R	Hood's Gang		6	10														Discard deck, then shuffle back 6 random grey cards.	Dark Memories		ehood,png	1	The Hood	""	329
Demonic Revelation	The Hood			R																		Other players discard nongrey hero.			revelations,png	1 7	The Hood	""	330
Focus magic through guns	The Hood			R						1			1									Other players reveal R or discard a card, reveal S or get wound.			revelations,png	2 7	The Hood	""	331
Paean to Dormammu	The Hood			R																		Other players discard their deck.			revelations,png	3 7	The Hood	""	332
The Hood's Warehouse	The Hood			R															1	1		Rescue 4 BS, then add as Location of 9. Play villain card if fight villain there.			revelations,png	4 7	The Hood	Location	333
Mandarin				R		Mandarin's Rings	6	16								1			2			Each player adds a hench from VP to the city. If not, wound.	Henchmen +1. -1 for each henchmen in VP.		mandarin,png	1	Mandarin	""	334
Mandarin		1		R		Mandarin's Rings	6	26								1			2			Each player adds a hench from VP to the city. If not, wound on top of deck.	Henchmen +2. -2 for each henchmen in VP.		emandarin,png	1	Mandarin	""	335
Circles Unbroken	Mandarin			R																		Draw a card for each hench in VP.			revelations,png	7 6	Mandarin	""	336
Intertwining powers	Mandarin			R												1						Other players with < 2 hench in VP get wound.			revelations,png	8 6	Mandarin	""	337
Rings seek their true hand	Mandarin			R									1						1			Other players reveal S or put a hench in escape.			revelations,png	9 6	Mandarin	""	338
Dragon of heaven spaceship	Mandarin			R													2					KO up to 2 heroes, then add as Location. KO nongrey hero when fight here.			revelations,png	10 6	Mandarin	Location	339
Hydra High Council				AOS	Hydra Elite																	Placeholder, not a card					Hydra High Council	Adapt	340
Red Skull	Hydra High Council			AOS			6	7									2					Each player KO's a nongrey hero. Adapt. | Fight is KO a grey hero and Adapt.	+1 for each two hydra levels.		shield,png	10 6	Hydra High Council	HYDRA Level|Adapt	341
Viper	Hydra High Council			AOS			6	9								1						Wound if hydra villains in city. Adapt. | Fight: discard, then draw. Adapt.	+1 for each HYDRA villain in city		shield,png	9 6	Hydra High Council	Adapt	342
Arnim Zola	Hydra High Council			AOS			6	6														Each player discard 2 FI heroes. Adapt. | Fight: Gain a FI hero. Adapt.	Abomination		shield,png	7 6	Hydra High Council	Adapt	343
Baron Helmut Zemo	Hydra High Council			AOS			6	16								1						KO a hydra villain or gain wound. Adapt. | Fight: same for other players, adapt.	-1 for each villain in VP		shield,png	8 6	Hydra High Council	Adapt	344
Hydra Super-Adaptoid				AOS	A.I.M., Hydra Offshoot																	Placeholder, not a card					Hydra Super-Adaptoid	Adapt	345
Black Widow's Bite	Hydra Super-Adaptoid			AOS			6	8		1						1		1		1		KO 2 BS from VP or wound. Adapt. | Fight: Rescue a BS for each R hero. Adapt.			officers,png	9 3	Hydra Super-Adaptoid	Adapt	346
Captain America's Shield	Hydra Super-Adaptoid			AOS			6	10				1										Reveal Y hero or discard hand, draw 4. Adapt. | Fight: +1 MO for SP. Adapt.			officers,png	1 4	Hydra Super-Adaptoid	Adapt	347
Iron Man's Armor	Hydra Super-Adaptoid			AOS			6	12					1									Reveal S hero or discard down to 3. Adapt. | Fight: draw for each S hero. Adapt			officers,png	10 3	Hydra Super-Adaptoid	Adapt	348
Thor's Hammer	Hydra Super-Adaptoid			AOS			6	14	1		1					1						Reveal B hero or wound. Adapt. | Fight: KO a hero for each G hero. Adapt.			officers,png	2 4	Hydra Super-Adaptoid	Adapt	349
Malekith the Accursed				HOA	Dark Council		6	8											1			Captures villainous weapons and adds one to the city.			male,png	1	Malekith the Accursed	Villainous Weapon|Thrown Artifact	350
Malekith the Accursed		1		HOA	Dark Council		6	10											1			Captures villainous weapons and adds one to the city.			emale,png	1	Malekith the Accursed	""	351
Dagger of Living Abyss	Malekith the Accursed			HOA															1	1		Becomes a villainous weapon, which can be beaten for an artifact.			hoa,png	2 2	Malekith the Accursed	Villainous Weapon|Artifact	352
The hunting horn of faerie	Malekith the Accursed			HOA															1	1		Becomes a villainous weapon, which can be beaten for an artifact.			hoa,png	1 2	Malekith the Accursed	Villainous Weapon|Artifact	353
Blackhammer of the accursed	Malekith the Accursed			HOA													1		1			Becomes a villainous weapon, which can be beaten for an artifact.			hoa,png	9 1	Malekith the Accursed	Villainous Weapon|Artifact	354
Vulnerable to cold iron	Malekith the Accursed			HOA									2									Get 2 MO for each S hero.			hoa,png	10 1	Malekith the Accursed	""	355
Hela, Goddess of Death				HOA	Omens of Ragnarok		6	10								1			1			Becomes a villain, then add another villain from your VP or wound.	Bridge and Streets Conqueror 5		hela,png	1	Hela, Goddess of Death	Conqueror	356
Hela, Goddess of Death		1		HOA	Omens of Ragnarok		6	12								1			1			Becomes a villain, then add another villain from your VP or wound.	Bridge, Streets and Rooftops Conqueror 6		ehela,png	1	Hela, Goddess of Death	""	357
Hela's Cloak	Hela, Goddess of Death			HOA																1		Becomes a villainous weapon.			hoa,png	8 1	Hela, Goddess of Death	Villainous Weapon|Artifact	358
The Nightsword	Hela, Goddess of Death			HOA																1		Becomes a villainous weapon.			hoa,png	6 1	Hela, Goddess of Death	Villainous Weapon|Thrown Artifact|Conqueror	359
Seize Bifrost, the Rainbow Bridge	Hela, Goddess of Death			HOA															1			Play a villain if any.			hoa,png	7 1	Hela, Goddess of Death	""	360
Naglfar, Longship of Fingernails	Hela, Goddess of Death			HOA															1			Other player adds a villain from VP to city			hoa,png	5 1	Hela, Goddess of Death	""	361
Emma Frost, The White Queen				NM	Hellions		6	8														Waking nightmares	Extra FI for grey heroes		emma,png	1	Emma Frost, The White Queen	Waking Nightmare	362
Emma Frost, The White Queen		1		NM	Hellions		6	9														Waking nightmares	Extra FI for grey heroes		eemma,png	1	Emma Frost, The White Queen	""	363
Assume Diamond Form	Emma Frost, The White Queen			NM																		Can't be fought again this turn			newmutants,png	2 5	Emma Frost, The White Queen	""	364
Contempt for Weaklings	Emma Frost, The White Queen			NM																		Other players gain 0-cost heroes			newmutants,png	1 5	Emma Frost, The White Queen	""	365
Psychic X-Men Link	Emma Frost, The White Queen			NM										X-Men	1	1						Waking nightmare, discard X-men or wound.			newmutants,png	3 5	Emma Frost, The White Queen	Waking Nightmare	366
Tempting Bargain	Emma Frost, The White Queen			NM																		Play top card of villain deck for 5 MO.			newmutants,png	4 5	Emma Frost, The White Queen	""	367
Belasco, Demon Lord of Limbo				NM	Demons of Limbo		6	9									2					KO nongrey heroes	Extra FI for KO'd nongrey heroes		belasco,png	1	Belasco, Demon Lord of Limbo	Sunlight|Moonlight|Waking Nightmare	368
Belasco, Demon Lord of Limbo		1		NM	Demons of Limbo		6	10									2					KO nongrey heroes	Extra FI for KO'd nongrey heroes		ebelasco,png	1	Belasco, Demon Lord of Limbo	""	369
A Demon's Mercy	Belasco, Demon Lord of Limbo			NM													2					Other player's KO nongrey hero.			newmutants,png	7 4	Belasco, Demon Lord of Limbo	""	370
Bargain for Souls	Belasco, Demon Lord of Limbo			NM													2					KO nongrey heroes			newmutants,png	8 4	Belasco, Demon Lord of Limbo	""	371
Cleaving Demonblade	Belasco, Demon Lord of Limbo			NM													2					KO nongrey heroes			newmutants,png	9 4	Belasco, Demon Lord of Limbo	""	372
