Team	Hero	Name	Set	Split	Name_S	T0	C	Ct	B	R	G	Y	S	Br	Rr	Gr	Yr	Sr	SP	MO	FI	Drw	Dsc	Top	Bs	Wd	Cty	NR	C2	C4	CD	SK	LS	LT	TE	Pierc	HM	KO	KBS	AF	Vil	MF	VS	DC	SRD	FHQ	SHL	XTR	file	loc	id	uni	keywords	seq
Spidermen	Spider-Gwen	Save the day	SW2				2	5					1								1				-1		-1																						sw22,jpg	10 6	Spider-Gwen (SW2)	Spider-Gwen (SW2)	Patrol	175
Spidermen	Spider-Gwen	First adventure	SW2				2	3			1										1			1			-1																						sw22,jpg	1 7	Spider-Gwen (SW2)	Spider-Gwen (SW2)	Wall-Crawl|Patrol	176
Spidermen	Spider-Gwen	Intertwining webs	SW2				2	1		1											1			1					2																				sw22,jpg	2 7	Spider-Gwen (SW2)	Spider-Gwen (SW2)	Wall-Crawl	177
Spidermen	Symbiote Spider-Man	Spider sense tingling	PTT				2	5				1										1							2																				pttr,jpg	6 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""	178
Spidermen	Symbiote Spider-Man	Dark strength	PTT				2	5			1										1			-1					1																				pttr,jpg	3 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	Wall-Crawl	179
Spidermen	Symbiote Spider-Man	Shadowed spider	PTT				2	3		1											1			1					2																				pttr,jpg	4 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	Wall-Crawl	180
Spidermen	Symbiote Spider-Man	Thwip!	PTT				2	1	1												1			1																									pttr,jpg	5 4	Symbiote Spider-Man (PTT)	Symbiote Spider-Man (PTT)	""	181
Spidermen	Agent Venom	Multi-gun	SW2				2	5					1						1	1	1																												sw22,jpg	3 1	Agent Venom (SW2)	Agent Venom (SW2)	Spectrum	182
Spidermen	Agent Venom	Government payroll	SW2				3	5			1	1								1	1			1			-1																						sw22,jpg	4 1	Agent Venom (SW2)	Agent Venom (SW2)	Wall-Crawl|Patrol	183
Spidermen	Agent Venom	Big slimeportunity	SW2				6	3				1								1	1	1		1			-1																						sw22,jpg	5 1	Agent Venom (SW2)	Agent Venom (SW2)	Wall-Crawl|Patrol	184
Spidermen	Agent Venom	Shapeshifting symb	SW2				7	1			1									1	1			1																		1							sw22,jpg	6 1	Agent Venom (SW2)	Agent Venom (SW2)	Wall-Crawl	185
Spidermen	Scarlet Spider	Flip out	PTT				2	5			1									1		1		1											1														pttr,jpg	8 1	Scarlet Spider (PTT)	Scarlet Spider (PTT)	Wall-Crawl	186
Spidermen	Scarlet Spider	Perfect Hunter	PTT				4	5				1									1	1		1																									pttr,jpg	6 1	Scarlet Spider (PTT)	Scarlet Spider (PTT)	Wall-Crawl	187
Spidermen	Scarlet Spider	Leap from above	PTT				6	3		1							1				1			1																									pttr,jpg	5 1	Scarlet Spider (PTT)	Scarlet Spider (PTT)	Wall-Crawl	188
Spidermen	Scarlet Spider	Sting of the spider	PTT				7	1			1										1			-1																									pttr,jpg	7 1	Scarlet Spider (PTT)	Scarlet Spider (PTT)	""	189
Spidermen	Black Cat	Pickpocket	PTT				1	5		1											1			-1																									pttr,jpg	1 1	Black Cat (PTT)	Black Cat (PTT)	Wall-Crawl	190
Spidermen	Black Cat	Casual bank robbery	PTT				4	5		1										1				1			-1																						pttr,jpg	4 1	Black Cat (PTT)	Black Cat (PTT)	Wall-Crawl	191
Spidermen	Black Cat	Jinx	PTT				5	3				1									1			1																									pttr,jpg	2 1	Black Cat (PTT)	Black Cat (PTT)	""	192
Spidermen	Black Cat	Cat burglar	PTT				8	1		1											1				-1										1														pttr,jpg	3 1	Black Cat (PTT)	Black Cat (PTT)	""	193
Spidermen	Spider-Man	Great responsibility	B				2	5				1									1	1							1																				gotg,jpg	4 1	Spider-Man (B)	Spider-Man (B)	""	194
Spidermen	Spider-Man	Astonishing strength	B				2	5			1									1		1							1																				gotg,jpg	1 1	Spider-Man (B)	Spider-Man (B)	""	195
Spidermen	Spider-Man	Web-shooters	B				2	3					1									1			1				1																				gotg,jpg	2 1	Spider-Man (B)	Spider-Man (B)	""	196
Spidermen	Spider-Man	Amazing spiderman	B				2	1		1												1							2																				gotg,jpg	3 1	Spider-Man (B)	Spider-Man (B)	""	197
Spidermen	Ultimate Spider-Man	Leaping spider	SW1				2	5			1					1					1	1							1																				sw12,jpg	3 6	Ultimate Spider-Man (SW1)	Ultimate Spider-Man (SW1)	""	198
Spidermen	Ultimate Spider-Man	Marvel teamup	SW1				2	5			1	1										1							1			1																	sw12,jpg	6 6	Ultimate Spider-Man (SW1)	Ultimate Spider-Man (SW1)	""	199
Spidermen	Ultimate Spider-Man	Web-slinger	SW1				2	3					1								1	1					-1		1																				sw12,jpg	4 6	Ultimate Spider-Man (SW1)	Ultimate Spider-Man (SW1)	""	200
Spidermen	Ultimate Spider-Man	Hero fo dimension	SW1				2	1		1											1								2																				sw12,jpg	5 6	Ultimate Spider-Man (SW1)	Ultimate Spider-Man (SW1)	""	201
Guardians	Groot	Surviving sprig	GG				3	5			1										1																											Draw extra for next turn	gotg,jpg	2 4	Groot (GG)	Groot (GG)	""	202
Guardians	Groot	Prune the growths	GG				4	5			1					1					1																	1							1				gotg,jpg	3 4	Groot (GG)	Groot (GG)	Shard	203
Guardians	Groot	Groot and branches	GG				4	3		1					1						1																								1				gotg,jpg	5 4	Groot (GG)	Groot (GG)	Shard	204
Guardians	Groot	I am Groot	GG				8	1			1									1	1																								1				gotg,jpg	6 4	Groot (GG)	Groot (GG)	Shard	205
Guardians	Star-Lord	Legendary outlaw	GG				4	5		1										1																				2								Copy artifact	gotg,jpg	4 5	Star-Lord (GG)	Star-Lord (GG)	""	206
Guardians	Star-Lord	Element guns	GG				4	5	1												1																			1					1				gotg,jpg	3 5	Star-Lord (GG)	Star-Lord (GG)	Artifact|Shard	207
Guardians	Star-Lord	Implanted memory	GG				6	3					1									1																		1									gotg,jpg	10 4	Star-Lord (GG)	Star-Lord (GG)	Artifact	208
Guardians	Star-Lord	Sentient starship	GG				8	1	1												1																			2					1				gotg,jpg	1 5	Star-Lord (GG)	Star-Lord (GG)	Artifact|Shard	209
Guardians	Drax the Destroyer	Knives ot hunter	GG				3	5			1										1																			1									gotg,jpg	6 3	Drax the Destroyer (GG)	Drax the Destroyer (GG)	Artifact	210
Guardians	Drax the Destroyer	Interstellar tracker	GG				3	5				1					1			1				1														1											gotg,jpg	1 4	Drax the Destroyer (GG)	Drax the Destroyer (GG)	""	211
Guardians	Drax the Destroyer	The destroyer	GG				6	3				1					1				1														1					2					1				gotg,jpg	10 3	Drax the Destroyer (GG)	Drax the Destroyer (GG)	""	212
Guardians	Drax the Destroyer	Avatar of destruction	GG				7	1				1									1																											Doubles FI	gotg,jpg	9 3	Drax the Destroyer (GG)	Drax the Destroyer (GG)	""	213
Guardians	Rocket Raccoon	Trigger happy	GG				4	5	1												1														2										1				gotg,jpg	2 5	Rocket Raccoon (GG)	Rocket Raccoon (GG)	Shard	214
Guardians	Rocket Raccoon	Gritty scavenger	GG				3	5					1							1		1	1																										gotg,jpg	8 4	Rocket Raccoon (GG)	Rocket Raccoon (GG)	""	215
Guardians	Rocket Raccoon	Incoming detector	GG				4	3				1									1																			1					1			Triggers on MS or ambush	gotg,jpg	9 4	Rocket Raccoon (GG)	Rocket Raccoon (GG)	Shard|Artifact	216
Guardians	Rocket Raccoon	Vengeance is rocket	GG				7	1					1					1			1																											Bonus for played MS	gotg,jpg	7 4	Rocket Raccoon (GG)	Rocket Raccoon (GG)	""	217
Guardians	Gamora	Bounty hunter	GG				2	5		1										1	1																								1				gotg,jpg	8 3	Gamora (GG)	Gamora (GG)	Shard	218
Guardians	Gamora	Galactic Assassin	GG				5	3		1					2						1																								-1				gotg,jpg	3 3	Gamora (GG)	Gamora (GG)	Shard	219
Guardians	Gamora	Deadliest woman	GG				3	5				1			1						1																								1				gotg,jpg	7 3	Gamora (GG)	Gamora (GG)	Shard	220
Guardians	Gamora	Godslayer Blade	GG				8	1		1											1																			1					1				gotg,jpg	4 3	Gamora (GG)	Gamora (GG)	Artifact|Shard	221
Illuminati	Beast	Balanced attack	SW2				3	5			1		1			1		1			1	1																											sw22,jpg	1 2	Beast (SW2)	Beast (SW2)	""	222
Illuminati	Beast	Upside-down thinking	SW2				4	5			1		1											1			-1																						sw22,jpg	2 2	Beast (SW2)	Beast (SW2)	Wall-Crawl|Patrol	223
Illuminati	Beast	Dr of beatdown	SW2				6	3			1		1			2		2			1																												sw22,jpg	3 2	Beast (SW2)	Beast (SW2)	""	224
Illuminati	Beast	Multivar smackulus	SW2				8	1			1		1			2		2			1	2																											sw22,jpg	4 2	Beast (SW2)	Beast (SW2)	""	225
Illuminati	Black Bolt	Speak no words	SW1		Black Bolt		4	5	1	1										1	1							1																					sw12,jpg	7 1	Black Bolt (SW1)	Black Bolt (SW1)	""	226
Illuminati	Black Bolt	Destructive whisper	SW1		Black Bolt		3	5	1												1							-1																					sw12,jpg	5 1	Black Bolt (SW1)	Black Bolt (SW1)	""	227
Illuminati	Black Bolt	Silence is golden	SW1		Black Bolt		6	3			1									1	1							-1																					sw12,jpg	8 1	Black Bolt (SW1)	Black Bolt (SW1)	""	228
Illuminati	Black Bolt	Hypersonic scream	SW1		Black Bolt		8	1	1												1	2						-1																					sw12,jpg	6 1	Black Bolt (SW1)	Black Bolt (SW1)	""	229
Illuminati	Black Panther	Catlike Reflexes	SW1				3	5		1		1								1		1																											sw12,jpg	2 1	Black Panther (SW1)	Black Panther (SW1)	""	230
Illuminati	Black Panther	Multifaceted Genius	SW1				4	5			1		1						1		1																											Actually needs more multicolored cards	sw12,jpg	3 1	Black Panther (SW1)	Black Panther (SW1)	""	231
Illuminati	Black Panther	Stalk the urban jungle	SW1				6	3		1	1										1						-1											1											sw12,jpg	1 1	Black Panther (SW1)	Black Panther (SW1)	""	232
Illuminati	Black Panther	King of Wakanda	SW1				7	1				1	1																			1			1														sw12,jpg	4 1	Black Panther (SW1)	Black Panther (SW1)	""	233
Illuminati	Captain Britain	Transatlantic savior	SW2				3	5		1										1														2															sw22,jpg	3 3	Captain Britain (SW2)	Captain Britain (SW2)	""	234
Illuminati	Captain Britain	Combined strength	SW2				4	5			1										1													2															sw22,jpg	4 3	Captain Britain (SW2)	Captain Britain (SW2)	""	235
Illuminati	Captain Britain	Raise the Union Jack	SW2				5	3		1	1										1	1					-1							1															sw22,jpg	5 3	Captain Britain (SW2)	Captain Britain (SW2)	Patrol	236
Illuminati	Captain Britain	Lead the Cap Brit corps	SW2				7	1			1																																					New hand, extra cards	sw22,jpg	6 3	Captain Britain (SW2)	Captain Britain (SW2)	""	237
Illuminati	Dr. Strange	Trust me ima doctor	SW1				2	5	1			1								1															1			1											sw12,jpg	1 2	Dr. Strange (SW1)	Dr. Strange (SW1)	""	238
Illuminati	Dr. Strange	Cloak of levitation	SW1				4	5	1					1							1	1																											sw12,jpg	9 1	Dr. Strange (SW1)	Dr. Strange (SW1)	Teleport	239
Illuminati	Dr. Strange	Fight the future	SW1				5	3				1					1				1																				1								sw12,jpg	10 1	Dr. Strange (SW1)	Dr. Strange (SW1)	""	240
Illuminati	Dr. Strange	Sorcerer supreme	SW1				7	1		1												2																											sw12,jpg	2 2	Dr. Strange (SW1)	Dr. Strange (SW1)	Teleport	241
Illuminati	Superior Iron Man	Armor upgrades	SW1		Iron Man		2	5					1					1			1																												sw12,jpg	5 2	Superior Iron Man (SW1)	Superior Iron Man (SW1)	""	242
Illuminati	Superior Iron Man	Optimized tech	SW1		Iron Man		5	5	1				1								1	1																											sw12,jpg	4 2	Superior Iron Man (SW1)	Superior Iron Man (SW1)	""	243
Illuminati	Superior Iron Man	Superior to others	SW1		Iron Man		3	3	1					1						1		1									1																		sw12,jpg	3 2	Superior Iron Man (SW1)	Superior Iron Man (SW1)	""	244
Illuminati	Superior Iron Man	#Humblebrag	SW1		Iron Man		8	1					1								1	1																											sw12,jpg	6 2	Superior Iron Man (SW1)	Superior Iron Man (SW1)	""	245
Avengers	Black Widow	Mission accomplished	B				2	5					1					1				1			1																								base,jpg	6 1	Black Widow (B)	Black Widow (B)	""	246
Avengers	Black Widow	Dangerous rescue	B				3	5		1					1						1				1													1											base,jpg	7 1	Black Widow (B)	Black Widow (B)	""	247
Avengers	Black Widow	Covert operation	B				4	3		1											1				-1																								base,jpg	8 1	Black Widow (B)	Black Widow (B)	""	248
Avengers	Black Widow	Silent sniper	B				7	1		1											1				-1																								base,jpg	5 1	Black Widow (B)	Black Widow (B)	""	249
Avengers	Captain America	Avengers assemble	B				3	5				1							2	1																													base,jpg	4 3	Captain America (B)	Captain America (B)	""	250
Avengers	Captain America	Perfect teamwork	B				4	5			1								2		1																												base,jpg	6 3	Captain America (B)	Captain America (B)	""	251
Avengers	Captain America	Diving block	B				6	3					1								1					-1																							base,jpg	3 3	Captain America (B)	Captain America (B)	""	252
Avengers	Captain America	Day unlike any other	B				7	1		1											1														2														base,jpg	5 3	Captain America (B)	Captain America (B)	""	253
Avengers	Captain America 1941	Devoted patriot	C75		Captain America		3	5			1					1						1																											c75,jpg	1 2	Captain America 1941 (C75)	Captain America 1941 (C75)	Man out of Time	254
Avengers	Captain America 1941	Storm the beachhead	C75		Captain America		5	5					1						2		1																												c75,jpg	2 2	Captain America 1941 (C75)	Captain America 1941 (C75)	Man out of Time	255
Avengers	Captain America 1941	Liberate the prisoners	C75		Captain America		6	3		1											1	1			-1										1														c75,jpg	10 1	Captain America 1941 (C75)	Captain America 1941 (C75)	Savior	256
Avengers	Captain America 1941	Punch evil in the face	C75		Captain America		8	1				1									1				-1																								c75,jpg	9 1	Captain America 1941 (C75)	Captain America 1941 (C75)	Savior|Man out of Time	257
Avengers	Captain America (Falcon)	Aerial catch	C75		Captain America		3	5				1					1			1					1																								c75,jpg	7 1	Captain America (Falcon) (C75)	Captain America (Falcon) (C75)	""	258
Avengers	Captain America (Falcon)	Winged salvation	C75		Captain America		4	5	1												1				-1																								c75,jpg	8 1	Captain America (Falcon) (C75)	Captain America (Falcon) (C75)	Savior	259
Avengers	Captain America (Falcon)	Flying shield block	C75		Captain America		6	3					1								1					-1																							c75,jpg	6 1	Captain America (Falcon) (C75)	Captain America (Falcon) (C75)	""	260
Avengers	Captain America (Falcon)	Star-spangled hero	C75		Captain America		7	1		1									2	1	1				-1																								c75,jpg	5 1	Captain America (Falcon) (C75)	Captain America (Falcon) (C75)	Savior	261
Avengers	Captain America, Secret Avenger	Bold leadership	CW		Captain America		2	5		1									2	1																													cw2,jpg	6 1	Captain America, Secret Avenger (CW)	Captain America, Secret Avenger (CW)	""	262
Avengers	Captain America, Secret Avenger	Inspire a nation	CW	6	Captain America		3	5			1																					1																	cw2,jpg	5 1	Captain America, Secret Avenger (CW)	Captain America, Secret Avenger (CW)	""	263
Avengers	Captain America, Secret Avenger	Inspire a man	CW	6	Captain America		3	5				1									1							1																					cw2,jpg	5 1	Captain America, Secret Avenger (CW)	Captain America, Secret Avenger (CW)	""	264
Avengers	Captain America, Secret Avenger	Secret avengers assemle	CW		Captain America		5	3					1								1											-1			2														cw2,jpg	7 1	Captain America, Secret Avenger (CW)	Captain America, Secret Avenger (CW)	""	265
Avengers	Captain America, Secret Avenger	Freedom never dies	CW		Captain America		7	1	1												1											-1			1														cw2,jpg	8 1	Captain America, Secret Avenger (CW)	Captain America, Secret Avenger (CW)	""	266
Avengers	Captain Marvel	Marvelous strength	SW1				5	3			1					2					1																												sw12,jpg	6 5	Captain Marvel (SW1)	Captain Marvel (SW1)	""	267
Avengers	Captain Marvel	Cosmic energies	SW1				7	1	1					2		2					1																												sw12,jpg	5 5	Captain Marvel (SW1)	Captain Marvel (SW1)	""	268
Avengers	Captain Marvel	Absorb energies	SW1				3	5	1					2						1																													sw12,jpg	8 5	Captain Marvel (SW1)	Captain Marvel (SW1)	""	269
Avengers	Captain Marvel	Supersonic flight	SW1				3	5	1		1										1	1																											sw12,jpg	7 5	Captain Marvel (SW1)	Captain Marvel (SW1)	""	270
Avengers	Cloak & Dagger	Above	CW	7	Cloak		3	5		1											1						-1																						cw2,jpg	1 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	271
Avengers	Cloak & Dagger	Below	CW	7	Dagger		3	5	1											1								1																					cw2,jpg	1 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	272
Avengers	Cloak & Dagger	Flee	CW	8	Cloak		4	5		1					1					1				1																									cw2,jpg	3 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	Phasing	273
Avengers	Cloak & Dagger	Fight	CW	8	Dagger		4	5	1					1							1			1																									cw2,jpg	3 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	274
Avengers	Cloak & Dagger	Darkness	CW	9	Cloak		6	3		1					1						1	1		-1																									cw2,jpg	2 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	275
Avengers	Cloak & Dagger	Light	CW	9	Dagger		6	3	1					1						1				-1														1											cw2,jpg	2 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	276
Avengers	Cloak & Dagger	Penumbra	CW				7	1	1												1																											Best with more split cards	cw2,jpg	4 1	Cloak & Dagger (CW)	Cloak & Dagger (CW)	""	277
Avengers	Daredevil	Dual existence	CW				2	5				1										1		1																									cw2,jpg	4 2	Daredevil (CW)	Daredevil (CW)	""	278
Avengers	Daredevil	Roundhouse side kick	CW				4	5		1											1			-1								1																	cw2,jpg	5 2	Daredevil (CW)	Daredevil (CW)	""	279
Avengers	Daredevil	Hidden identity	CW	10			6	3				1								1				1																									cw2,jpg	3 2	Daredevil (CW)	Daredevil (CW)	""	280
Marvel Knights	Daredevil	Revealed identity	CW	10	Iron Fist		6	3			1										1										2																		cw2,jpg	3 2	Daredevil (CW)	Daredevil (CW)	""	281
Avengers	Daredevil	Master of Martial Arts	CW				8	1		1											1			-1							2				1														cw2,jpg	6 2	Daredevil (CW)	Daredevil (CW)	""	282
Avengers	Falcon	Rapid reinforcements	CW				3	5					1					1		1																												Filter HQ	cw2,jpg	10 1	Falcon (CW)	Falcon (CW)	""	283
Avengers	Falcon	Talk with birds	CW	11			4	5	1					1							1											1																	cw2,jpg	1 2	Falcon (CW)	Falcon (CW)	""	284
Avengers	Falcon	Squawk back	CW	11	Redwing		4	5				1										1		1																									cw2,jpg	1 2	Falcon (CW)	Falcon (CW)	""	285
Avengers	Falcon	Scout the Battlefield	CW				6	3	1												1																												cw2,jpg	9 1	Falcon (CW)	Falcon (CW)	""	286
Avengers	Falcon	Fly in a friend	CW				7	1				1									1														1														cw2,jpg	2 2	Falcon (CW)	Falcon (CW)	""	287
Avengers	Goliath	Brilliant biochemist	CW	12			4	5					1					1		1																												Size-changing	cw2,jpg	3 3	Goliath (CW)	Goliath (CW)	Size-Changing	288
Avengers	Goliath	Massive warrior	CW	12			4	5			1					1					1																											Size-changing	cw2,jpg	3 3	Goliath (CW)	Goliath (CW)	""	289
Avengers	Goliath	Growth industry	CW				5	5					1					1			1	1																										Size-changing	cw2,jpg	2 3	Goliath (CW)	Goliath (CW)	Size-Changing	290
Avengers	Goliath	Being big is best	CW				6	3			1					1					1									2																		Size-changing	cw2,jpg	1 3	Goliath (CW)	Goliath (CW)	Size-Changing	291
Avengers	Goliath	Enormous implications	CW				8	1			1					1					1								-1																			Size-changing	cw2,jpg	4 3	Goliath (CW)	Goliath (CW)	Size-Changing	292
Avengers	Hawkeye	Quick draw	B				3	5				1									1	1																											base,jpg	4 5	Hawkeye (B)	Hawkeye (B)	""	293
Avengers	Hawkeye	Team player	B				4	5					1								1														1														base,jpg	6 5	Hawkeye (B)	Hawkeye (B)	""	294
Avengers	Hawkeye	Covering fire	B				5	3					1					1			1																												base,jpg	5 5	Hawkeye (B)	Hawkeye (B)	""	295
Avengers	Hawkeye	Impossible trick shot	B				7	1					1								1				1																								base,jpg	3 5	Hawkeye (B)	Hawkeye (B)	""	296
Avengers	Hercules	Manly dullard	CW	13			3	5			1										1		1																										cw2,jpg	9 2	Hercules (CW)	Hercules (CW)	""	297
Avengers	Hercules	Boy genius	CW	13	Amadeus Cho		3	5					1									1																											cw2,jpg	9 2	Hercules (CW)	Hercules (CW)	""	298
Avengers	Hercules	Crowd favorite	CW				4	5				1					1				1				1																								cw2,jpg	8 2	Hercules (CW)	Hercules (CW)	""	299
Avengers	Hercules	Prince of power	CW				5	3			1					1				1				-1														1											cw2,jpg	7 2	Hercules (CW)	Hercules (CW)	""	300
Avengers	Hercules	Son of Zeus	CW				7	1			1									1	1				-1										1														cw2,jpg	10 2	Hercules (CW)	Hercules (CW)	""	301
Avengers	Hulk	Growing Anger	B				3	5			1					1					1																												base,jpg	7 6	Hulk (B)	Hulk (B)	""	302
Avengers	Hulk	Unstoppable Hulk	B				4	5				1									1					-1																							base,jpg	6 6	Hulk (B)	Hulk (B)	""	303
Avengers	Hulk	Crazed Rampage	B				5	3			1										1					1																							base,jpg	5 6	Hulk (B)	Hulk (B)	""	304
Avengers	Hulk	Hulk Smash	B				8	1			1					1					1																												base,jpg	8 6	Hulk (B)	Hulk (B)	""	305
Avengers	Hulkling	Half-Kree	CW	14			4	5			1					1				1						1																						Size-changing	cw2,jpg	1 4	Hulkling (CW)	Hulkling (CW)	Size-Changing	306
Avengers	Hulkling	Half-Skrull	CW	14			4	5		1					1						1																											Size-changing	cw2,jpg	1 4	Hulkling (CW)	Hulkling (CW)	""	307
Avengers	Hulkling	Cellular Regeneration	CW				5	5			1					1					1					-1																						Size-changing	cw2,jpg	10 3	Hulkling (CW)	Hulkling (CW)	Size-Changing	308
Avengers	Hulkling	Impersonate	CW				6	3		1					1																																	Size-changing, clone	cw2,jpg	9 3	Hulkling (CW)	Hulkling (CW)	Size-Changing	309
Avengers	Hulkling	Enormous shapeshift	CW				8	1		1					1						1																											Size-changing	cw2,jpg	2 4	Hulkling (CW)	Hulkling (CW)	Size-Changing	310
Avengers	Iron Man	Endless invention	B				3	5					1					1				1																											base,jpg	9 5	Iron Man (B)	Iron Man (B)	""	311
Avengers	Iron Man	Repulsor Rays	B				3	5	1					1							1																												base,jpg	8 5	Iron Man (B)	Iron Man (B)	""	312
Avengers	Iron Man	Arc reactor	B				5	3					1					2			1																												base,jpg	10 5	Iron Man (B)	Iron Man (B)	""	313
Avengers	Iron Man	Quantum breakthrough	B				7	1					1					1				1																											base,jpg	7 5	Iron Man (B)	Iron Man (B)	""	314
Avengers	Iron Man Noir	Steampowered Arsenal	N		Iron Man		3	5	1												1			1																									noir,jpg	3 2	Iron Man Noir (N)	Iron Man Noir (N)	""	315
Avengers	Iron Man Noir	Mechanized plate mail	N		Iron Man		4	5					1					1		1		1		1																									noir,jpg	5 2	Iron Man Noir (N)	Iron Man Noir (N)	Investigate	316
Avengers	Iron Man Noir	Learn from enemies	N		Iron Man		6	3					1					1			1																1												noir,jpg	4 2	Iron Man Noir (N)	Iron Man Noir (N)	""	317
Avengers	Iron Man Noir	Adventurers assemble!	N		Iron Man		7	1					1								1	1		-1																								Improves investigate	noir,jpg	6 2	Iron Man Noir (N)	Iron Man Noir (N)	Investigate	318
Avengers	Lady Thor	Mysterious origin	SW1				3	5	1											1		1																											sw12,jpg	10 5	Lady Thor (SW1)	Lady Thor (SW1)	""	319
Avengers	Lady Thor	Chosen by Asgard	SW1				4	5			1									1	1																												sw12,jpg	1 6	Lady Thor (SW1)	Lady Thor (SW1)	""	320
Avengers	Lady Thor	Heir to the hammer	SW1				6	3	1		1			1		1					1																												sw12,jpg	9 5	Lady Thor (SW1)	Lady Thor (SW1)	""	321
Avengers	Lady Thor	Living thunderstorm	SW1				8	1			1									1	1																												sw12,jpg	2 6	Lady Thor (SW1)	Lady Thor (SW1)	""	322
Avengers	Luke Cage	Cautious	CW	15			3	5			1										1							1																					cw2,jpg	7 3	Luke Cage (CW)	Luke Cage (CW)	""	323
Marvel Knights	Luke Cage	Reckless	CW	15	Jessica Jones		3	5				1									1					1																							cw2,jpg	7 3	Luke Cage (CW)	Luke Cage (CW)	""	324
Avengers	Luke Cage	Take a bullet ft team	CW				4	5			1									1	1					-1																							cw2,jpg	6 3	Luke Cage (CW)	Luke Cage (CW)	""	325
Avengers	Luke Cage	Sweet christmas	CW				5	3				1					1				1			1																									cw2,jpg	5 3	Luke Cage (CW)	Luke Cage (CW)	""	326
Avengers	Luke Cage	Unbreakable skin	CW				8	1			1										1					-1									1														cw2,jpg	8 3	Luke Cage (CW)	Luke Cage (CW)	""	327
Avengers	Patriot	New gen of heroes	CW				2	5			1									1																												Bonus for more hero names	cw2,jpg	9 4	Patriot (CW)	Patriot (CW)	""	328
Avengers	Patriot	Intuitive tactician	CW				3	5				1									1																											Bonus for more hero names	cw2,jpg	8 4	Patriot (CW)	Patriot (CW)	""	329
Avengers	Patriot	Incredible effort	CW	16			5	3		1					1						1																												cw2,jpg	7 4	Patriot (CW)	Patriot (CW)	""	330
Avengers	Patriot	Effortless	CW	16	Hawkeye		5	3					1							1								1																					cw2,jpg	7 4	Patriot (CW)	Patriot (CW)	""	331
Avengers	Patriot	Lead the young avengers	CW				8	1					1								1																											Requires hero name variety	cw2,jpg	10 4	Patriot (CW)	Patriot (CW)	""	332
Avengers	Peter Parker	Conflicted loyalties	CW				2	5					1					1		1	1	1							1																				cw2,jpg	4 4	Peter Parker (CW)	Peter Parker (CW)	""	333
Avengers	Peter Parker	Spiderman unmasked	CW				2	5				1					1				1			1								1																	cw2,jpg	5 4	Peter Parker (CW)	Peter Parker (CW)	""	334
Avengers	Peter Parker	Protect my family	CW	17			2	3					1								1				1																								cw2,jpg	3 4	Peter Parker (CW)	Peter Parker (CW)	""	335
Spidermen	Peter Parker	Hot bowl of soup	CW	17	Aunt May		2	3				1								1						-1																							cw2,jpg	3 4	Peter Parker (CW)	Peter Parker (CW)	""	336
Avengers	Peter Parker	Reluctant celebrity	CW				2	1				1					1				1	-1																											cw2,jpg	6 4	Peter Parker (CW)	Peter Parker (CW)	""	337
Avengers	Stature	Shrink to nothing	CW				2	5					1					1			1	1																										Size-changing	cw2,jpg	2 5	Stature (CW)	Stature (CW)	Size-Changing	338
Avengers	Stature	Crush ants	CW	18			5	5			1					1					1																1											Size-changing	cw2,jpg	3 5	Stature (CW)	Stature (CW)	Size-Changing	339
Avengers	Stature	Crush file sizes	CW	18	Iron Lad		5	5					1					1		1		1																										Size-changing	cw2,jpg	3 5	Stature (CW)	Stature (CW)	""	340
Avengers	Stature	Growing confidence	CW				6	3			1					1					1																1											Size-changing	cw2,jpg	1 5	Stature (CW)	Stature (CW)	Size-Changing	341
Avengers	Stature	Trample the tiny	CW				8	1			1					1					1																1											Size-changing	cw2,jpg	4 5	Stature (CW)	Stature (CW)	Size-Changing	342
X-Men	Storm & Black Panther	Gathering rain clouds	CW	19	Storm		2	5	1					1						1		1																											cw2,jpg	4 6	Storm & Black Panther (CW)	Storm & Black Panther (CW)	""	343
Avengers	Storm & Black Panther	Gathering clues	CW	19	Black Panther		2	5				1					1				1	1																											cw2,jpg	4 6	Storm & Black Panther (CW)	Storm & Black Panther (CW)	""	344
X-Men	Storm & Black Panther	Lightning strike	CW	20	Storm		3	5	1					1							1						-1																						cw2,jpg	5 6	Storm & Black Panther (CW)	Storm & Black Panther (CW)	""	345
Avengers	Storm & Black Panther	Pouncing strike	CW	20	Black Panther		3	5				1					1			1							1																						cw2,jpg	5 6	Storm & Black Panther (CW)	Storm & Black Panther (CW)	""	346
X-Men	Storm & Black Panther	Tsunami of water	CW	21	Storm		5	3	1					1							1																												cw2,jpg	3 6	Storm & Black Panther (CW)	Storm & Black Panther (CW)	""	347
